N2EX Day Ahead Auction Prices in GBP/MWh,,,,,,,,,
UK time,CET/CEST time,22/06/2018,21/06/2018,20/06/2018,19/06/2018,18/06/2018,17/06/2018,16/06/2018,15/06/2018
23 - 00,00 - 01,"55,05","64,40","57,00","55,20","55,80","58,00","55,30","55,03"
00 - 01,01 - 02,"51,98","55,00","55,00","48,79","46,49","53,94","55,01","60,06"
01 - 02,02 - 03,"43,40","48,93","44,95","41,93","40,58","52,95","58,89","56,00"
02 - 03,03 - 04,"41,00","37,30","40,00","40,05","38,00","51,56","53,82","48,74"
03 - 04,04 - 05,"39,94","34,92","36,93","44,91","35,00","45,94","46,22","45,26"
04 - 05,05 - 06,"39,92","32,06","38,49","46,90","35,00","40,56","45,00","44,90"
05 - 06,06 - 07,"40,03","38,70","41,98","53,36","41,77","35,28","40,70","51,07"
06 - 07,07 - 08,"55,01","50,98","51,99","60,00","58,00","42,57","47,05","55,09"
07 - 08,08 - 09,"50,00","52,05","47,91","50,20","60,00","25,17","43,00","55,74"
08 - 09,09 - 10,"65,30","60,00","53,16","59,70","70,19","39,70","50,00","57,90"
09 - 10,10 - 11,"65,29","56,09","55,93","67,53","70,70","51,25","68,00","60,00"
10 - 11,11 - 12,"54,27","53,00","52,00","69,98","63,00","57,90","66,00","56,00"
11 - 12,12 - 13,"49,50","50,21","52,00","69,54","56,80","59,50","59,20","50,57"
12 - 13,13 - 14,"45,45","48,20","52,54","66,00","49,44","56,60","52,70","53,65"
13 - 14,14 - 15,"45,44","48,00","47,80","57,45","47,20","52,00","47,02","51,42"
14 - 15,15 - 16,"44,74","47,97","47,04","50,60","45,98","46,24","46,00","50,37"
15 - 16,16 - 17,"45,44","45,74","47,04","50,00","45,99","45,00","40,95","48,00"
16 - 17,17 - 18,"55,50","52,70","60,60","66,00","47,20","47,50","46,00","60,29"
17 - 18,18 - 19,"63,30","57,11","71,00","68,00","60,00","67,48","52,48","69,90"
18 - 19,19 - 20,"71,79","69,90","74,98","65,01","57,40","70,00","64,90","72,02"
19 - 20,20 - 21,"69,91","65,10","65,00","60,00","55,00","70,05","70,00","72,28"
20 - 21,21 - 22,"65,00","65,00","53,00","53,65","51,70","70,00","69,81","63,00"
21 - 22,22 - 23,"55,00","65,00","50,60","53,35","49,99","60,19","69,77","58,02"
22 - 23,23 - 00,"47,97","56,00","48,00","51,00","46,97","45,97","57,00","52,67"
,,,,,,,,,
Min,,"39,92","32,06","36,93","40,05","35,00","25,17","40,70","44,90"
Max,,"71,79","69,90","74,98","69,98","70,70","70,05","70,00","72,28"
Average,,"52,51","52,27","51,87","56,21","51,18","51,89","54,37","56,17"
UK time,CET/CEST time,22/06/2018,21/06/2018,20/06/2018,19/06/2018,18/06/2018,17/06/2018,16/06/2018,15/06/2018
