,Chart Label,Year,Calculated LCOE
0,Biopower,2000.0,68.25
1,Biopower,2001.0,68.5
2,Biopower,2002.0,68.5
3,Biopower,2003.0,68.75
4,Biopower,2004.0,69.0
5,Biopower,2005.0,67.39999999999999
6,Biopower,2006.0,67.39999999999999
7,Biopower,2007.0,67.2
8,Biopower,2008.0,66.99999999999999
9,Biopower,2009.0,89.35
10,Biopower,2010.0,106.75000000000001
11,Biopower,2011.0,42.53333333333334
12,Biopower,2012.0,105.07142857142858
13,Biopower,2013.0,118.33333333333333
14,Biopower,2014.0,103.0
15,Blind Geothermal,2010.0,78.0
16,Blind Geothermal,2011.0,100.0
17,Combined Cycle,2000.0,53.5
18,Combined Cycle,2001.0,53.5
19,Combined Cycle,2002.0,53.5
20,Combined Cycle,2003.0,49.333333333333336
21,Combined Cycle,2004.0,53.5
22,Combined Cycle,2005.0,49.666666666666664
23,Combined Cycle,2006.0,49.666666666666664
24,Combined Cycle,2007.0,31.44444444444445
25,Combined Cycle,2008.0,49.333333333333336
26,Combined Cycle,2009.0,47.055555555555564
27,Combined Cycle,2010.0,30.0
28,Combined Cycle,2013.0,66.0
29,Combined Cycle,2014.0,62.0
30,Combustion Turbine,2000.0,72.00000000000001
31,Combustion Turbine,2001.0,72.00000000000001
32,Combustion Turbine,2002.0,72.00000000000001
33,Combustion Turbine,2003.0,72.00000000000001
34,Combustion Turbine,2004.0,72.00000000000001
35,Combustion Turbine,2005.0,92.0
36,Combustion Turbine,2006.0,70.33333333333333
37,Combustion Turbine,2007.0,88.5
38,Combustion Turbine,2008.0,87.0
39,Combustion Turbine,2009.0,271.0
40,Combustion Turbine,2010.0,59.00000000000001
41,Combustion Turbine,2013.0,286.0
42,Combustion Turbine,2014.0,169.99999999999997
43,Distributed Generation,2009.0,281.5
44,Distributed Generation,2011.0,122.66666666666667
45,Distributed Generation,2014.0,64.75
46,EGS,2000.0,111.0
47,EGS,2001.0,111.0
48,EGS,2002.0,111.0
49,EGS,2003.0,111.0
50,EGS,2004.0,111.0
51,EGS,2005.0,111.0
52,EGS,2006.0,111.0
53,EGS,2007.0,85.0
54,EGS,2008.0,85.0
55,EGS,2009.0,90.33333333333333
56,EGS,2010.0,121.0
57,EGS,2011.0,51.0
58,EGS,2013.0,123.5
59,EGS,2014.0,107.0
60,Fuel Cell,2009.0,134.0
61,Fuel Cell,2010.0,98.33333333333333
62,Fuel Cell,2011.0,117.66666666666669
63,Fuel Cell,2014.0,131.0
64,Hydroelectric,2000.0,22.000000000000004
65,Hydroelectric,2001.0,22.000000000000004
66,Hydroelectric,2002.0,22.000000000000004
67,Hydroelectric,2003.0,22.000000000000004
68,Hydroelectric,2004.0,22.000000000000004
69,Hydroelectric,2005.0,22.000000000000004
70,Hydroelectric,2006.0,22.000000000000004
71,Hydroelectric,2007.0,22.000000000000004
72,Hydroelectric,2008.0,22.000000000000004
73,Hydroelectric,2009.0,75.54545454545455
74,Hydroelectric,2010.0,119.88888888888887
75,Hydroelectric,2011.0,67.5
76,Hydrothermal,2000.0,55.0
77,Hydrothermal,2001.0,55.0
78,Hydrothermal,2002.0,55.0
79,Hydrothermal,2003.0,55.0
80,Hydrothermal,2004.0,55.0
81,Hydrothermal,2005.0,46.0
82,Hydrothermal,2006.0,46.0
83,Hydrothermal,2007.0,49.0
84,Hydrothermal,2008.0,49.0
85,Hydrothermal,2009.0,52.2
86,Hydrothermal,2010.0,72.66666666666667
87,Hydrothermal,2011.0,69.16666666666667
88,Hydrothermal,2013.0,87.12500000000001
89,IGCC,2000.0,77.0
90,IGCC,2001.0,77.0
91,IGCC,2002.0,77.0
92,IGCC,2003.0,77.0
93,IGCC,2004.0,77.0
94,IGCC,2005.0,77.0
95,IGCC,2006.0,77.5
96,IGCC,2007.0,95.30000000000001
97,IGCC,2008.0,77.5
98,IGCC,2009.0,98.28571428571428
99,IGCC,2010.0,95.00000000000001
100,IGCC,2014.0,136.0
101,Nuclear,2000.0,59.00000000000001
102,Nuclear,2001.0,59.00000000000001
103,Nuclear,2002.0,59.00000000000001
104,Nuclear,2003.0,59.00000000000001
105,Nuclear,2004.0,59.00000000000001
106,Nuclear,2005.0,53.00000000000001
107,Nuclear,2006.0,48.333333333333336
108,Nuclear,2007.0,53.0
109,Nuclear,2008.0,52.5
110,Nuclear,2009.0,87.2
111,Nuclear,2010.0,87.00000000000001
112,Nuclear,2011.0,63.0
113,Nuclear,2014.0,109.5
114,Ocean,2011.0,235.0
115,Offshore,2000.0,87.5
116,Offshore,2001.0,87.5
117,Offshore,2002.0,87.5
118,Offshore,2003.0,87.5
119,Offshore,2004.0,87.5
120,Offshore,2005.0,87.5
121,Offshore,2006.0,86.5
122,Offshore,2007.0,85.69999999999999
123,Offshore,2008.0,100.15384615384612
124,Offshore,2009.0,143.66666666666669
125,Offshore,2010.0,142.66666666666666
126,Offshore,2011.0,139.2
127,Offshore,2013.0,174.33333333333334
128,Offshore,2014.0,164.99999999999997
129,Onshore,1983.0,147.0
130,Onshore,1985.0,98.0
131,Onshore,1986.0,100.0
132,Onshore,1987.0,66.0
133,Onshore,1989.0,81.0
134,Onshore,1990.0,90.0
135,Onshore,1994.0,60.0
136,Onshore,1995.0,62.0
137,Onshore,1996.0,53.0
138,Onshore,1997.0,78.0
139,Onshore,1998.0,49.0
140,Onshore,1999.0,55.99999999999999
141,Onshore,2000.0,92.66666666666667
142,Onshore,2001.0,76.66666666666667
143,Onshore,2002.0,65.71428571428571
144,Onshore,2003.0,60.33333333333333
145,Onshore,2004.0,54.33333333333332
146,Onshore,2005.0,49.24999999999999
147,Onshore,2006.0,49.42857142857142
148,Onshore,2007.0,49.28571428571428
149,Onshore,2008.0,52.999999999999986
150,Onshore,2009.0,68.95833333333336
151,Onshore,2010.0,74.00000000000001
152,Onshore,2011.0,76.85714285714286
153,Onshore,2012.0,62.5
154,Onshore,2013.0,67.33333333333334
155,Onshore,2014.0,54.666666666666664
156,Photovoltaic,1998.0,797.0
157,Photovoltaic,1999.0,805.9999999999999
158,Photovoltaic,2000.0,516.0
159,Photovoltaic,2001.0,573.3333333333334
160,Photovoltaic,2002.0,585.0
161,Photovoltaic,2003.0,535.75
162,Photovoltaic,2004.0,514.0
163,Photovoltaic,2005.0,486.20000000000005
164,Photovoltaic,2006.0,476.80000000000007
165,Photovoltaic,2007.0,463.625
166,Photovoltaic,2008.0,385.5555555555556
167,Photovoltaic,2009.0,290.1666666666667
168,Photovoltaic,2010.0,310.89473684210526
169,Photovoltaic,2011.0,311.5909090909092
170,Photovoltaic,2012.0,264.1333333333333
171,Photovoltaic,2013.0,241.0
172,Photovoltaic,2014.0,123.66666666666666
173,Scrubbed,2000.0,50.5
174,Scrubbed,2001.0,51.00000000000001
175,Scrubbed,2002.0,51.00000000000001
176,Scrubbed,2003.0,51.5
177,Scrubbed,2004.0,51.5
178,Scrubbed,2005.0,52.333333333333336
179,Scrubbed,2006.0,52.333333333333336
180,Scrubbed,2007.0,52.333333333333336
181,Scrubbed,2008.0,52.333333333333336
182,Scrubbed,2009.0,89.33333333333333
183,Scrubbed,2010.0,53.50000000000001
184,Scrubbed,2014.0,108.0
185,Small Hydropower,2009.0,115.0
186,Small Hydropower,2011.0,140.0
187,Solar Thermal,2000.0,231.59999999999997
188,Solar Thermal,2001.0,231.59999999999997
189,Solar Thermal,2002.0,231.59999999999997
190,Solar Thermal,2003.0,231.59999999999997
191,Solar Thermal,2004.0,231.59999999999997
192,Solar Thermal,2005.0,231.59999999999997
193,Solar Thermal,2006.0,229.2
194,Solar Thermal,2007.0,214.6666666666667
195,Solar Thermal,2008.0,209.77777777777777
196,Solar Thermal,2009.0,180.75
197,Solar Thermal,2010.0,171.93750000000003
198,Solar Thermal,2011.0,196.14285714285714
199,Solar Thermal,2013.0,168.40000000000003
200,Solar Thermal,2014.0,173.5
201,Unscrubbed,2000.0,45.0
202,Unscrubbed,2001.0,45.0
203,Unscrubbed,2002.0,45.0
204,Unscrubbed,2003.0,44.0
205,Unscrubbed,2004.0,45.0
206,Unscrubbed,2005.0,45.0
207,Unscrubbed,2006.0,46.0
208,Unscrubbed,2007.0,46.0
209,Unscrubbed,2008.0,46.0
