,Technology,Discount_rate,Year,lcoe
0,CCGT,0.05,1981,
1,Coal,0.05,1981,177.19296
2,Nuclear,0.05,1981,123.83232000000001
3,Onshore,0.075,1981,
4,PV - Utility,0.075,1981,
5,Hydropower <10MW,0.075,1981,
6,Hydropower >10MW,0.075,1981,
7,Bioenergy,0.075,1981,
8,Offshore,0.08900000000000001,1981,
9,CCGT,0.05,1984,
10,Coal,0.05,1984,102.93248
11,Nuclear,0.05,1984,66.99008
12,Onshore,0.075,1984,
13,PV - Utility,0.075,1984,
14,Hydropower <10MW,0.075,1984,
15,Hydropower >10MW,0.075,1984,
16,Bioenergy,0.075,1984,
17,Offshore,0.08900000000000001,1984,
18,CCGT,0.05,1989,
19,Coal,0.05,1989,80.01536
20,Nuclear,0.05,1989,75.24352
21,Onshore,0.075,1989,227.84511564123014
22,PV - Utility,0.075,1989,
23,Hydropower <10MW,0.075,1989,
24,Hydropower >10MW,0.075,1989,
25,Bioenergy,0.075,1989,
26,Offshore,0.08900000000000001,1989,
27,CCGT,0.05,1990,
28,Coal,0.05,1990,
29,Nuclear,0.05,1990,
30,Onshore,0.075,1990,231.9168686416775
31,PV - Utility,0.075,1990,
32,Hydropower <10MW,0.075,1990,
33,Hydropower >10MW,0.075,1990,
34,Bioenergy,0.075,1990,
35,Offshore,0.08900000000000001,1990,
36,CCGT,0.05,1991,
37,Coal,0.05,1991,
38,Nuclear,0.05,1991,
39,Onshore,0.075,1991,219.07383823844074
40,PV - Utility,0.075,1991,
41,Hydropower <10MW,0.075,1991,
42,Hydropower >10MW,0.075,1991,
43,Bioenergy,0.075,1991,
44,Offshore,0.08900000000000001,1991,
45,CCGT,0.05,1992,82.55488000000001
46,Coal,0.05,1992,89.86624
47,Nuclear,0.05,1992,91.32032000000001
48,Onshore,0.075,1992,203.8654885331362
49,PV - Utility,0.075,1992,
50,Hydropower <10MW,0.075,1992,
51,Hydropower >10MW,0.075,1992,
52,Bioenergy,0.075,1992,
53,Offshore,0.08900000000000001,1992,
54,CCGT,0.05,1993,
55,Coal,0.05,1993,
56,Nuclear,0.05,1993,
57,Onshore,0.075,1993,196.68475169717365
58,PV - Utility,0.075,1993,
59,Hydropower <10MW,0.075,1993,
60,Hydropower >10MW,0.075,1993,
61,Bioenergy,0.075,1993,
62,Offshore,0.08900000000000001,1993,
63,CCGT,0.05,1994,
64,Coal,0.05,1994,
65,Nuclear,0.05,1994,
66,Onshore,0.075,1994,196.45809391351708
67,PV - Utility,0.075,1994,
68,Hydropower <10MW,0.075,1994,
69,Hydropower >10MW,0.075,1994,
70,Bioenergy,0.075,1994,
71,Offshore,0.08900000000000001,1994,
72,CCGT,0.05,1995,
73,Coal,0.05,1995,
74,Nuclear,0.05,1995,
75,Onshore,0.075,1995,183.20927269544245
76,PV - Utility,0.075,1995,
