,Unnamed: 0,Company,Name,Fuel,Capacity,Start_date,Simplified_Type
0,0,AES,Ballylumford B,Gas,540.0,1968.00,Recip_gas
1,1,AES,Ballylumford B OCGT,Gas oil,116.0,1968.00,Recip_diesel
2,2,AES,Ballylumford C,CCGT,616.0,2003.00,CCGT
3,3,AES,Kilroot OCGT,Gas oil,142.0,1981.00,Recip_diesel
4,4,AES,Kilroot,Coal,560.0,1981.00,Coal
5,5,Anesco,Abergelli,Solar,7.7,2015.00,PV
6,6,Anesco,Anglesey,Solar,14.9,2014.00,PV
7,7,Anesco,Ashton,Solar,4.8,2017.00,PV
8,8,Anesco,Askern,Solar,5.0,2015.00,PV
9,9,Anesco,Beeches,Solar,5.0,2016.00,PV
10,10,Anesco,Berry Court,Solar,3.9,2016.00,PV
11,11,Anesco,Bilsthorpe ,Solar,5.7,2014.00,PV
12,12,Anesco,Blackdown ,Solar,7.5,2014.00,PV
13,13,Anesco,Blackwell,Solar,5.0,2017.00,PV
14,14,Anesco,Blue House,Solar,5.0,2016.00,PV
15,15,Anesco,Bourne Park ,Solar,0.3,2012.00,PV
16,16,Anesco,Bourne Park 2 ,Solar,2.4,2015.00,PV
17,17,Anesco,Bristol Water,Solar,1.1,2017.00,PV
18,18,Anesco,Brook hall ,Solar,4.7,2016.00,PV
19,19,Anesco,Brookbarn,Solar,3.6,2015.00,PV
20,20,Anesco,Brookside ,Solar,5.0,2016.00,PV
21,21,Anesco,Bulls Head North,Solar,5.5,2014.00,PV
22,22,Anesco,Bumpers Farm,Solar,5.0,2017.00,PV
23,23,Anesco,Cadland 2 ,Solar,3.0,2014.00,PV
24,24,Anesco,Clawdd Ddu ,Solar,13.5,2014.00,PV
25,25,Anesco,Cotgrave,Solar,5.0,2015.00,PV
26,26,Anesco,Culworth ,Solar,3.6,2015.00,PV
27,27,Anesco,East Appleton,Solar,5.0,2016.00,PV
28,28,Anesco,East Fairlee ,Solar,7.0,2015.00,PV
29,29,Anesco,East Farm ,Solar,6.8,2013.00,PV
30,30,Anesco,Evesham ,Solar,3.7,2014.00,PV
31,31,Anesco,Fell View ,Solar,4.3,2016.00,PV
32,32,Anesco,Gedling,Solar,5.7,2015.00,PV
33,33,Anesco,Grimsargh ,Solar,2.9,2016.00,PV
34,34,Anesco,Hale,Solar,3.6,2015.00,PV
35,35,Anesco,Hale Manor Farm ,Solar,5.0,2016.00,PV
36,36,Anesco,Hermitage ,Solar,5.0,2016.00,PV
37,37,Anesco,Higher Bye,Solar,6.8,2015.00,PV
38,38,Anesco,Homestead,Solar,4.0,2015.00,PV
39,39,Anesco,Hungerford ,Solar,4.5,2016.00,PV
40,40,Anesco,Huntingdon ,Solar,10.2,2014.00,PV
