N2EX Day Ahead Auction Prices in GBP/MWh,,,,,,,,,
UK time,CET/CEST time,09/12/2018,08/12/2018,07/12/2018,06/12/2018,05/12/2018,04/12/2018,03/12/2018,02/12/2018
23 - 00,00 - 01,"59,30","52,01","58,06","60,01","57,88","54,92","52,79","67,96"
00 - 01,01 - 02,"57,63","45,83","58,06","60,01","57,88","57,10","55,00","65,93"
01 - 02,02 - 03,"47,91","36,00","54,00","60,00","56,98","57,33","53,96","63,93"
02 - 03,03 - 04,"44,86","26,92","39,99","54,57","52,50","54,08","50,25","57,93"
03 - 04,04 - 05,"34,95","10,73","29,99","50,50","51,41","53,73","47,92","53,86"
04 - 05,05 - 06,"28,86","9,09","31,26","49,94","51,07","54,00","50,00","48,92"
05 - 06,06 - 07,"38,51","19,99","43,96","49,64","52,06","55,98","53,91","46,70"
06 - 07,07 - 08,"45,00","32,73","57,57","58,42","58,34","63,24","66,70","44,00"
07 - 08,08 - 09,"42,99","47,99","60,00","61,70","61,98","68,03","56,87","49,97"
08 - 09,09 - 10,"58,54","53,96","65,62","61,50","62,17","72,00","56,93","50,50"
09 - 10,10 - 11,"55,30","59,00","68,00","61,38","62,62","73,00","61,70","64,80"
10 - 11,11 - 12,"57,09","56,89","57,00","61,18","62,74","67,00","56,96","64,00"
11 - 12,12 - 13,"55,30","57,00","55,54","60,30","61,16","61,66","61,00","61,26"
12 - 13,13 - 14,"58,46","62,76","53,73","59,50","61,82","65,10","69,95","60,90"
13 - 14,14 - 15,"59,21","58,80","53,73","58,58","62,66","67,77","67,37","54,86"
14 - 15,15 - 16,"55,67","68,00","55,36","55,50","63,17","70,24","63,30","54,17"
15 - 16,16 - 17,"49,99","57,00","54,50","57,95","61,60","78,99","61,11","54,80"
16 - 17,17 - 18,"73,00","73,56","75,00","72,70","81,60","127,37","81,69","77,60"
17 - 18,18 - 19,"85,37","84,00","77,49","77,95","84,96","140,00","88,99","84,00"
18 - 19,19 - 20,"77,92","72,92","62,20","77,90","73,00","91,80","80,92","76,99"
19 - 20,20 - 21,"68,94","65,98","64,70","73,10","74,20","78,60","76,00","73,99"
20 - 21,21 - 22,"63,84","56,09","58,58","61,01","61,90","64,70","59,80","60,60"
21 - 22,22 - 23,"57,02","56,00","56,60","59,02","61,50","61,09","61,96","54,78"
22 - 23,23 - 00,"51,00","51,20","48,14","50,92","56,40","54,37","55,95","48,24"
,,,,,,,,,
Min,,"28,86","9,09","29,99","49,64","51,07","53,73","47,92","44,00"
Max,,"85,37","84,00","77,49","77,95","84,96","140,00","88,99","84,00"
Average,,"55,28","50,60","55,80","60,55","62,15","70,50","62,13","60,03"
UK time,CET/CEST time,09/12/2018,08/12/2018,07/12/2018,06/12/2018,05/12/2018,04/12/2018,03/12/2018,02/12/2018
