"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18","75.15","75.15","75.15","75.15","-","2.18%"
"Nov 18","73.55","73.55","73.55","73.55","-","-5.77%"
"Oct 18","78.05","78.05","78.05","78.05","-","3.31%"
"Sep 18","75.55","75.55","75.55","75.55","-","7.97%"
"Aug 18","69.97","69.97","69.97","69.97","-","7.32%"
"Jul 18","65.20","65.20","65.20","65.20","-","4.65%"
"Jun 18","62.30","62.30","62.30","62.30","-","1.88%"
"May 18","61.15","61.15","61.15","61.15","-","8.13%"
"Apr 18","56.55","56.55","56.55","56.55","-","-6.99%"
"Mar 18","60.80","60.80","60.80","60.80","-","-4.70%"
"Feb 18","63.80","63.80","63.80","63.80","-","-1.16%"
"Jan 18","64.55","64.55","64.55","64.55","-","-1.15%"
"Dec 17","65.30","65.30","65.30","65.30","-","0.62%"
"Nov 17","64.90","64.90","64.90","64.90","-","2.93%"
"Oct 17","63.05","63.05","63.05","63.05","-","4.82%"
"Sep 17","60.15","60.15","60.15","60.15","-","3.62%"
"Aug 17","58.05","58.05","58.05","58.05","-","4.78%"
"Jul 17","55.40","55.40","55.40","55.40","-","2.78%"
"Jun 17","53.90","53.90","53.90","53.90","-","-1.64%"
"May 17","54.80","54.80","54.80","54.80","-","9.82%"
"Apr 17","49.90","49.90","49.90","49.90","-","-2.92%"
"Mar 17","51.40","51.40","51.40","51.40","-","-2.93%"
"Feb 17","52.95","52.95","52.95","52.95","-","-6.12%"
"Jan 17","56.40","56.40","56.40","56.40","-","-3.26%"
"Dec 16","58.30","58.30","58.30","58.30","-","10.10%"
"Nov 16","52.95","52.95","52.95","52.95","-","-13.13%"
"Oct 16","60.95","60.95","60.95","60.95","-","7.02%"
"Sep 16","56.95","56.95","56.95","56.95","-","19.02%"
"Aug 16","47.85","47.85","47.85","47.85","-","9.87%"
"Jul 16","43.55","43.55","43.55","43.55","-","11.67%"
"Jun 16","39.00","39.00","39.00","39.00","-","16.94%"
"May 16","33.35","33.35","33.35","33.35","-","-3.05%"
"Apr 16","34.40","34.40","34.40","34.40","-","-8.27%"
"Mar 16","37.50","37.50","37.50","37.50","-","0.54%"
"Feb 16","37.30","37.30","37.30","37.30","-","-1.32%"
"Jan 16","37.80","37.80","37.80","37.80","-","0.00%"
"Dec 15","37.80","37.80","37.80","37.80","-","-6.20%"
"Nov 15","40.30","40.30","40.30","40.30","-","10.11%"
"Oct 15","36.60","36.60","36.60","36.60","-","-7.58%"
"Sep 15","39.60","39.60","39.60","39.60","-","-12.10%"
"Aug 15","45.05","45.05","45.05","45.05","-","2.74%"
"Jul 15","43.85","43.85","43.85","43.85","-","6.51%"
"Jun 15","41.17","41.17","41.17","41.17","-","-3.88%"
"May 15","42.83","42.83","42.83","42.83","-","-4.72%"
"Apr 15","44.95","44.95","44.95","44.95","-","-0.11%"
"Mar 15","45.00","45.00","45.00","45.00","-","-2.70%"
"Feb 15","46.25","46.25","46.25","46.25","-","0.22%"
"Jan 15","46.15","46.15","46.15","46.15","-","-7.61%"
"Dec 14","49.95","49.95","49.95","49.95","-","-6.90%"
"Nov 14","53.65","53.65","53.65","53.65","-","0.19%"
"Oct 14","53.55","53.55","53.55","53.55","-","-0.65%"
"Sep 14","53.90","53.90","53.90","53.90","-","-2.62%"
