Company,Name,Fuel,Capacity,Start_date,Location
AES,Ballylumford B,Gas,540.0,1968,Northern Ireland
AES,Ballylumford B OCGT,Gas oil,116.0,1968,Northern Ireland
AES,Ballylumford C,CCGT,616.0,2003,Northern Ireland
AES,Kilroot OCGT,Gas oil,142.0,1981,Northern Ireland
AES,Kilroot,Coal/oil,560.0,1981,Northern Ireland
Anesco,Abergelli,Solar,7.7,2015,Wales
Anesco,Anglesey ,Solar,14.9,2014,Wales
Anesco,Ashton,Solar,4.8,2017,South West
Anesco,Askern,Solar,5.0,2015,Yorkshire and Humber
Anesco,Beeches,Solar,5.0,2016,West Midlands
Anesco,Berry Court,Solar,3.9,2016,South East
Anesco,Bilsthorpe ,Solar,5.7,2014,East Midlands
Anesco,Blackdown ,Solar,7.5,2014,South West
Anesco,Blackwell,Solar,5.0,2017,West Midlands
Anesco,Blue House,Solar,5.0,2016,North East
Anesco,Bourne Park ,Solar,0.3,2012,South East
Anesco,Bourne Park 2 ,Solar,2.4,2015,South East
Anesco,Bristol Water,Solar,1.1,2017,South West
Anesco,Brook hall ,Solar,4.7,2016,South West
Anesco,Brookbarn,Solar,3.6,2015,South East
Anesco,Brookside ,Solar,5.0,2016,West Midlands
Anesco,Bulls Head North,Solar,5.5,2014,East Midlands
Anesco,Bumpers Farm,Solar,5.0,2017,South West
Anesco,Cadland 2 ,Solar,3.0,2014,South East
Anesco,Clawdd Ddu ,Solar,13.5,2014,Wales
Anesco,Cotgrave,Solar,5.0,2015,East Midlands
Anesco,Culworth ,Solar,3.6,2015,East Midlands
Anesco,East Appleton,Solar,5.0,2016,Yorkshire and Humber
Anesco,East Fairlee ,Solar,7.0,2015,South East
Anesco,East Farm ,Solar,6.8,2013,South West
Anesco,Evesham ,Solar,3.7,2014,West Midlands
Anesco,Fell View ,Solar,4.3,2016,North West
Anesco,Gedling,Solar,5.7,2015,East Midlands
Anesco,Grimsargh ,Solar,2.9,2016,North West
Anesco,Hale,Solar,3.6,2015,South West
Anesco,Hale Manor Farm ,Solar,5.0,2016,South East
Anesco,Hermitage ,Solar,5.0,2016,Eastern
Anesco,Higher Bye,Solar,6.8,2015,South West
Anesco,Homestead,Solar,4.0,2015,South East
Anesco,Hungerford ,Solar,4.5,2016,South East
Anesco,Huntingdon ,Solar,10.2,2014,Eastern
Anesco,Hyde Farm,Solar,4.9,2017,South East
Anesco,Lee Moor,Solar,5.0,2016,South West
Anesco,Lodge Farm,Solar,4.9,2015,East Midlands
Anesco,Low Burntoft ,Solar,5.0,2016,North East
Anesco,Lucern,Solar,4.7,2016,West Midlands
Anesco,Mendip ,Solar,7.2,2014,South West
Anesco,Moss Thorn,Solar,5.0,2017,North West
Anesco,Nanthenfoel,Solar,5.0,2017,Wales
Anesco,New Kaine,Solar,1.9,2015,South East
Anesco,Newnton Dairy ,Solar,7.2,2014,South West
Anesco,Newton Ferrers ,Solar,19.5,2016,South West
Anesco,Oak Cottage,Solar,4.9,2015,Wales
Anesco,Oakham,Solar,4.6,2016,South West
Anesco,Ollerton,Solar,4.2,2017,East Midlands
Anesco,Owls Lodge ,Solar,10.0,2013,South East
Anesco,Oxcroft,Solar,4.2,2016,East Midlands
Anesco,Palmersford,Solar,3.0,2016,South West
Anesco,Parsonage ,Solar,0.6,2013,South West
Anesco,Pencoose ,Solar,8.1,2015,South West
Anesco,Pierces Farm,Solar,1.7,2015,South East
Anesco,Playters,Solar,8.6,2015,Eastern
Anesco,Portworthy,Solar,4.0,2015,South West
Anesco,Puriton,Solar,4.6,2011,South West
Anesco,Radcliffe,Solar,4.2,2015,East Midlands
Anesco,Rainbow ,Solar,4.8,2015,South West
Anesco,Salcey Farm ,Solar,5.5,2014,South East
Anesco,Sandys Moor ,Solar,2.9,2013,South West
Anesco,Saron,Solar,6.3,2015,Wales
Anesco,Shalfleet,Solar,5.0,2015,South East
Anesco,Sheep Shed ,Solar,5.0,2016,West Midlands
Anesco,Shelswell ,Solar,5.1,2013,South East
Anesco,Skegness ,Solar,10.7,2016,East Midlands
Anesco,Skylark,Solar,4.9,2013,Eastern
Anesco,Slepe Farm ,Solar,0.5,2011,South West
Anesco,Spring Lane,Solar,1.0,2017,East Midlands
Anesco,Stables,Solar,2.0,2014,East Midlands
Anesco,Steventon ,Solar,10.0,2014,South East
Anesco,Stripe,Solar,5.0,2016,Yorkshire and Humber
Anesco,Stud Farm ,Solar,2.4,2016,East Midlands
Anesco,The Leys,Solar,5.0,2016,West Midlands
Anesco,The Oaks,Solar,4.7,2016,West Midlands
Anesco,The Rushes ,Solar,5.0,2016,West Midlands
Anesco,Tope Farm,Solar,3.3,2014,South West
Anesco,Trequite ,Solar,11.0,2014,South West
Anesco,Trewidland ,Solar,5.0,2014,South West
Anesco,Trickey Warren,Solar,4.6,2015,South West
Anesco,Warren ,Solar,5.0,2016,South East
Anesco,Welbeck ,Solar,11.3,2014,East Midlands
Anesco, Whitchurch ,Solar,6.5,2014,South West
Anesco,Woden Park ,Solar,5.0,2014,Wales
Anesco,Woodtown,Solar,2.7,2015,South West
Anesco,Wychwood ,Solar,0.7,2012,South East
Anesco,Wymeswold - Wide Lane,Solar,5.0,2016,East Midlands
Anesco,Wymeswold ,Solar,2.1,2016,East Midlands
Anesco,Yarburgh,Solar,8.1,2015,East Midlands
Anesco,Grange Farm ,Solar,5.8,2013,South West
Anesco,Limberlost ,Solar,1.6,2013,South East
Anesco,Pen-Y-Cae,Solar,6.8,2015,Wales
Anesco,Penycae Solar Farm,Solar,5.0,2016,Wales
Blue energy,Beinneun Wind Farm,Wind,108.8,2017,Scotland
Blue energy,Cour Wind Farm,Wind,20.5,2016,Scotland
Blue energy,Grange Wind Farm,Wind,12.3,2016,Yorkshire and Humber
British Solar Renewables Ltd,Aller Court Solar Park,Solar,5.0,2017,South West
British Solar Renewables Ltd,Blenches Mill Solar Park,Solar,6.1,2014,South West
British Solar Renewables Ltd,Bowden Lane Solar Park,Solar,5.0,2017,South West
British Solar Renewables Ltd,Bradenstoke Solar Park,Solar,69.8,2015,South West
British Solar Renewables Ltd,Burcroft Solar Parks,Solar,12.7,2014,South West
British Solar Renewables Ltd,Butleigh Solar Park,Solar,5.0,2011,South West
British Solar Renewables Ltd,Chilton Cantelo Solar Park,Solar,5.0,2013,South West
British Solar Renewables Ltd,Copley Wood Solar Park,Solar,1.5,2016,South West
British Solar Renewables Ltd,Crossways Solar Park,Solar,5.0,2014,South West
British Solar Renewables Ltd,Higher Hill Solar Park,Solar,5.0,2011,South West
British Solar Renewables Ltd,Hook Valley Solar Park,Solar,15.3,2014,Eastern
British Solar Renewables Ltd,Knockworthy Farm Solar Park,Solar,4.6,2013,South West
British Solar Renewables Ltd,Long Ash Lane Solar Park,Solar,5.0,2016,South West
British Solar Renewables Ltd,Raglington Farm Solar Park,Solar,5.7,2013,South East
British Solar Renewables Ltd,Rampisham Estate Solar Park,Solar,5.0,2017,South West
British Solar Renewables Ltd,Stalbridge Solar Park,Solar,5.0,2017,South West
British Solar Renewables Ltd,Whitley (Ashcott Farm) Solar Park,Solar,7.6,2014,South West
British Solar Renewables Ltd,Wyld Meadow Farm Solar Park,Solar,4.8,2012,South West
Calon energy (formerly MPF operations),Sutton Bridge,CCGT,819.0,1999,East Midlands
Calon energy (formerly MPF operations),Baglan Bay CCGT,CCGT,520.0,2002,Wales
Calon energy (formerly MPF operations),Severn Power,CCGT,850.0,2010,Wales
Calon energy (formerly MPF operations),Baglan Bay OCGT,OCGT,32.3,2002,Wales
Centrica,Peterborough,CCGT,360.0,1993,East England
Centrica,Glanford Brigg,CCGT,150.0,1993,Yorkshire & Humber
Centrica,Barry,CCGT,235.0,1998,Wales
Corby Power Ltd,Corby,CCGT,401.0,1993,East Midlands
Cubico Sustainable Investments Limited,Bake Farm Solar Park (England),Solar,5.0,2016,South West
Cubico Sustainable Investments Limited,Barton Close Solar Park (England),Solar,4.6,2015,South West
Cubico Sustainable Investments Limited,Broxted Solar Park (England),Solar,31.6,2014,Eastern
Cubico Sustainable Investments Limited,Grantham Solar Park (England),Solar,4.9,2016,East Midlands
Cubico Sustainable Investments Limited,Hadlow Solar Park (England),Solar,18.9,2015,South East
Cubico Sustainable Investments Limited,Kinblethmont Solar Park (Scotland),Solar,5.0,2016,Scotland
Cubico Sustainable Investments Limited,New Mains of Guynd (Scotland),Solar,5.0,2016,Scotland
Cubico Sustainable Investments Limited,Newlands Farm Solar Park (England),Solar,5.0,2016,South West
Cubico Sustainable Investments Limited,Overton Solar Park (England),Solar,3.8,2015,South East
Cubico Sustainable Investments Limited,Owl's Hatch Solar Park (England),Solar,51.9,2015,South East
Cubico Sustainable Investments Limited,Southfield Solar Park (England),Solar,9.8,2016,South West
Cubico Sustainable Investments Limited,Wisbech Solar Park (England),Solar,3.4,2015,Eastern
Drax Power Ltd,Drax - biomass units,Biomass_wood,"1,980.0",1974,Yorkshire & Humber
Drax Power Ltd,Drax - coal units,Coal,"1,980.0",1974,Yorkshire & Humber
Drax Power Ltd,Drax GT,Gas oil,75.0,1971,Yorkshire and the Humber
E.On UK,Blackburn meadows *,Biomass_wood,33.0,2015,Yorkshire & Humber
E.On UK,Castleford,CCGT,56.0,2002,Yorkshire & Humber
E.On UK,Sandbach,CCGT,56.0,1999,North West
E.On UK,Steven's Croft *,Biomass_wood,50.0,2007,Scotland
E.On UK,Thornhill,CCGT,50.0,1998,Yorkshire & Humber
E.On UK,Blyth T1,Wind (offshore),2.0,2001,North East
E.On UK,Blyth T2,Wind (offshore),2.3,2001,North East
E.On UK,Bowbeat (Emly Bank),Wind,15.6,2002,Scotland
E.On UK,Bowbeat (Roughside),Wind,15.6,2002,Scotland
E.On UK,Butterwick Moor Circuit 1,Wind,10.3,2011,North East
E.On UK,Butterwick Moor Circuit 2,Wind,10.3,2011,North East
E.On UK,Camster,Wind,50.0,2013,Scotland
E.On UK,Deucheran Hill (RO),Wind,15.8,2001,Scotland
E.On UK,Great Eppleton (ex NFFO),Wind,4.1,1997,North East
E.On UK,Great Eppleton RO,Wind,4.1,2010,North East
E.On UK,Hare hill,Wind,3.0,2000,North East
E.On UK,Hare Hill RO,Wind,2.8,2004,North East
E.On UK,Haswell Moor Circuit 1,Wind,5.0,2010,North East
E.On UK,Haswell Moor Circuit 2,Wind,5.3,2010,North East
E.On UK,High Volts,Wind,5.5,2004,North East
E.On UK,High Volts RO,Wind,2.8,2004,North East
E.On UK,Holmside,Wind,2.8,2004,North East
E.On UK,Holmside RO,Wind,2.8,2004,North East
E.On UK,Humber Gateway,Wind (offshore),219.0,2015,Yorkshire and Humber
E.On UK,London Array,Wind (offshore),630.0,2013,South East
E.On UK,Out Newton (RO),Wind,9.1,2002,Yorkshire and Humber
E.On UK,Ovenden Moor,Wind,18.0,1993,Yorkshire and Humber
E.On UK,Rhyd y Groes,Wind,7.0,1992,Wales
E.On UK,Robin Rigg East,Wind (offshore),90.0,2010,Scotland
E.On UK,Robin Rigg West,Wind (offshore),90.0,2010,Scotland
E.On UK,Rosehall,Wind,25.0,2013,Scotland
E.On UK,Royd Moor,Wind,7.0,1993,Yorkshire and Humber
E.On UK,Scroby Sands,Wind (offshore),60.0,2004,Eastern
E.On UK,Stags Holt,Wind,20.0,2007,Eastern
E.On UK,Tween Bridge,Wind,44.0,2012,Yorkshire and Humber
E.On UK,Rampion,Wind (offshore),182.9,2018,South East
Ecotricity,Alveston,Wind,6.9,2017,South West
Ecotricity,Ballymena,Wind,4.6,2013,Northern Ireland
Ecotricity,Bambers,Wind,9.6,2004,East Midlands
Ecotricity,Bristol Port,Wind,6.0,2007,South West
Ecotricity,Cardiff,Wind,2.3,2013,Wales
Ecotricity,Dagenham,Wind,5.9,2004,London
Ecotricity,Dalby,Wind,7.3,2016,East Midlands
Ecotricity,Dundee,Wind,4.0,2006,Scotland
Ecotricity,East Kilbride,Wind,0.6,2016,Scotland
Ecotricity,Ecotech,Wind,1.5,1999,Eastern
Ecotricity,Fen Farm,Wind,16.0,2007,East Midlands
Ecotricity,Galsworthy,Wind,9.2,2014,South West
