,demand_hour,data_type,capacity_factor
0,1,load,36666.0
1,2,load,36610.0
2,3,load,35913.0
3,4,load,35398.0
4,5,load,33825.0
5,6,load,33537.0
6,7,load,36177.5
7,8,load,43540.0
8,9,load,48071.0
9,10,load,48541.0
10,11,load,49098.5
11,12,load,49168.0
12,13,load,49370.5
13,14,load,49115.0
14,15,load,49159.0
15,16,load,48863.0
16,17,load,50503.0
17,18,load,54516.5
18,19,load,55407.5
19,20,load,53419.0
20,21,load,50901.5
21,22,load,47667.5
22,23,load,43393.5
23,24,load,38972.5
24,25,load,36666.0
25,26,load,36610.0
26,27,load,35913.0
27,28,load,35398.0
28,29,load,33825.0
29,30,load,33537.0
30,31,load,36177.5
31,32,load,43540.0
32,33,load,48071.0
33,34,load,48541.0
34,35,load,49098.5
35,36,load,49168.0
36,37,load,49370.5
37,38,load,49115.0
38,39,load,49159.0
39,40,load,48863.0
40,41,load,50503.0
41,42,load,54516.5
42,43,load,55407.5
43,44,load,53419.0
44,45,load,50901.5
45,46,load,47667.5
46,47,load,43393.5
47,48,load,38972.5
48,49,load,36666.0
49,50,load,36610.0
50,51,load,35913.0
51,52,load,35398.0
52,53,load,33825.0
53,54,load,33537.0
54,55,load,36177.5
55,56,load,43540.0
56,57,load,48071.0
57,58,load,48541.0
58,59,load,49098.5
59,60,load,49168.0
60,61,load,49370.5
61,62,load,49115.0
62,63,load,49159.0
63,64,load,48863.0
64,65,load,50503.0
65,66,load,54516.5
66,67,load,55407.5
67,68,load,53419.0
68,69,load,50901.5
69,70,load,47667.5
70,71,load,43393.5
71,72,load,38972.5
72,73,load,36666.0
73,74,load,36610.0
74,75,load,35913.0
75,76,load,35398.0
76,77,load,33825.0
77,78,load,33537.0
78,79,load,36177.5
79,80,load,43540.0
80,81,load,48071.0
81,82,load,48541.0
82,83,load,49098.5
83,84,load,49168.0
84,85,load,49370.5
85,86,load,49115.0
86,87,load,49159.0
87,88,load,48863.0
88,89,load,50503.0
89,90,load,54516.5
90,91,load,55407.5
91,92,load,53419.0
92,93,load,50901.5
93,94,load,47667.5
94,95,load,43393.5
95,96,load,38972.5
96,97,load,36666.0
97,98,load,36610.0
98,99,load,35913.0
99,100,load,35398.0
100,101,load,33825.0
101,102,load,33537.0
102,103,load,36177.5
103,104,load,43540.0
104,105,load,48071.0
105,106,load,48541.0
106,107,load,49098.5
107,108,load,49168.0
108,109,load,49370.5
109,110,load,49115.0
110,111,load,49159.0
111,112,load,48863.0
112,113,load,50503.0
113,114,load,54516.5
114,115,load,55407.5
115,116,load,53419.0
116,117,load,50901.5
117,118,load,47667.5
118,119,load,43393.5
119,120,load,38972.5
120,121,load,36666.0
121,122,load,36610.0
122,123,load,35913.0
123,124,load,35398.0
124,125,load,33825.0
125,126,load,33537.0
126,127,load,36177.5
127,128,load,43540.0
128,129,load,48071.0
129,130,load,48541.0
130,131,load,49098.5
131,132,load,49168.0
132,133,load,49370.5
133,134,load,49115.0
134,135,load,49159.0
135,136,load,48863.0
136,137,load,50503.0
137,138,load,54516.5
138,139,load,55407.5
139,140,load,53419.0
140,141,load,50901.5
141,142,load,47667.5
142,143,load,43393.5
143,144,load,38972.5
144,145,load,36666.0
145,146,load,36610.0
146,147,load,35913.0
147,148,load,35398.0
148,149,load,33825.0
149,150,load,33537.0
150,151,load,36177.5
151,152,load,43540.0
152,153,load,48071.0
153,154,load,48541.0
154,155,load,49098.5
155,156,load,49168.0
156,157,load,49370.5
157,158,load,49115.0
158,159,load,49159.0
159,160,load,48863.0
160,161,load,50503.0
161,162,load,54516.5
162,163,load,55407.5
163,164,load,53419.0
164,165,load,50901.5
165,166,load,47667.5
166,167,load,43393.5
167,168,load,38972.5
168,169,load,36666.0
169,170,load,36610.0
170,171,load,35913.0
171,172,load,35398.0
172,173,load,33825.0
173,174,load,33537.0
174,175,load,36177.5
175,176,load,43540.0
176,177,load,48071.0
177,178,load,48541.0
178,179,load,49098.5
179,180,load,49168.0
180,181,load,49370.5
181,182,load,49115.0
182,183,load,49159.0
183,184,load,48863.0
184,185,load,50503.0
185,186,load,54516.5
186,187,load,55407.5
187,188,load,53419.0
188,189,load,50901.5
189,190,load,47667.5
190,191,load,43393.5
191,192,load,38972.5
192,193,load,36666.0
193,194,load,36610.0
194,195,load,35913.0
195,196,load,35398.0
196,197,load,33825.0
197,198,load,33537.0
198,199,load,36177.5
199,200,load,43540.0
200,201,load,48071.0
201,202,load,48541.0
202,203,load,49098.5
203,204,load,49168.0
204,205,load,49370.5
205,206,load,49115.0
206,207,load,49159.0
207,208,load,48863.0
208,209,load,50503.0
209,210,load,54516.5
210,211,load,55407.5
211,212,load,53419.0
212,213,load,50901.5
213,214,load,47667.5
214,215,load,43393.5
215,216,load,38972.5
216,217,load,36666.0
217,218,load,36610.0
218,219,load,35913.0
219,220,load,35398.0
220,221,load,33825.0
221,222,load,33537.0
222,223,load,36177.5
223,224,load,43540.0
224,225,load,48071.0
225,226,load,48541.0
226,227,load,49098.5
227,228,load,49168.0
228,229,load,49370.5
229,230,load,49115.0
230,231,load,49159.0
231,232,load,48863.0
232,233,load,50503.0
233,234,load,54516.5
234,235,load,55407.5
235,236,load,53419.0
236,237,load,50901.5
237,238,load,47667.5
238,239,load,43393.5
239,240,load,38972.5
240,241,load,36666.0
241,242,load,36610.0
242,243,load,35913.0
243,244,load,35398.0
244,245,load,33825.0
245,246,load,33537.0
246,247,load,36177.5
247,248,load,43540.0
248,249,load,48071.0
249,250,load,48541.0
250,251,load,49098.5
251,252,load,49168.0
252,253,load,49370.5
253,254,load,49115.0
254,255,load,49159.0
255,256,load,48863.0
256,257,load,50503.0
257,258,load,54516.5
258,259,load,55407.5
259,260,load,53419.0
260,261,load,50901.5
261,262,load,47667.5
262,263,load,43393.5
263,264,load,38972.5
264,265,load,36666.0
265,266,load,36610.0
266,267,load,35913.0
267,268,load,35398.0
268,269,load,33825.0
269,270,load,33537.0
270,271,load,36177.5
271,272,load,43540.0
272,273,load,48071.0
273,274,load,48541.0
274,275,load,49098.5
275,276,load,49168.0
276,277,load,49370.5
277,278,load,49115.0
278,279,load,49159.0
279,280,load,48863.0
280,281,load,50503.0
281,282,load,54516.5
282,283,load,55407.5
283,284,load,53419.0
284,285,load,50901.5
285,286,load,47667.5
286,287,load,43393.5
287,288,load,38972.5
288,289,load,36666.0
289,290,load,36610.0
290,291,load,35913.0
291,292,load,35398.0
292,293,load,33825.0
293,294,load,33537.0
294,295,load,36177.5
295,296,load,43540.0
296,297,load,48071.0
297,298,load,48541.0
298,299,load,49098.5
299,300,load,49168.0
300,301,load,49370.5
301,302,load,49115.0
302,303,load,49159.0
303,304,load,48863.0
304,305,load,50503.0
305,306,load,54516.5
306,307,load,55407.5
307,308,load,53419.0
308,309,load,50901.5
309,310,load,47667.5
310,311,load,43393.5
311,312,load,38972.5
312,313,load,36666.0
313,314,load,36610.0
314,315,load,35913.0
315,316,load,35398.0
316,317,load,33825.0
317,318,load,33537.0
318,319,load,36177.5
319,320,load,43540.0
320,321,load,48071.0
321,322,load,48541.0
322,323,load,49098.5
323,324,load,49168.0
324,325,load,49370.5
325,326,load,49115.0
326,327,load,49159.0
327,328,load,48863.0
328,329,load,50503.0
329,330,load,54516.5
330,331,load,55407.5
331,332,load,53419.0
332,333,load,50901.5
333,334,load,47667.5
334,335,load,43393.5
335,336,load,38972.5
336,337,load,36666.0
337,338,load,36610.0
338,339,load,35913.0
339,340,load,35398.0
340,341,load,33825.0
341,342,load,33537.0
342,343,load,36177.5
343,344,load,43540.0
344,345,load,48071.0
345,346,load,48541.0
346,347,load,49098.5
347,348,load,49168.0
348,349,load,49370.5
349,350,load,49115.0
350,351,load,49159.0
351,352,load,48863.0
352,353,load,50503.0
353,354,load,54516.5
354,355,load,55407.5
355,356,load,53419.0
356,357,load,50901.5
357,358,load,47667.5
358,359,load,43393.5
359,360,load,38972.5
360,361,load,36666.0
361,362,load,36610.0
362,363,load,35913.0
363,364,load,35398.0
364,365,load,33825.0
365,366,load,33537.0
366,367,load,36177.5
367,368,load,43540.0
368,369,load,48071.0
369,370,load,48541.0
370,371,load,49098.5
371,372,load,49168.0
372,373,load,49370.5
373,374,load,49115.0
374,375,load,49159.0
375,376,load,48863.0
376,377,load,50503.0
377,378,load,54516.5
378,379,load,55407.5
379,380,load,53419.0
380,381,load,50901.5
381,382,load,47667.5
382,383,load,43393.5
383,384,load,38972.5
384,385,load,36666.0
385,386,load,36610.0
386,387,load,35913.0
387,388,load,35398.0
388,389,load,33825.0
389,390,load,33537.0
390,391,load,36177.5
391,392,load,43540.0
392,393,load,48071.0
393,394,load,48541.0
394,395,load,49098.5
395,396,load,49168.0
396,397,load,49370.5
397,398,load,49115.0
398,399,load,49159.0
399,400,load,48863.0
400,401,load,50503.0
401,402,load,54516.5
402,403,load,55407.5
403,404,load,53419.0
404,405,load,50901.5
405,406,load,47667.5
406,407,load,43393.5
407,408,load,38972.5
408,409,load,36666.0
409,410,load,36610.0
410,411,load,35913.0
411,412,load,35398.0
412,413,load,33825.0
413,414,load,33537.0
414,415,load,36177.5
415,416,load,43540.0
416,417,load,48071.0
417,418,load,48541.0
418,419,load,49098.5
419,420,load,49168.0
420,421,load,49370.5
421,422,load,49115.0
422,423,load,49159.0
423,424,load,48863.0
424,425,load,50503.0
425,426,load,54516.5
426,427,load,55407.5
427,428,load,53419.0
428,429,load,50901.5
429,430,load,47667.5
430,431,load,43393.5
431,432,load,38972.5
432,433,load,36666.0
433,434,load,36610.0
434,435,load,35913.0
435,436,load,35398.0
436,437,load,33825.0
437,438,load,33537.0
438,439,load,36177.5
439,440,load,43540.0
440,441,load,48071.0
441,442,load,48541.0
442,443,load,49098.5
443,444,load,49168.0
444,445,load,49370.5
445,446,load,49115.0
