,,OCGT 100MW 2000 hr ,,,Recip Diesel 2000 hr ,,,Recip Diesel 500 hrs ,,,Recip Diesel 90 hrs ,,
Reference plant size ,MW ,96,,,20,,,20,,,20,,
Average load factor (net of availability) ,% ,22%,,,22%,,,5%,,,1%,,
Efficiency (HHV) ,% ,35%,,,34%,,,34%,,,34%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,2 years ,55.60%,44.40%,2 years ,50%,50%,2 years ,50%,50%,2 years ,50%,50%
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,2 years ,50%,50%,1 years ,100%,,1 years ,100%,,1 years ,100%,
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,15 years ,,,15 years ,,,15 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,90,90,90,20,20,20,20,20,20,20,20,20
,Medium ,80,80,80,10,10,10,10,10,10,10,10,10
,Low ,70,70,70,10,10,10,10,10,10,10,10,10
Construction £/kW ,High ,800,800,800,300,300,300,300,300,300,300,300,300
,Medium ,600,600,600,300,300,300,300,300,300,300,300,300
,Low ,600,600,600,200,200,200,200,200,200,200,200,200
Infrastructure £'000s ,High ,"25,100","25,100","25,100","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500"
,Medium ,"12,600","12,600","12,600","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200"
,Low ,"6,300","6,300","6,300",400,400,400,400,400,400,400,400,400
Fixed O&M £/MW/year ,Medium ,"14,800","14,800","14,800","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
Variable O&M £/MWh ,Medium ,4,4,4,2,2,2,2,2,2,2,2,2
Insurance £/MWh/year ,Medium ,"2,500","2,500","2,500","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
Connection and Use of System charges £/MW/year ,Medium ,"2,500","2,500","2,500","-31,900","-31,900","-31,900","-28,500","-28,500","-28,500","-28,000","-28,000","-28,000"
