,,Solar 100-1000kW ,,,Solar <10kW ,,,Onshore <50kW ,,,Onshore 250-1000kW ,,
Reference plant size ,MW ,0.455,,,0.003,,,0.01,,,0.482,,
Average load factor (net of availability) ,% ,11%,,,11%,,,21%,,,26%,,
Efficiency (LHV) ,% ,100%,,,100%,,,100%,,,100%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,0 years ,,,0 years ,,,0 years ,,,0 years ,,
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,0 years ,100%,,0 years ,100%,,0 years ,100%,,0 years ,100%,
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,30 years ,,,30 years ,,,20 years ,,,20 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Low ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Construction £/kW ,High ,"1,300","1,200","1,200","1,900","1,800","1,700","4,600","4,500","4,300","2,700","2,700","2,500"
,Medium ,"1,000","1,000",900,"1,500","1,500","1,400","3,700","3,600","3,500","2,200","2,100","2,000"
,Low ,800,800,700,"1,200","1,100","1,000","2,800","2,800","2,600","1,700","1,600","1,500"
Infrastructure £'000s ,High ,200,200,200,- ,- ,- ,- ,- ,- ,200,200,200
,Medium ,200,200,200,- ,- ,- ,- ,- ,- ,200,200,200
,Low ,200,200,200,- ,- ,- ,- ,- ,- ,200,200,200
Fixed O&M £/MW/year ,Medium ,"9,400","9,400","9,200","23,500","23,400","23,200","29,700","29,600","29,600","56,900","56,900","56,700"
Variable O&M £/MWh ,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Insurance £/MWh/year ,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Connection and Use of System charges £/MW/year ,Medium ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
