,,Gas - CCS CCGT Post FOAK ,,,Gas - CCS CCGT Retro Post FOAK ,,,Gas - CCS CCGT Pre FOAK ,,,Gas - CCS CCGT oxy FOAK ,,
Reference plant size ,MW ,963,,,618,,,"1,084",,,"1,038",,
Average load factor (net of availability) ,% ,88%,,,88%,,,88%,,,88%,,
Efficiency (HHV) ,% ,44%,,,44%,,,38%,,,42%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,5 years ,20%,20%,4 years ,25%,25%,5 years ,20%,20%,6 years ,16.70%,16.70%
,"% spend per years 3, 4, & 5 ",20%,20%,20%,25%,25%,,20%,20%,20%,16.70%,16.70%,16.70%
,"% spend per years 6, 7, & 8 ",,,,,,,,,,16.70%,,
Construction period ,Duration and % spend per years 1 & 2 ,5 years ,20%,20%,4 years ,25%,25%,5 years ,20%,20%,5 years ,20%,20%
,"% spend per years 3, 4, & 5 ",20%,20%,20%,25%,25%,,20%,20%,20%,20%,20%,20%
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,25 years ,,,25 years ,,,25 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,- ,- ,80,- ,- ,50,- ,- ,80,- ,- ,80
,Medium ,- ,- ,50,- ,- ,30,- ,- ,50,- ,- ,40
,Low ,- ,- ,30,- ,- ,20,- ,- ,30,- ,- ,30
Construction £/kW ,High ,- ,- ,"2,700",- ,- ,"1,800",- ,- ,"2,600",- ,- ,"2,700"
,Medium ,- ,- ,"2,100",- ,- ,"1,400",- ,- ,"2,000",- ,- ,"2,100"
,Low ,- ,- ,"1,700",- ,- ,"1,200",- ,- ,"1,700",- ,- ,"1,700"
Infrastructure £'000s ,High ,- ,- ,"30,200",- ,- ,- ,- ,- ,"30,200",- ,- ,"30,200"
,Medium ,- ,- ,"15,100",- ,- ,- ,- ,- ,"15,100",- ,- ,"15,100"
,Low ,- ,- ,"7,600",- ,- ,- ,- ,- ,"7,600",- ,- ,"7,600"
Fixed O&M £/MW/year ,Medium ,- ,- ,"31,000",- ,- ,"30,900",- ,- ,"30,500",- ,- ,"83,800"
Variable O&M £/MWh ,Medium ,- ,- ,3,- ,- ,3,- ,- ,4,- ,- ,4
Insurance £/MWh/year ,Medium ,- ,- ,"7,300",- ,- ,"7,400",- ,- ,"7,500",- ,- ,"7,500"
Connection and Use of System charges £/MW/year ,Medium ,- ,- ,"3,300",- ,- ,"3,300",- ,- ,"3,300",- ,- ,"3,300"
