N2EX Day Ahead Auction Prices in GBP/MWh,,,,,,,,,
UK time,CET/CEST time,20/09/2018,19/09/2018,18/09/2018,17/09/2018,16/09/2018,15/09/2018,14/09/2018,13/09/2018
23 - 00,00 - 01,"45,77","44,02","59,93","63,84","53,97","68,75","74,53","75,06"
00 - 01,01 - 02,"38,25","38,44","49,96","56,20","45,51","57,92","65,00","65,05"
01 - 02,02 - 03,"36,71","29,91","40,49","53,03","40,47","53,98","62,00","59,68"
02 - 03,03 - 04,"36,53","25,50","37,76","56,92","34,09","52,02","57,91","54,56"
03 - 04,04 - 05,"39,05","26,00","39,50","56,00","30,32","50,20","55,91","53,94"
04 - 05,05 - 06,"44,81","31,50","41,91","56,94","25,00","54,96","54,05","53,97"
05 - 06,06 - 07,"61,22","54,88","55,32","64,04","28,56","59,97","64,62","65,69"
06 - 07,07 - 08,"69,29","69,20","70,10","70,00","32,10","68,00","68,50","72,37"
07 - 08,08 - 09,"69,02","76,78","84,08","80,00","38,40","61,92","72,00","74,02"
08 - 09,09 - 10,"68,65","84,49","85,50","85,00","41,63","69,10","79,59","72,86"
09 - 10,10 - 11,"73,03","74,99","84,00","84,93","51,00","80,00","76,40","71,87"
10 - 11,11 - 12,"71,95","66,77","78,99","73,00","74,93","78,99","69,71","67,59"
11 - 12,12 - 13,"73,10","61,07","61,00","63,20","58,00","70,00","66,15","66,65"
12 - 13,13 - 14,"71,98","67,00","55,48","60,86","66,00","68,00","61,80","65,48"
13 - 14,14 - 15,"66,50","66,00","54,00","58,52","67,20","55,07","60,08","65,14"
14 - 15,15 - 16,"66,50","57,50","51,34","58,50","66,90","54,92","59,01","64,40"
15 - 16,16 - 17,"73,10","61,00","52,81","59,04","60,85","56,52","57,45","63,40"
16 - 17,17 - 18,"81,40","72,07","61,05","65,11","65,97","60,00","65,00","68,96"
17 - 18,18 - 19,"80,99","81,60","73,08","70,00","70,80","75,04","72,00","71,40"
18 - 19,19 - 20,"84,00","88,53","79,92","72,79","86,91","84,97","80,00","83,90"
19 - 20,20 - 21,"81,65","87,70","85,90","74,44","92,00","86,00","87,98","91,12"
20 - 21,21 - 22,"69,00","80,70","81,00","64,00","89,99","77,00","86,02","89,93"
21 - 22,22 - 23,"63,00","61,00","61,99","56,00","75,20","60,80","70,00","73,36"
22 - 23,23 - 00,"56,60","53,26","56,14","20,00","61,90","56,60","64,06","64,00"
,,,,,,,,,
Min,,"36,53","25,50","37,76","20,00","25,00","50,20","54,05","53,94"
Max,,"84,00","88,53","85,90","85,00","92,00","86,00","87,98","91,12"
Average,,"63,42","60,83","62,55","63,43","56,57","65,03","67,91","68,93"
UK time,CET/CEST time,20/09/2018,19/09/2018,18/09/2018,17/09/2018,16/09/2018,15/09/2018,14/09/2018,13/09/2018
