N2EX Day Ahead Auction Prices in GBP/MWh,,,,,,,,,
UK time,CET/CEST time,21/01/2018,20/01/2018,19/01/2018,18/01/2018,17/01/2018,16/01/2018,15/01/2018,14/01/2018
23 - 00,00 - 01,"47,56","40,67","39,65","44,88","46,41","47,97","43,39","54,00"
00 - 01,01 - 02,"50,91","43,91","43,90","50,00","47,44","47,93","44,95","48,12"
01 - 02,02 - 03,"49,91","43,67","39,15","47,04","48,00","47,56","44,99","49,95"
02 - 03,03 - 04,"45,92","41,09","37,55","42,07","42,43","42,63","40,56","48,00"
03 - 04,04 - 05,"43,50","40,96","37,99","41,67","38,59","39,01","40,08","44,92"
04 - 05,05 - 06,"42,32","43,67","37,00","39,00","34,60","31,29","36,23","41,06"
05 - 06,06 - 07,"40,75","43,52","38,00","39,02","38,54","39,02","41,50","38,02"
06 - 07,07 - 08,"40,91","46,90","47,96","48,00","47,49","52,91","51,00","39,95"
07 - 08,08 - 09,"41,03","41,09","56,24","43,28","46,21","46,00","48,11","40,00"
08 - 09,09 - 10,"42,22","46,83","57,43","51,00","50,00","50,99","46,83","48,00"
09 - 10,10 - 11,"44,42","62,73","58,56","53,85","50,00","56,08","57,00","47,00"
10 - 11,11 - 12,"58,87","63,73","50,00","57,00","48,76","50,00","57,00","55,50"
11 - 12,12 - 13,"53,22","59,55","44,70","52,00","44,48","47,33","53,50","54,14"
12 - 13,13 - 14,"62,00","59,95","41,38","48,33","46,00","47,44","53,00","58,00"
13 - 14,14 - 15,"48,00","47,60","41,10","46,00","46,00","47,44","46,80","49,76"
14 - 15,15 - 16,"42,95","44,06","41,22","45,80","46,00","49,00","45,00","45,00"
15 - 16,16 - 17,"43,07","45,70","42,73","48,04","48,03","52,52","45,58","45,00"
16 - 17,17 - 18,"51,56","56,50","50,30","59,80","50,73","56,97","53,00","60,50"
17 - 18,18 - 19,"82,01","100,00","75,10","84,96","75,12","73,00","73,16","83,00"
18 - 19,19 - 20,"64,22","84,80","67,94","67,35","70,00","65,50","64,18","57,03"
19 - 20,20 - 21,"45,54","59,11","55,50","56,42","59,93","60,15","60,00","50,00"
20 - 21,21 - 22,"42,89","53,10","44,00","50,00","58,61","51,55","50,70","52,53"
21 - 22,22 - 23,"40,57","49,02","42,23","47,87","51,99","52,55","50,01","46,62"
22 - 23,23 - 00,"38,70","46,15","38,97","40,00","43,73","40,00","41,50","40,00"
,,,,,,,,,
Min,,"38,70","40,67","37,00","39,00","34,60","31,29","36,23","38,02"
Max,,"82,01","100,00","75,10","84,96","75,12","73,00","73,16","83,00"
Average,,"48,46","52,68","47,03","50,14","49,13","49,79","49,50","49,84"
UK time,CET/CEST time,21/01/2018,20/01/2018,19/01/2018,18/01/2018,17/01/2018,16/01/2018,15/01/2018,14/01/2018
