,Company,cash_in_bank,total_liabilities,total_assets,turnover,net_assets
0,AES,,-70000.0,127780000.0,101610000.0,127710000.0
1,Anesco,4290000.0,-25700000.0,73320000.0,72450000.0,47620000.0
2,Blue energy,54680.0,-139760.0,114100.0,1520000.0,-25660.0
3,British Solar Renewables Ltd,5640000.0,-9000000.0,18370000.0,23860000.0,9370000.0
4,Calon energy (formerly MPF operations),34220000.0,-1070000000.0000001,670840000.0,373270000.0,-397950000.0
5,Centrica,2860000000.0,-17970000000.0,20670000000.0,28020000000.0,2700000000.0
6,Corby Power Ltd,2740000.0,-11290000.0,19580000.0,4530000.0,8289999.999999999
7,Cubico Sustainable Investments Limited,19160000.0,-778180000.0,1220000000.0,238090000.0,439930000.0
8,Drax Power Ltd,27190000.0,-1080000000.0,2430000000.0,2720000000.0,1350000000.0
9,E.On UK,,-3740000000.0,2740000000.0,480000000.0,2740000000.0
10,Ecotricity,18850000.0,-188020000.0,257089999.99999997,126450000.0,69060000.0
11,EDF Energy,1880000000.0,-3220000000.0,5060000000.0,5390000000.0,1840000000.0
12,EDF renewables,8660000.0,-33650000.0,41330000.0,10880000.0,7680000.0
13,Eggborough Power Ltd,25000000.0,-111000000.0,94000000.0,106000000.0,-17000000.0
14,Eneco,1020000.0,-92950000.0,298340000.0,1250000.0,205390000.0
15,Engie,3700000.0,-205240000.0,243180000.0,533960000.00000006,37940000.0
16,EPR,381000.0,-4540000.0,10290000.0,26180000.0,5740000.0
17,EPUKi,8540000.0,-473500000.0,498880000.0,3470000.0,25390000.0
18,ESB,7090000.0,-13610000.0,10630000.0,359000.0,-2980000.0
19,Falck renewables LTD,12260000.0,-46360000.0,241330000.0,9000000.0,194970000.0
20,Foresight Group ,10040000.0,-18320000.0,24850000.0,36290000.0,6530000.0
21,Fred Olsen Renewables,90270000.0,-424000000.0,503690000.0,108180000.0,79700000.0
22,Greencoat,3360000.0,-3620000.0,11130000.0,11310000.0,7520000.0
23,Indian Queens Power Ltd,907000.0,-15280000.0,12620000.0,3060000.0,-2660000.0
24,Infinis,163990000.0,-597590000.0,642670000.0,150750000.0,45070000.0
25,Innogy renewables,1330000.0,-1960000000.0,3570000000.0,485150000.0,1600000000.0
26,Intergen,3000.0,-262790000.00000003,675110000.0,46000.0,412320000.0
27,Lark,203000.0,-149720000.0,147620000.0,57970000.0,-2100000.0
28,LightsourceBP,38810000.0,-597760000.0,549900000.0,61780000.0,-47860000.0
29,Londonwaste Limited,,,,,
30,Magnox Ltd,9510000.0,-136180000.0,150030000.0,608980000.0,13850000.0
31,Marchwood Power Limited,16050000.0,-188300000.0,314400000.0,65819999.99999999,126100000.0
32,Multifuel energy ltd,22200000.0,-266700000.0,327200000.0,53600000.0,60500000.0
33,Octopus energy,7530000.0,-32229999.999999996,25520000.0,35240000.0,-6710000.0
34,Orsted,1000.0,-17920000.0,26150000.0,20850000.0,8240000.0
35,Peel energy,-3120000.0,-3310000.0,195040.0,,-3120000.0
36,REG power,1220000.0,-16530000.000000002,16760000.000000002,7080000.0,236000.0
37,Renewable energy systems,171270000.0,-339180000.0,652300000.0,885670000.0,313120000.0
38,Riverside Resource Recovery Limited,39330000.0,-645450000.0,591950000.0,107880000.0,-53500000.0
39,Rockfire capital,1450000.0,-4760000.0,25210000.0,10450000.0,20450000.0
40,RWE Generation SE,5000000.0,-1560000000.0,2970000000.0,2240000000.0,1410000000.0
41,Saltend Cogeneration Company Ltd,3070000.0,-103830000.0,269850000.0,342110000.0,166020000.0
42,Scira Offshore Energy Ltd,3320000.0,-630350000.0,1150000000.0,160750000.0,524150000.0
43,Scotia wind,283000.0,-7920000.0,23800000.0,5640000.0,15880000.0
44,Scottish power,46000000.0,-10400000000.0,15680000000.0,5240000000.0,5280000000.0
45,Seabank Power Limited,13520000.0,-68820000.0,203240000.0,142390000.0,134430000.0
46,Sellafield Ltd,12000000.0,-1130000000.0,1130000000.0,2009999999.9999998,0.0
47,Sembcorp Utilities (UK) Ltd,32850000.0,-75200000.0,156370000.0,175440000.0,81170000.0
48,SIMEC,49960.0,-3450000.0,3360000.0,,-89000.0
49,South East London Combined Heat & Power Ltd,6610000.0,-34040000.0,40260000.0,38740000.0,6220000.0
50,SSE,232000000.0,-17410000000.0,22640000000.0,31230000000.0,5230000000.0
51,Statkraft Energy Ltd,5670000.0,-28030000.0,61480000.0,14780000.0,33460000.0
52,Suez recycling and recovery,605000.0,-213720000.0,346990000.0,504340000.0,133280000.0
53,Third Energy Trading Ltd,23000.0,-4220000.0,4230000.0,1030000.0,6000.0
54,Uniper UK Limited,1000000.0,-621000000.0,1040000000.0,743000000.0,423000000.0
55,Vattenfall,18280000.0,-99990000.0,998950000.0,47980000.0,898970000.0
56,Viridor Waste Management,670000.0,-1320000000.0,1660000000.0,,344170000.0
57,VPI Immingham LLP,37490000.0,-450030000.0,678920000.0,618380000.0,228890000.0
58,WPO,268740.0,-370940.0,498230.0,2320000.0,127290.0
59,Xceco,627000.0,-743760.0,803390.0,,59630.0
