Company,cash_in_bank
A7 Energy,39000
AES,216000
Baglan Generation Ltd,419170
Barking Power,160081
Beaufort Wind Ltd,-37000000
BNP Paribas Clean Energy Partners GP Limited,1965000
Braes of Doune Windfarm,42000
British Energy,392000000
Cemmaes Windfarm Ltd,5700000
Centrica,2860000000.0
Cold Northcott Windfarm Ltd,2100000
Coolkeeragh ESB Ltd,7248000
Corby Power Ltd,106488000
Dong Energy,381966000
Drax Power Ltd,456592000
EDF Energy,1791500000
EDF Energy Renewables,-5849000
Eggborough Power Ltd,82000000
EPR Ely Limited,25862995
EPR Glanford Ltd,25180000
EPR Thetford Ltd,38661885
EPR Scotland Ltd,-2845398
EON,553000000
Falck Renewables Wind Ltd,291000
Fenland Windfarms Ltd,507506
Fred Olsen,-1636000
GDF Suez,41845000
Great Orton Windfarm Ltd,608154
HG Capital,5867000
High Hedley Hope Wind Ltd,13161000
Immingham CHP LLP,2793000
Infinis,10837000
Intergen,4690000
International Power Ltd,497000000
Kirkheaton Wind Ltd,-31000
K/S Winscales,1368000
Llangwyryfon Windfarm Ltd,3108000
London Array Ltd,0
Londonwaste Limited,0
Lynemouth Power Ltd,4999000
Magnox Ltd,0
Marchwood Power Limited,19471000
PEEL WIND POWER,132000
Peel Energy Ltd,2416000
Px Limited,302165
RES-Gen Ltd,320000
RGS Energy Ltd,948
Riverside Resource Recovery Limited,47754000
RWE Npower Plc,180000000
RWE Npower Renewables Ltd,961436
(Part of RWE Npower),0
Affric/Beauly,0
Breadalbane,0
Conon,0
Foyers,0
Great Glen,0
Shin,0
Sloy/Awe,0
Tummel,0
SSE,185000000
Small Hydros:,0
Galloway,0
Lanark,0
Cruachan,0
Scottish Power,41700000
Seabank Power Limited,52450000
Sembcorp Utilities,10785000
Combined Heat & Power Ltd,0
Statkraft Energy Ltd,37000000
Sutton Bridge Power Generation,36719000
Talisman Energy,0
Triodos,10009434
Vattenfall,8661000
