,year,variable,value
0,2011,coal,11243.906907002713
1,2012,coal,15630.434915205928
2,2013,coal,14355.798134214345
3,2014,coal,11025.881341383158
4,2015,coal,8506.284996424314
5,2016,coal,3179.8572572954417
6,2017,coal,2352.489874418029
7,2018,coal,1753.406903646131
8,2019,coal,704.8526948522001
9,2011,nuclear,6734.439814962514
10,2012,nuclear,7514.328126929837
11,2013,nuclear,7526.513864487052
12,2014,nuclear,6821.166719124057
13,2015,nuclear,7501.4863027413585
14,2016,nuclear,7599.28695403395
15,2017,nuclear,7484.032609420076
16,2018,nuclear,6924.267173391245
17,2019,nuclear,5790.64991661627
18,2011,ccgt,14000.322491625458
19,2012,ccgt,9455.295672414612
20,2013,ccgt,9135.930887632725
21,2014,ccgt,9876.204078323653
22,2015,ccgt,9630.220891537545
23,2016,ccgt,14487.240177379363
24,2017,ccgt,13658.321885919395
25,2018,ccgt,13180.123033108546
26,2019,ccgt,13911.228563050929
27,2011,wind,1219.7951347902376
28,2012,wind,1435.485117096575
29,2013,wind,2127.1267091895197
30,2014,wind,2416.926159069883
31,2015,wind,2670.218641239571
32,2016,wind,2411.899628075529
33,2017,wind,3689.9103407565385
34,2018,wind,4500.075722939764
35,2019,wind,4940.573606758664
36,2011,hydro,466.65894081990746
37,2012,hydro,372.80894019286495
38,2013,hydro,332.95062447483
39,2014,hydro,447.84209371751217
40,2015,hydro,467.4293015494637
41,2016,hydro,384.4546252145718
42,2017,hydro,457.04333006445717
43,2018,hydro,365.9925039052082
44,2019,hydro,369.20943060824305
45,2011,biomass,0.0
46,2012,biomass,237.981435561256
47,2013,biomass,439.39087923000534
48,2014,biomass,852.3270384464982
49,2015,biomass,1288.407380214541
50,2016,biomass,1616.0081632653062
51,2017,biomass,1626.9152726337938
52,2018,biomass,1839.5157446565322
53,2019,biomass,1873.1943482324482
54,2011,oil,1.1845110862976551
55,2012,oil,2.3059902142416036
56,2013,oil,0.8668168971048812
57,2014,oil,0.5771457457056473
58,2015,oil,0.29736352800953514
59,2016,oil,0.0
60,2017,oil,0.0
61,2018,oil,0.0044005029146188136
62,2019,oil,0.022815987684864477
63,2011,solar,0.0
64,2012,solar,0.0
65,2013,solar,0.0
66,2014,solar,0.0
67,2015,solar,0.0
68,2016,solar,70.33171195982253
69,2017,solar,1185.0125496602625
70,2018,solar,1244.565825030031
71,2019,solar,1378.848171885279
72,2011,ocgt,3.6242143882596904
73,2012,ocgt,2.939489810460311
74,2013,ocgt,0.8225307463142617
75,2014,ocgt,0.7262487243316451
76,2015,ocgt,0.7400429082240763
77,2016,ocgt,1.8914934197978257
78,2017,ocgt,1.8846626234159438
79,2018,ocgt,2.096372918809769
80,2019,ocgt,8.121428702329247
