,Fuel,Year,value
0,Coal,1990,0.006353201
1,Oil,1990,0.004457143
2,Gas,1990,0.00562
3,Uranium,1990,
4,Diesel,1990,
5,Woodchip,1990,
6,Poultry_litter,1990,
7,Straw,1990,
8,Meat,1990,
9,Waste_post_2000,1990,
10,Waste_pre_2000,1990,
11,Coal,1991,0.006259179
12,Oil,1991,0.004717956
13,Gas,1991,0.00607
14,Uranium,1991,
15,Diesel,1991,
16,Woodchip,1991,
17,Poultry_litter,1991,
18,Straw,1991,
19,Meat,1991,
20,Waste_post_2000,1991,
21,Waste_pre_2000,1991,
22,Coal,1992,0.006600432
23,Oil,1992,0.004812948
24,Gas,1992,0.00595
25,Uranium,1992,
26,Diesel,1992,
27,Woodchip,1992,
28,Poultry_litter,1992,
29,Straw,1992,
30,Meat,1992,
31,Waste_post_2000,1992,
32,Waste_pre_2000,1992,
33,Coal,1993,0.00611
34,Oil,1993,0.00472
35,Gas,1993,0.00556
36,Uranium,1993,
37,Diesel,1993,
38,Woodchip,1993,
39,Poultry_litter,1993,
40,Straw,1993,
41,Meat,1993,
42,Waste_post_2000,1993,
43,Waste_pre_2000,1993,
44,Coal,1994,0.00528
45,Oil,1994,0.00526
46,Gas,1994,0.00588
47,Uranium,1994,
48,Diesel,1994,
49,Woodchip,1994,
50,Poultry_litter,1994,
51,Straw,1994,
52,Meat,1994,
53,Waste_post_2000,1994,
54,Waste_pre_2000,1994,
55,Coal,1995,0.005
56,Oil,1995,0.006840000000000001
57,Gas,1995,0.00584
58,Uranium,1995,
59,Diesel,1995,
60,Woodchip,1995,
61,Poultry_litter,1995,
62,Straw,1995,
63,Meat,1995,
64,Waste_post_2000,1995,
65,Waste_pre_2000,1995,
66,Coal,1996,0.00507
67,Oil,1996,0.007090000000000001
68,Gas,1996,0.00592
69,Uranium,1996,
70,Diesel,1996,
71,Woodchip,1996,
72,Poultry_litter,1996,
73,Straw,1996,
74,Meat,1996,
75,Waste_post_2000,1996,
76,Waste_pre_2000,1996,
77,Coal,1997,0.00474
78,Oil,1997,0.00746
79,Gas,1997,0.0059299999999999995
80,Uranium,1997,
81,Diesel,1997,
82,Woodchip,1997,
83,Poultry_litter,1997,
84,Straw,1997,
85,Meat,1997,
86,Waste_post_2000,1997,
87,Waste_pre_2000,1997,
88,Coal,1998,0.00421
89,Oil,1998,0.00599
90,Gas,1998,0.0056
91,Uranium,1998,
92,Diesel,1998,
93,Woodchip,1998,
94,Poultry_litter,1998,
95,Straw,1998,
96,Meat,1998,
97,Waste_post_2000,1998,
98,Waste_pre_2000,1998,
99,Coal,1999,0.00405
100,Oil,1999,0.00715
101,Gas,1999,0.00468
102,Uranium,1999,
103,Diesel,1999,
104,Woodchip,1999,
105,Poultry_litter,1999,
106,Straw,1999,
107,Meat,1999,
108,Waste_post_2000,1999,
109,Waste_pre_2000,1999,
110,Coal,2000,0.004063521
111,Oil,2000,0.0101
112,Gas,2000,0.00534
113,Uranium,2000,
114,Diesel,2000,
115,Woodchip,2000,
116,Poultry_litter,2000,
117,Straw,2000,
118,Meat,2000,
119,Waste_post_2000,2000,
120,Waste_pre_2000,2000,
121,Coal,2001,0.0044399999999999995
122,Oil,2001,0.00981
123,Gas,2001,0.00647
124,Uranium,2001,
125,Diesel,2001,
126,Woodchip,2001,
127,Poultry_litter,2001,
128,Straw,2001,
129,Meat,2001,
130,Waste_post_2000,2001,
131,Waste_pre_2000,2001,
132,Coal,2002,0.00409
133,Oil,2002,0.01061
134,Gas,2002,0.00601
135,Uranium,2002,
136,Diesel,2002,
137,Woodchip,2002,
138,Poultry_litter,2002,
139,Straw,2002,
140,Meat,2002,
141,Waste_post_2000,2002,
142,Waste_pre_2000,2002,
143,Coal,2003,0.00389
144,Oil,2003,0.013080000000000001
145,Gas,2003,0.0065
146,Uranium,2003,
147,Diesel,2003,
148,Woodchip,2003,
149,Poultry_litter,2003,
150,Straw,2003,
151,Meat,2003,
152,Waste_post_2000,2003,
153,Waste_pre_2000,2003,
154,Coal,2004,0.0045
155,Oil,2004,0.012048683000000001
156,Gas,2004,0.0070599999999999994
157,Uranium,2004,
158,Diesel,2004,
159,Woodchip,2004,
160,Poultry_litter,2004,
161,Straw,2004,
162,Meat,2004,
163,Waste_post_2000,2004,
164,Waste_pre_2000,2004,
165,Coal,2005,0.0049700000000000005
166,Oil,2005,0.01932
167,Gas,2005,0.009729999999999999
168,Uranium,2005,
169,Diesel,2005,
170,Woodchip,2005,
171,Poultry_litter,2005,
172,Straw,2005,
173,Meat,2005,
174,Waste_post_2000,2005,
175,Waste_pre_2000,2005,
176,Coal,2006,0.0052292
177,Oil,2006,0.021169999999999998
178,Gas,2006,0.01264
179,Uranium,2006,
180,Diesel,2006,
181,Woodchip,2006,
182,Poultry_litter,2006,
183,Straw,2006,
184,Meat,2006,
185,Waste_post_2000,2006,
186,Waste_pre_2000,2006,
187,Coal,2007,0.00565512
188,Oil,2007,0.019837315
189,Gas,2007,0.01047
190,Uranium,2007,
191,Diesel,2007,
192,Woodchip,2007,
193,Poultry_litter,2007,
194,Straw,2007,
195,Meat,2007,
196,Waste_post_2000,2007,
197,Waste_pre_2000,2007,
198,Coal,2008,0.009008811
199,Oil,2008,0.023725437999999998
200,Gas,2008,0.01481
201,Uranium,2008,
202,Diesel,2008,
203,Woodchip,2008,
204,Poultry_litter,2008,
205,Straw,2008,
206,Meat,2008,
207,Waste_post_2000,2008,
208,Waste_pre_2000,2008,
209,Coal,2009,0.007534054
210,Oil,2009,0.022203986000000002
211,Gas,2009,0.01135
212,Uranium,2009,
213,Diesel,2009,
214,Woodchip,2009,
215,Poultry_litter,2009,
216,Straw,2009,
217,Meat,2009,
218,Waste_post_2000,2009,
219,Waste_pre_2000,2009,
220,Coal,2010,0.00869275
221,Oil,2010,0.034872844
222,Gas,2010,0.013069999999999998
223,Uranium,2010,
224,Diesel,2010,
225,Woodchip,2010,
226,Poultry_litter,2010,
227,Straw,2010,
228,Meat,2010,
229,Waste_post_2000,2010,
230,Waste_pre_2000,2010,
231,Coal,2011,0.011095898
232,Oil,2011,0.044176615
233,Gas,2011,0.01711
234,Uranium,2011,
235,Diesel,2011,
236,Woodchip,2011,
237,Poultry_litter,2011,
238,Straw,2011,
239,Meat,2011,
240,Waste_post_2000,2011,
241,Waste_pre_2000,2011,
242,Coal,2012,0.009113673000000001
243,Oil,2012,0.047985029000000005
244,Gas,2012,0.021354879
245,Uranium,2012,
246,Diesel,2012,
247,Woodchip,2012,
248,Poultry_litter,2012,
249,Straw,2012,
250,Meat,2012,
251,Waste_post_2000,2012,
252,Waste_pre_2000,2012,
253,Coal,2013,0.008423756999999999
254,Oil,2013,0.044886616
255,Gas,2013,0.022992855
256,Uranium,2013,
257,Diesel,2013,
258,Woodchip,2013,
259,Poultry_litter,2013,
260,Straw,2013,
261,Meat,2013,
262,Waste_post_2000,2013,
263,Waste_pre_2000,2013,
264,Coal,2014,0.007790757
265,Oil,2014,0.040530182000000005
266,Gas,2014,0.018897356
267,Uranium,2014,
268,Diesel,2014,
269,Woodchip,2014,
270,Poultry_litter,2014,
271,Straw,2014,
272,Meat,2014,
273,Waste_post_2000,2014,
274,Waste_pre_2000,2014,
275,Coal,2015,0.006692638000000001
276,Oil,2015,0.027026374
277,Gas,2015,0.015855202
278,Uranium,2015,
279,Diesel,2015,
