,index,date,cluster,hour,data_type,capacity_factor
0,0,2009-01-29,55.0,0,load,35838.0
1,1,2009-01-29,55.0,1,load,35803.5
2,2,2009-01-29,55.0,2,load,34732.0
3,3,2009-01-29,55.0,3,load,34262.5
4,4,2009-01-29,55.0,4,load,32599.5
5,5,2009-01-29,55.0,5,load,32208.5
6,6,2009-01-29,55.0,6,load,34900.0
7,7,2009-01-29,55.0,7,load,41958.0
8,8,2009-01-29,55.0,8,load,46687.5
9,9,2009-01-29,55.0,9,load,47481.5
10,10,2009-01-29,55.0,10,load,48106.5
11,11,2009-01-29,55.0,11,load,48167.0
12,12,2009-01-29,55.0,12,load,48199.5
13,13,2009-01-29,55.0,13,load,48085.5
14,14,2009-01-29,55.0,14,load,48034.5
15,15,2009-01-29,55.0,15,load,47431.5
16,16,2009-01-29,55.0,16,load,48648.0
17,17,2009-01-29,55.0,17,load,52689.0
18,18,2009-01-29,55.0,18,load,53823.5
19,19,2009-01-29,55.0,19,load,52137.5
20,20,2009-01-29,55.0,20,load,49867.0
21,21,2009-01-29,55.0,21,load,46531.0
22,22,2009-01-29,55.0,22,load,42421.0
23,23,2009-01-29,55.0,23,load,38177.5
24,24,2009-09-05,84.0,0,load,25501.0
25,25,2009-09-05,84.0,1,load,23915.5
26,26,2009-09-05,84.0,2,load,23031.0
27,27,2009-09-05,84.0,3,load,22148.5
28,28,2009-09-05,84.0,4,load,21917.0
29,29,2009-09-05,84.0,5,load,21865.0
30,30,2009-09-05,84.0,6,load,22529.5
31,31,2009-09-05,84.0,7,load,24545.5
32,32,2009-09-05,84.0,8,load,28307.0
33,33,2009-09-05,84.0,9,load,31453.5
34,34,2009-09-05,84.0,10,load,33054.5
35,35,2009-09-05,84.0,11,load,33468.0
36,36,2009-09-05,84.0,12,load,33629.0
37,37,2009-09-05,84.0,13,load,33021.0
38,38,2009-09-05,84.0,14,load,31915.5
39,39,2009-09-05,84.0,15,load,31276.0
40,40,2009-09-05,84.0,16,load,31364.5
41,41,2009-09-05,84.0,17,load,32766.0
42,42,2009-09-05,84.0,18,load,33488.5
43,43,2009-09-05,84.0,19,load,33506.5
44,44,2009-09-05,84.0,20,load,34106.5
45,45,2009-09-05,84.0,21,load,33149.5
46,46,2009-09-05,84.0,22,load,30810.5
47,47,2009-09-05,84.0,23,load,28080.0
48,48,2011-02-25,97.0,0,load,32646.0
49,49,2011-02-25,97.0,1,load,32138.0
50,50,2011-02-25,97.0,2,load,30819.5
51,51,2011-02-25,97.0,3,load,29772.5
52,52,2011-02-25,97.0,4,load,28407.5
53,53,2011-02-25,97.0,5,load,28266.5
54,54,2011-02-25,97.0,6,load,30845.0
55,55,2011-02-25,97.0,7,load,35633.5
56,56,2011-02-25,97.0,8,load,39573.5
57,57,2011-02-25,97.0,9,load,42481.0
58,58,2011-02-25,97.0,10,load,43365.0
59,59,2011-02-25,97.0,11,load,43690.0
60,60,2011-02-25,97.0,12,load,43644.0
61,61,2011-02-25,97.0,13,load,43007.5
62,62,2011-02-25,97.0,14,load,42664.0
63,63,2011-02-25,97.0,15,load,42268.5
64,64,2011-02-25,97.0,16,load,42497.5
65,65,2011-02-25,97.0,17,load,44414.5
66,66,2011-02-25,97.0,18,load,47181.5
67,67,2011-02-25,97.0,19,load,46486.0
68,68,2011-02-25,97.0,20,load,43448.0
69,69,2011-02-25,97.0,21,load,40424.0
70,70,2011-02-25,97.0,22,load,37018.5
71,71,2011-02-25,97.0,23,load,34352.5
72,72,2012-06-13,129.0,0,load,27267.5
73,73,2012-06-13,129.0,1,load,25543.5
74,74,2012-06-13,129.0,2,load,25202.0
75,75,2012-06-13,129.0,3,load,24593.0
76,76,2012-06-13,129.0,4,load,24222.5
77,77,2012-06-13,129.0,5,load,23697.0
78,78,2012-06-13,129.0,6,load,26182.5
79,79,2012-06-13,129.0,7,load,32451.5
80,80,2012-06-13,129.0,8,load,37161.5
81,81,2012-06-13,129.0,9,load,38414.0
82,82,2012-06-13,129.0,10,load,38988.5
83,83,2012-06-13,129.0,11,load,39244.0
84,84,2012-06-13,129.0,12,load,39396.0
85,85,2012-06-13,129.0,13,load,39123.0
86,86,2012-06-13,129.0,14,load,38719.5
87,87,2012-06-13,129.0,15,load,38372.5
88,88,2012-06-13,129.0,16,load,38917.0
89,89,2012-06-13,129.0,17,load,39943.0
90,90,2012-06-13,129.0,18,load,39249.5
91,91,2012-06-13,129.0,19,load,38081.5
92,92,2012-06-13,129.0,20,load,36821.0
93,93,2012-06-13,129.0,21,load,35558.5
