,demand_hour,data_type,capacity_factor
0,1,load,0.4075467262254614
1,2,load,0.4070765252145292
2,3,load,0.36921228269529666
3,4,load,0.35553726996068596
4,5,load,0.3174248657967948
5,6,load,0.29190339981453184
6,7,load,0.29954416624217967
7,8,load,0.3474524248004911
8,9,load,0.4071548920496846
9,10,load,0.5110040097697321
10,11,load,0.5661742617191071
11,12,load,0.5836239436803679
12,13,load,0.5820043624204904
13,14,load,0.558664106683385
14,15,load,0.5436046131943628
15,16,load,0.5371654715724306
16,17,load,0.5608583780677351
17,18,load,0.6790225043428287
18,19,load,0.7512636652168803
19,20,load,0.7100165876467746
20,21,load,0.6404790825855831
21,22,load,0.5612632733827044
22,23,load,0.49072006060368584
23,24,load,0.43291145853741364
24,25,load,0.4075467262254614
25,26,load,0.4070765252145292
26,27,load,0.36921228269529666
27,28,load,0.35553726996068596
28,29,load,0.3174248657967948
29,30,load,0.29190339981453184
30,31,load,0.29954416624217967
31,32,load,0.3474524248004911
32,33,load,0.4071548920496846
33,34,load,0.5110040097697321
34,35,load,0.5661742617191071
35,36,load,0.5836239436803679
36,37,load,0.5820043624204904
37,38,load,0.558664106683385
38,39,load,0.5436046131943628
39,40,load,0.5371654715724306
40,41,load,0.5608583780677351
41,42,load,0.6790225043428287
42,43,load,0.7512636652168803
43,44,load,0.7100165876467746
44,45,load,0.6404790825855831
45,46,load,0.5612632733827044
46,47,load,0.49072006060368584
47,48,load,0.43291145853741364
48,49,load,0.4075467262254614
49,50,load,0.4070765252145292
50,51,load,0.36921228269529666
51,52,load,0.35553726996068596
52,53,load,0.3174248657967948
53,54,load,0.29190339981453184
54,55,load,0.29954416624217967
55,56,load,0.3474524248004911
56,57,load,0.4071548920496846
57,58,load,0.5110040097697321
58,59,load,0.5661742617191071
59,60,load,0.5836239436803679
60,61,load,0.5820043624204904
61,62,load,0.558664106683385
62,63,load,0.5436046131943628
63,64,load,0.5371654715724306
64,65,load,0.5608583780677351
65,66,load,0.6790225043428287
66,67,load,0.7512636652168803
67,68,load,0.7100165876467746
68,69,load,0.6404790825855831
69,70,load,0.5612632733827044
70,71,load,0.49072006060368584
71,72,load,0.43291145853741364
72,73,load,0.4075467262254614
73,74,load,0.4070765252145292
74,75,load,0.36921228269529666
75,76,load,0.35553726996068596
76,77,load,0.3174248657967948
77,78,load,0.29190339981453184
78,79,load,0.29954416624217967
79,80,load,0.3474524248004911
80,81,load,0.4071548920496846
81,82,load,0.5110040097697321
82,83,load,0.5661742617191071
83,84,load,0.5836239436803679
84,85,load,0.5820043624204904
85,86,load,0.558664106683385
86,87,load,0.5436046131943628
87,88,load,0.5371654715724306
88,89,load,0.5608583780677351
89,90,load,0.6790225043428287
90,91,load,0.7512636652168803
91,92,load,0.7100165876467746
92,93,load,0.6404790825855831
93,94,load,0.5612632733827044
94,95,load,0.49072006060368584
95,96,load,0.43291145853741364
96,97,load,0.4075467262254614
97,98,load,0.4070765252145292
98,99,load,0.36921228269529666
99,100,load,0.35553726996068596
100,101,load,0.3174248657967948
101,102,load,0.29190339981453184
102,103,load,0.29954416624217967
103,104,load,0.3474524248004911
104,105,load,0.4071548920496846
105,106,load,0.5110040097697321
106,107,load,0.5661742617191071
107,108,load,0.5836239436803679
108,109,load,0.5820043624204904
109,110,load,0.558664106683385
110,111,load,0.5436046131943628
111,112,load,0.5371654715724306
112,113,load,0.5608583780677351
113,114,load,0.6790225043428287
114,115,load,0.7512636652168803
115,116,load,0.7100165876467746
116,117,load,0.6404790825855831
117,118,load,0.5612632733827044
118,119,load,0.49072006060368584
119,120,load,0.43291145853741364
120,121,load,0.4075467262254614
121,122,load,0.4070765252145292
122,123,load,0.36921228269529666
123,124,load,0.35553726996068596
124,125,load,0.3174248657967948
125,126,load,0.29190339981453184
126,127,load,0.29954416624217967
127,128,load,0.3474524248004911
128,129,load,0.4071548920496846
129,130,load,0.5110040097697321
130,131,load,0.5661742617191071
131,132,load,0.5836239436803679
132,133,load,0.5820043624204904
133,134,load,0.558664106683385
134,135,load,0.5436046131943628
135,136,load,0.5371654715724306
136,137,load,0.5608583780677351
137,138,load,0.6790225043428287
138,139,load,0.7512636652168803
139,140,load,0.7100165876467746
140,141,load,0.6404790825855831
141,142,load,0.5612632733827044
142,143,load,0.49072006060368584
143,144,load,0.43291145853741364
144,145,load,0.4075467262254614
145,146,load,0.4070765252145292
146,147,load,0.36921228269529666
147,148,load,0.35553726996068596
148,149,load,0.3174248657967948
149,150,load,0.29190339981453184
150,151,load,0.29954416624217967
151,152,load,0.3474524248004911
152,153,load,0.4071548920496846
153,154,load,0.5110040097697321
154,155,load,0.5661742617191071
155,156,load,0.5836239436803679
156,157,load,0.5820043624204904
157,158,load,0.558664106683385
158,159,load,0.5436046131943628
159,160,load,0.5371654715724306
160,161,load,0.5608583780677351
161,162,load,0.6790225043428287
162,163,load,0.7512636652168803
163,164,load,0.7100165876467746
164,165,load,0.6404790825855831
165,166,load,0.5612632733827044
166,167,load,0.49072006060368584
167,168,load,0.43291145853741364
168,169,load,0.4075467262254614
169,170,load,0.4070765252145292
170,171,load,0.36921228269529666
171,172,load,0.35553726996068596
172,173,load,0.3174248657967948
173,174,load,0.29190339981453184
174,175,load,0.29954416624217967
175,176,load,0.3474524248004911
176,177,load,0.4071548920496846
177,178,load,0.5110040097697321
178,179,load,0.5661742617191071
179,180,load,0.5836239436803679
180,181,load,0.5820043624204904
181,182,load,0.558664106683385
182,183,load,0.5436046131943628
183,184,load,0.5371654715724306
184,185,load,0.5608583780677351
185,186,load,0.6790225043428287
186,187,load,0.7512636652168803
187,188,load,0.7100165876467746
188,189,load,0.6404790825855831
189,190,load,0.5612632733827044
190,191,load,0.49072006060368584
191,192,load,0.43291145853741364
192,193,load,0.4075467262254614
193,194,load,0.4070765252145292
194,195,load,0.36921228269529666
195,196,load,0.35553726996068596
196,197,load,0.3174248657967948
197,198,load,0.29190339981453184
198,199,load,0.29954416624217967
199,200,load,0.3474524248004911
200,201,load,0.4071548920496846
201,202,load,0.5110040097697321
202,203,load,0.5661742617191071
203,204,load,0.5836239436803679
204,205,load,0.5820043624204904
205,206,load,0.558664106683385
