,Plant_Type,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost-Medium _2018,Connect_system_cost-Medium _2020,Connect_system_cost-Medium _2025,Constr_cost-High _2018,Constr_cost-High _2020,Constr_cost-High _2025,Constr_cost-Low _2018,Constr_cost-Low _2020,Constr_cost-Low _2025,Constr_cost-Medium _2018,Constr_cost-Medium _2020,Constr_cost-Medium _2025,Fixed_cost-Medium _2018,Fixed_cost-Medium _2020,Fixed_cost-Medium _2025,Infra_cost-High _2018,Infra_cost-High _2020,Infra_cost-High _2025,Infra_cost-Low _2018,Infra_cost-Low _2020,Infra_cost-Low _2025,Infra_cost-Medium _2018,Infra_cost-Medium _2020,Infra_cost-Medium _2025,Insurance_cost-Medium _2018,Insurance_cost-Medium _2020,Insurance_cost-Medium _2025,Pre_dev_cost-High _2018,Pre_dev_cost-High _2020,Pre_dev_cost-High _2025,Pre_dev_cost-Low _2018,Pre_dev_cost-Low _2020,Pre_dev_cost-Low _2025,Pre_dev_cost-Medium _2018,Pre_dev_cost-Medium _2020,Pre_dev_cost-Medium _2025,Var_cost-Medium _2018,Var_cost-Medium _2020,Var_cost-Medium _2025,Type
2,Coal - CCS ASC NH3 FOAK ,624,0.91,0.32,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800,,,5500000,,,3400000,,,4200000,,,79600,,,15000,,,5000,,,10000,,,19300,,,110000,,,60000,,,70000,,,3,Coal
5,PV 1-5MW building ,1,0.11,0,25,1,,,,,,,,0,1,,,,,,,,1,1300,1300,1200,800000,800000,700000,700000,600000,600000,700000,700000,600000,6600,6300,5900,0,0,0,0,0,0,0,0,0,2600,2600,2400,20000,20000,20000,20000,20000,20000,20000,20000,20000,3,3,3,PV
6,EfW ,30,0.81,0.28,35,0.333,0.333,0.333,,,,,,3,0.228,0.228,0.228,0.228,0.09,,,,5,16700,16500,16100,12500000,12400000,12200000,4600000,4600000,4500000,8200000,8100000,8000000,139500,137900,134800,6600,6600,6600,2500,2500,2500,4600,4600,4600,30500,30100,29500,390000,390000,390000,110000,110000,110000,230000,230000,230000,25,25,24,EfW
7,EfW CHP ,24,0.81,0.22,35,0.333,0.333,0.333,,,,,,3,0.228,0.228,0.228,0.228,0.09,,,,5,16700,16500,16100,15900000,15800000,15600000,10300000,10300000,10100000,13300000,13200000,13000000,153000,151300,147900,8500,8500,8500,3000,3000,3000,5900,5900,5900,85200,84300,82400,300000,300000,300000,130000,130000,130000,210000,210000,210000,55,55,53,EfW
8,AD ,2,0.79,0.4,20,1,,,,,,,,1,0.667,0.333,,,,,,,2,12900,12900,12900,4900000,4900000,4900000,2900000,2900000,2900000,3700000,3700000,3700000,78100,78100,78100,1000,1000,1000,500,500,500,700,700,700,54200,54200,54200,440000,440000,440000,260000,260000,260000,340000,340000,340000,81,81,81,AD
9,AD CHP ,2,0.79,0.32,20,1,,,,,,,,1,0.667,0.333,,,,,,,2,12900,12900,12900,5600000,5600000,5600000,3300000,3300000,3300000,4300000,4300000,4300000,132000,132000,132000,1000,1000,1000,500,500,500,700,700,700,54200,54200,54200,440000,440000,440000,260000,260000,260000,340000,340000,340000,81,81,81,AD
10,ACT Standard ,12,0.83,0.21,25,0.5,0.5,,,,,,,2,0.364,0.364,0.273,,,,,,3,12700,12600,12200,7100000,6900000,6600000,4200000,4100000,3900000,6100000,6000000,5600000,232400,229700,223200,1600,1600,1600,1000,1000,1000,1400,1400,1400,56700,56000,54400,300000,300000,300000,50000,50000,50000,180000,180000,180000,21,21,20,ACT
11,ACT Advanced ,9,0.83,0.25,25,0.444,0.444,0.111,,,,,,2,0.364,0.364,0.273,,,,,,3,12700,12600,12200,12300000,12000000,11400000,4300000,4200000,4000000,7100000,7000000,6600000,157700,156000,151600,1600,1600,1600,1000,1000,1000,1400,1400,1400,83300,82400,80100,980000,980000,980000,90000,90000,90000,410000,410000,410000,40,39,38,ACT
12,ACT CHP ,1,0.83,0.24,25,0.444,0.444,0.111,,,,,,2,0.364,0.364,0.273,,,,,,3,12700,12600,12200,16700000,16300000,15400000,4900000,4800000,4500000,9000000,8800000,8300000,157700,156000,151600,1600,1600,1600,1000,1000,1000,1400,1400,1400,83300,82400,80100,980000,980000,980000,90000,90000,90000,410000,410000,410000,40,39,38,ACT
13,Offshore R2 ,321,0.43,0,23,0.333,0.333,0.333,,,,,,3,0.222,0.222,0.222,0.222,0.111,,,,5,33500,32600,31100,3100000,3000000,2700000,1700000,1600000,1500000,2200000,2100000,1900000,30900,30000,28600,97400,97400,97400,53000,53000,53000,69300,69300,69300,1400,1400,1300,150000,150000,150000,20000,20000,20000,60000,60000,60000,3,3,3,Offshore
14,Offshore R3 ,844,0.48,0,22,0.333,0.333,0.333,,,,,,3,0.222,0.222,0.222,0.222,0.111,,,,5,50300,48900,47000,2700000,2600000,2400000,2100000,2000000,1800000,2400000,2300000,2100000,48600,47300,45400,372400,372400,372400,281400,281400,281400,323000,323000,323000,3300,3300,3100,190000,190000,190000,60000,60000,60000,120000,120000,120000,4,3,3,Offshore
15,PV>5MW ,16,0.11,0,25,1,,,,,,,,0,1,,,,,,,,1,1300,1300,1200,700000,700000,600000,600000,600000,500000,700000,600000,600000,5600,5400,5100,400,400,400,400,400,400,400,400,400,2000,1900,1800,170000,170000,170000,10000,10000,10000,70000,70000,70000,0,0,0,PV
16,PV 1-5MW ground ,4,0.11,0,25,1,,,,,,,,0,1,,,,,,,,1,1300,1300,1200,900000,800000,700000,600000,600000,500000,700000,700000,600000,8300,8000,7500,300,300,300,200,200,200,200,200,200,1200,1100,1100,60000,60000,60000,60000,60000,60000,60000,60000,60000,0,0,0,PV
17,Dedicated Biomass ,23,0.84,0.29,25,0.5,0.5,,,,,,,2,0.333,0.333,0.333,,,,,,3,12900,12900,12900,3400000,3300000,3300000,2400000,2300000,2300000,2900000,2900000,2800000,65500,65500,65500,500,500,500,200,200,200,400,400,400,11500,11500,11500,160000,160000,160000,80000,80000,80000,110000,110000,110000,8,8,8,Biomass
18,Conversions ,349,0.79,0.4,15,0.435,0.435,0.13,,,,,,2,0.5,0.5,,,,,,,2,10500,10500,,300000,300000,,200000,200000,,200000,200000,,22800,22800,,0,0,,0,0,,0,0,,11500,11500,,120000,120000,,50000,50000,,80000,80000,,1,1,,Conversions
19,Biomass CHP ,14,0.8,0.23,24,0.5,0.5,,,,,,,2,0.333,0.333,0.333,,,,,,3,15500,16000,16700,5400000,5600000,5900000,3400000,3500000,3700000,4500000,4700000,4900000,223500,230000,240600,1100,1100,1100,700,700,700,900,900,900,44000,45300,47400,580000,580000,580000,40000,40000,40000,270000,270000,270000,11,11,11,Biomass
20,Onshore UK>5MW ,20,0.32,0,24,0.5,0.5,,,,,,,2,0.25,0.25,0.25,0.25,,,,,4,3100,3100,3000,1500000,1500000,1400000,900000,800000,800000,1200000,1200000,1200000,23200,23000,22400,4100,4100,4100,2300,2300,2300,3300,3300,3300,1400,1400,1400,190000,190000,190000,40000,40000,40000,110000,110000,110000,5,5,5,Onshore
21,Landfill gas ,2,0.58,1,27.85714286,1,,,,,,,,0,1,,,,,,,,1,6500,6500,6500,3600000,3600000,3600000,800000,800000,800000,2200000,2200000,2200000,81000,81000,81000,1000,1000,1000,500,500,500,700,700,700,1600,1600,1600,60000,60000,60000,20000,20000,20000,40000,40000,40000,9,9,9,Landfill
22,Sewage gas ,3,0.46,1,20,0.56,0.44,,,,,,,2,1,,,,,,,,1,12900,12900,12900,7000000,7000000,7000000,1800000,1800000,1800000,5100000,5100000,5100000,48600,48600,48600,200,200,200,100,100,100,200,200,200,36600,36600,36600,420000,420000,420000,410000,410000,410000,420000,420000,420000,12,12,12,Sewage
23,Geothermal CHP ,3,0.9,1,25,0.333,0.333,0.333,,,,,,3,1,,,,,,,,1,12900,12900,12900,9400000,9300000,9100000,3000000,3000000,2900000,6900000,6800000,6700000,81000,81000,81000,500,500,500,200,200,200,300,300,300,1600,1600,1600,130000,130000,130000,80000,80000,80000,110000,110000,110000,12,12,12,Geothermal
24,Hydro Large Store ,11,0.45,1,41,0.7,0.3,,,,,,,2,0.7,0.3,,,,,,,2,7600,7600,7600,0,0,0,0,0,0,3200000,3200000,3200000,25700,25700,25700,0,0,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,0,0,0,60000,60000,60000,6,6,6,Hydro_Store
25,Hydro 5-16MW ,11,0.35,1,41,0.7,0.3,,,,,,,2,0.77,0.23,,,,,,,2,0,0,0,3100000,3100000,3100000,1600000,1600000,1600000,3000000,3000000,3000000,45100,45100,45100,0,0,0,0,0,0,0,0,0,0,0,0,300000,300000,300000,40000,40000,40000,60000,60000,60000,6,6,6,Hydro
26,Wave ,9,0.3,1,20,0.5,0.5,,,,,,,2,0.333,0.333,0.333,,,,,,3,,,32300,,,6200000,,,2600000,,,4500000,,,40600,,,7000,,,2900,,,5100,,,11900,,,270000,,,40000,,,130000,,,24,Wave
27,Tidal stream ,18,0.31,1,22,0.555,0.445,,,,,,,2,0.233,0.233,0.233,0.233,0.07,,,,5,,,60400,,,6000000,,,2400000,,,4200000,,,91400,,,10500,,,4200,,,7400,,,2500,,,270000,,,40000,,,130000,,,7,Tidal
28,AD < 250kW ,0.155,0.65,0.38,20,1,,,,,,,,0,,,,,,,,,0,0,0,0,7900000,7700000,7300000,3700000,3600000,3400000,5800000,5700000,5400000,758700,758700,758700,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AD
29,Hydropower <100kW ,0.033,0.6,1,35,1,,,,,,,,0,,,,,,,,,0,0,0,0,7800000,7800000,7800000,4800000,4800000,4800000,6300000,6300000,6300000,83300,83300,83300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydro
30,Hydropower 500-2000kW ,1.046,0.4,1,35,1,,,,,,,,0,,,,,,,,,0,0,0,0,4100000,4100000,4100000,2500000,2500000,2500000,3300000,3300000,3300000,18200,18200,18200,400,400,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydro
31,Solar 100-1000kW ,0.455,0.11,1,30,1,,,,,,,,0,,,,,,,,,0,0,0,0,1300000,1200000,1200000,800000,800000,700000,1000000,1000000,900000,9400,9400,9200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PV
32,Solar <10kW ,0.003,0.11,1,30,1,,,,,,,,0,,,,,,,,,0,0,0,0,1900000,1800000,1700000,1200000,1100000,1000000,1500000,1500000,1400000,23500,23400,23200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PV
33,Onshore <50kW ,0.01,0.21,1,20,1,,,,,,,,0,,,,,,,,,0,0,0,0,4600000,4500000,4300000,2800000,2800000,2600000,3700000,3600000,3500000,29700,29600,29600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onshore
34,Onshore 250-1000kW ,0.482,0.26,1,20,1,,,,,,,,0,,,,,,,,,0,0,0,0,2700000,2700000,2500000,1700000,1600000,1500000,2200000,2100000,2000000,56900,56900,56700,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onshore
35,CCGT H Class ,1200,0.93,0.54,25,0.4,0.4,0.2,,,,,,3,0.44,0.44,0.12,,,,,,3,3300,3300,3300,600000,600000,600000,400000,400000,400000,500000,500000,500000,12200,12200,12200,30200,30200,30200,7600,7600,7600,15100,15100,15100,2100,2100,2100,20000,20000,20000,10000,10000,10000,10000,10000,10000,3,3,3,CCGT
36,CCGT F Class ,1471,0.93,0.53,25,0.4,0.4,0.2,,,,,,3,0.44,0.44,0.12,,,,,,3,3300,3300,3300,500000,600000,600000,400000,400000,400000,500000,500000,500000,11400,11400,11400,30200,30200,30200,7600,7600,7600,15100,15100,15100,1900,1900,1900,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,3,3,CCGT
37,CCGT CHP mode ,168,0.93,0.34,25,0.4,0.4,0.2,,,,,,3,0.435,0.435,0.13,,,,,,3,3300,3300,3300,800000,800000,900000,600000,600000,600000,700000,700000,700000,28200,28200,28200,27100,27100,27100,6800,6800,6800,13600,13600,13600,2900,2900,2900,80000,80000,80000,30000,30000,30000,60000,60000,60000,5,5,5,CCGT
38,OCGT 600MW 500 hr ,625,0.06,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2400,2400,2400,300000,300000,300000,300000,300000,300000,300000,300000,300000,4600,4600,4600,30200,30200,30200,7600,7600,7600,15100,15100,15100,1200,1200,1200,20000,20000,20000,20000,20000,20000,20000,20000,20000,3,3,3,OCGT
39,OCGT 600MW 2000 hr ,625,0.22,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2500,2500,2500,300000,300000,300000,300000,300000,300000,300000,300000,300000,6800,6800,6800,30200,30200,30200,7600,7600,7600,15100,15100,15100,1200,1200,1200,20000,20000,20000,20000,20000,20000,20000,20000,20000,3,3,3,OCGT
40,OCGT 400MW 2000 hr ,400,0.22,0.34,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2500,2500,2500,400000,400000,400000,300000,300000,300000,300000,300000,300000,7800,7800,7800,30200,30200,30200,7600,7600,7600,15100,15100,15100,1300,1300,1300,30000,30000,30000,20000,20000,20000,30000,30000,30000,3,3,3,OCGT
41,OCGT 300MW 2000 hr ,311,0.22,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2500,2500,2500,600000,700000,700000,300000,300000,300000,400000,400000,400000,9500,9500,9500,27100,27100,27100,6800,6800,6800,13600,13600,13600,1600,1600,1600,40000,40000,40000,30000,30000,30000,30000,30000,30000,3,3,3,OCGT
42,OCGT 299MW 2000 hr ,299,0.22,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2500,2500,2500,600000,700000,700000,300000,300000,300000,400000,400000,400000,9600,9600,9600,27100,27100,27100,6800,6800,6800,13600,13600,13600,1600,1600,1600,40000,40000,40000,30000,30000,30000,30000,30000,30000,3,3,3,OCGT
43,OCGT 400MW 500 hr ,400,0.06,0.34,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2400,2400,2400,400000,400000,400000,300000,300000,300000,300000,300000,300000,5200,5200,5200,30200,30200,30200,7600,7600,7600,15100,15100,15100,1300,1300,1300,30000,30000,30000,20000,20000,20000,30000,30000,30000,3,3,3,OCGT
44,OCGT 300MW 500 hr ,311,0.06,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2400,2400,2400,600000,700000,700000,300000,300000,300000,400000,400000,400000,6300,6300,6300,27100,27100,27100,6800,6800,6800,13600,13600,13600,1600,1600,1600,40000,40000,40000,30000,30000,30000,30000,30000,30000,3,3,3,OCGT
45,OCGT 299MW 500 hr ,299,0.06,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2400,2400,2400,600000,700000,700000,300000,300000,300000,400000,400000,400000,6400,6400,6400,27100,27100,27100,6800,6800,6800,13600,13600,13600,1600,1600,1600,40000,40000,40000,30000,30000,30000,30000,30000,30000,3,3,3,OCGT
46,OCGT 100MW 500 hr ,96,0.06,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2400,2400,2400,800000,800000,800000,600000,600000,600000,600000,600000,600000,9900,9900,9900,25100,25100,25100,6300,6300,6300,12600,12600,12600,2500,2500,2500,90000,90000,90000,70000,70000,70000,80000,80000,80000,4,4,4,OCGT
47,Gas - CCS CCGT Post FOAK ,963,0.88,0.44,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3300,,,2700000,,,1700000,,,2100000,,,31000,,,30200,,,7600,,,15100,,,7300,,,80000,,,30000,,,50000,,,3,CCGT_CCS
48,Gas - CCS CCGT Retro Post FOAK ,618,0.88,0.44,25,0.25,0.25,0.25,0.25,,,,,4,0.25,0.25,0.25,0.25,,,,,4,,,3300,,,1800000,,,1200000,,,1400000,,,30900,,,0,,,0,,,0,,,7400,,,50000,,,20000,,,30000,,,3,CCGT_CCS
49,Gas - CCS CCGT Pre FOAK ,1084,0.88,0.38,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3300,,,2600000,,,1700000,,,2000000,,,30500,,,30200,,,7600,,,15100,,,7500,,,80000,,,30000,,,50000,,,4,CCGT_CCS
50,Gas - CCS CCGT oxy FOAK ,1038,0.88,0.42,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.167,0.167,0.167,0.167,0.167,0.167,,,6,,,3300,,,2700000,,,1700000,,,2100000,,,83800,,,30200,,,7600,,,15100,,,7500,,,80000,,,30000,,,40000,,,4,CCGT_CCS
51,Gas - CCS OCGT post FOAK ,290,0.85,0.24,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,2500,,,3000000,,,1900000,,,2300000,,,31800,,,30200,,,7600,,,15100,,,8500,,,120000,,,60000,,,80000,,,3,OCGT_CCS
