,Company,Name,Simplified_Type,Capacity,Start_date
0,A7 Energy,Greendykeside,Onshore,4.0,2007
1,A7 Energy,Lochhead,Onshore,6.0,2009
3,AES,Kilroot,Coal,520.0,1981
4,AES,Kilroot OCGT,OCGT,142.0,1981
5,AES,Ballylumford B,Recip_gas,540.0,1968
6,AES,Ballylumford B OCGT,OCGT,116.0,1968
7,AES,Ballylumford C,CCGT,616.0,2003
9,Baglan Generation Ltd,Baglan Bay,CCGT,510.0,2002
11,Barking Power,Barking,CCGT,1000.0,1994
13,Beaufort Wind Ltd,Bears Down,Onshore,10.0,2001
14,Beaufort Wind Ltd,Bein Ghlas,Onshore,8.0,1999
15,Beaufort Wind Ltd,Bryn Titli,Onshore,10.0,1994
16,Beaufort Wind Ltd,Carno,Onshore,34.0,1996
17,Beaufort Wind Ltd,Causeymire,Onshore,48.0,2004
18,Beaufort Wind Ltd,Kirkby Moor,Onshore,5.0,1993
19,Beaufort Wind Ltd,Lambrigg,Onshore,7.0,2000
20,Beaufort Wind Ltd,Llyn Alaw,Onshore,20.0,1997
21,Beaufort Wind Ltd,Mynydd Gorddu,Onshore,10.0,1996
22,Beaufort Wind Ltd,Novar,Onshore,17.0,1997
23,Beaufort Wind Ltd,Taff Ely,Onshore,9.0,1993
24,Beaufort Wind Ltd,Tow Law,Onshore,2.0,2001
25,Beaufort Wind Ltd,Trysglwyn,Onshore,6.0,1996
26,Beaufort Wind Ltd,Windy Standard,Onshore,22.0,1996
27,Beaufort Wind Ltd,North Hoyle,Offshore,60.0,2003
28,Beaufort Wind Ltd,Farr,Onshore,92.0,2006
29,Beaufort Wind Ltd,Ffynnon Oer,Onshore,32.0,2006
31,BNP Paribas Clean Energy Partners GP Limited,Gruig,Onshore,25.0,2009
33,Braes of Doune Windfarm,Braes of Doune,Onshore,72.0,2007
35,British Energy,Dungeness B,Nuclear,1040.0,1983
36,British Energy,Hartlepool,Nuclear,1180.0,1984
37,British Energy,Heysham1,Nuclear,1155.0,1984
38,British Energy,Heysham 2,Nuclear,1220.0,1988
39,British Energy,Hinkley Point B,Nuclear,880.0,1976
40,British Energy,Sizewell B,Nuclear,1198.0,1995
41,British Energy,Hunterston B,Nuclear,890.0,1976
42,British Energy,Torness,Nuclear,1185.0,1988
44,Cemmaes Windfarm Ltd,Cemmaes,Onshore,15.0,2002
46,Centrica,Barry (10),CCGT,140.0,1998
47,Centrica,Glanford Brigg (10),CCGT,140.0,1993
48,Centrica,Killingholme,CCGT,665.0,1994
49,Centrica,Peterborough (10),CCGT,240.0,1993
50,Centrica,South Humber Bank ,CCGT,1285.0,1996
51,Centrica,Langage,CCGT,905.0,2010
52,Centrica,Glens of Foudland,Onshore,26.0,2005
53,Centrica,Lynn,Offshore,97.0,2009
