DATE,CLOSING PRICE
11/29/2018,19.35
11/27/2018,19.77
11/26/2018,19.71
11/22/2018,20.3
11/21/2018,19.84
11/20/2018,19.4
11/19/2018,18.43
11/15/2018,18.46
11/13/2018,19.76
11/12/2018,20.01
11/09/2018,19.25
11/08/2018,19.56
11/07/2018,18.25
11/06/2018,16.99
11/05/2018,16.4
11/02/2018,16.15
11/01/2018,15.85
10/30/2018,16.87
10/29/2018,17.91
10/26/2018,18.98
10/25/2018,18.72
10/24/2018,19.1
10/23/2018,18.5
10/22/2018,19.1
10/19/2018,19.17
10/18/2018,18.53
10/16/2018,17.9
10/15/2018,20.03
10/12/2018,19.95
10/11/2018,18.57
10/10/2018,20.7
10/09/2018,21.32
10/08/2018,22.09
10/05/2018,21.14
10/04/2018,21.15
10/02/2018,21.45
10/01/2018,20.7
9/28/2018,20.3
9/27/2018,19.87
9/26/2018,20.4
9/25/2018,21.9
9/24/2018,22.39
9/20/2018,21.8
9/18/2018,20.75
9/17/2018,20.6
9/14/2018,19.51
9/13/2018,21.9
09/12/2018,23.55
09/11/2018,24.15
09/10/2018,24.85
09/07/2018,22.51
09/04/2018,20.5
09/03/2018,20.45
8/31/2018,21.11
8/30/2018,21.09
8/29/2018,20.9
8/28/2018,21.3
8/24/2018,20.55
8/23/2018,20.05
8/21/2018,18.55
8/20/2018,18.2
8/17/2018,18.1
8/16/2018,18
8/14/2018,18.03
8/13/2018,17.93
08/10/2018,17.72
08/09/2018,17.47
08/07/2018,17.47
08/06/2018,17.62
08/03/2018,17.62
08/02/2018,17.58
08/01/2018,17.38
7/31/2018,16.87
7/30/2018,16.9
7/27/2018,16.91
7/26/2018,16.99
7/24/2018,17.45
7/23/2018,17.2
7/20/2018,16.9
7/19/2018,16.46
7/18/2018,16.17
7/17/2018,15.87
7/16/2018,16.14
7/13/2018,15.8
07/12/2018,16.22
07/10/2018,16.15
07/09/2018,15.85
07/06/2018,15.55
07/05/2018,15.4
07/04/2018,15.35
07/03/2018,15.15
07/02/2018,14.95
6/29/2018,14.85
6/28/2018,15.22
6/26/2018,14.86
6/25/2018,15.03
6/22/2018,14.78
6/21/2018,14.2
6/20/2018,14.43
6/19/2018,14.35
6/18/2018,14.52
6/15/2018,14.62
6/14/2018,15.44
06/12/2018,15.08
06/11/2018,15.7
06/08/2018,15.78
06/07/2018,16.14
06/06/2018,15.7
06/05/2018,16.35
06/04/2018,15.28
06/01/2018,14.9
5/31/2018,15.4
5/29/2018,16.25
5/25/2018,15.89
5/24/2018,16.23
5/23/2018,15.81
5/22/2018,15.88
5/18/2018,15.2
5/17/2018,15.05
5/15/2018,14.7
5/14/2018,14.2
05/09/2018,13.92
05/08/2018,13.51
05/04/2018,12.78
05/03/2018,12.77
4/30/2018,13.35
4/27/2018,13.28
4/26/2018,13.39
4/25/2018,13.09
4/24/2018,12.73
4/23/2018,12.75
4/20/2018,13.05
4/19/2018,13.99
4/17/2018,13.82
4/16/2018,13.84
4/13/2018,13.8
04/12/2018,13.15
04/11/2018,13.55
04/10/2018,13.1
04/09/2018,12.96
04/06/2018,12.68
04/05/2018,12.65
04/03/2018,12.9
3/28/2018,14.05
3/27/2018,13.26
3/26/2018,12.8
3/23/2018,12.37
3/22/2018,12.54
3/20/2018,11.17
3/19/2018,10.96
3/16/2018,10.97
3/15/2018,11.09
3/14/2018,11.25
3/13/2018,11.03
03/12/2018,11.32
03/09/2018,11.1
03/08/2018,10.77
03/06/2018,10.28
03/05/2018,10.05
03/02/2018,9.89
03/01/2018,9.92
2/28/2018,9.99
2/27/2018,9.54
2/26/2018,9.56
2/23/2018,9.68
2/22/2018,9.56
2/20/2018,9.7
2/19/2018,9.58
2/16/2018,9.53
2/15/2018,9.64
2/14/2018,9.88
2/13/2018,9.53
02/12/2018,9.08
02/09/2018,8.97
02/08/2018,8.93
02/06/2018,8.84
02/05/2018,8.66
02/02/2018,9.04
02/01/2018,9.37
1/31/2018,8.78
1/30/2018,8.86
1/29/2018,9.06
1/26/2018,9.02
1/25/2018,9.34
1/23/2018,8.88
1/22/2018,8.7
1/19/2018,8.6
1/18/2018,8.26
1/17/2018,7.99
1/16/2018,7.77
1/15/2018,7.72
01/12/2018,7.79
01/11/2018,7.89
01/09/2018,7.68
01/08/2018,7.83
12/15/2017,7.07
12/14/2017,6.96
12/12/2017,7.37
12/11/2017,7.1
12/08/2017,7.24
12/07/2017,7.23
12/06/2017,7.38
12/05/2017,7.49
12/04/2017,7.63
12/01/2017,7.5
11/30/2017,7.6
11/28/2017,7.59
11/27/2017,7.69
11/24/2017,7.7
11/23/2017,7.37
11/22/2017,7.46
11/21/2017,7.51
11/20/2017,7.32
11/17/2017,7.43
11/16/2017,7.68
11/14/2017,7.26
11/13/2017,7.26
11/10/2017,7.35
11/09/2017,7.79
11/08/2017,7.62
11/07/2017,7.89
11/06/2017,7.91
11/02/2017,7.52
10/31/2017,7.11
10/30/2017,7.15
10/27/2017,7.25
10/26/2017,7.46
10/25/2017,7.41
10/24/2017,7.41
10/23/2017,7.43
10/20/2017,7.56
10/19/2017,7.86
10/17/2017,7.45
10/16/2017,7.25
10/13/2017,7.3
10/12/2017,7.37
10/11/2017,7.4
10/10/2017,6.9
10/09/2017,6.92
10/06/2017,6.77
10/05/2017,6.92
10/02/2017,7
9/29/2017,7.09
9/28/2017,6.83
9/27/2017,6.75
9/26/2017,6.97
9/25/2017,6.8
9/22/2017,6.5
9/21/2017,6.68
9/19/2017,6.95
9/18/2017,6.85
9/15/2017,6.96
9/14/2017,7.42
9/13/2017,6.95
09/12/2017,6.65
09/11/2017,6.8
09/08/2017,6.9
09/05/2017,6.04
09/04/2017,5.8
09/01/2017,5.88
8/31/2017,5.91
8/30/2017,6.02
8/29/2017,6.07
8/25/2017,5.93
8/24/2017,5.98
8/22/2017,5.75
8/21/2017,5.81
8/18/2017,5.8
8/17/2017,5.9
8/16/2017,5.62
8/14/2017,5.41
08/11/2017,5.35
08/10/2017,5.4
08/08/2017,5.26
08/07/2017,5.24
08/04/2017,5.33
08/03/2017,5.38
08/02/2017,5.29
08/01/2017,5.6
7/31/2017,5.23
7/28/2017,5.06
7/27/2017,5.2
7/25/2017,5.12
7/24/2017,5.04
7/21/2017,5.23
7/20/2017,5.35
7/19/2017,5.39
7/18/2017,5.46
7/17/2017,5.4
7/14/2017,5.27
7/13/2017,5.46
07/11/2017,5.37
07/10/2017,5.5
07/07/2017,5.24
07/06/2017,5.07
07/05/2017,5.1
07/04/2017,5.06
07/03/2017,4.98
6/30/2017,5.02
6/29/2017,5.05
6/27/2017,4.8
6/26/2017,4.84
6/23/2017,4.87
6/22/2017,4.81
6/21/2017,4.95
6/20/2017,4.99
6/19/2017,4.84
6/13/2017,4.99
06/12/2017,5.03
06/09/2017,4.98
06/08/2017,4.96
06/07/2017,4.97
06/06/2017,5.16
06/02/2017,5.07
06/01/2017,5.05
5/30/2017,5.1
5/24/2017,4.81
5/23/2017,4.88
5/22/2017,4.87
5/19/2017,4.77
5/18/2017,4.68
5/16/2017,4.45
5/15/2017,4.41
05/12/2017,4.26
05/11/2017,4.37
05/10/2017,4.49
05/09/2017,4.37
05/08/2017,4.45
05/05/2017,4.52
05/04/2017,4.35
05/02/2017,4.48
4/28/2017,4.52
4/27/2017,4.57
4/26/2017,4.49
4/25/2017,4.62
4/24/2017,4.7
4/21/2017,4.73
4/20/2017,4.76
4/18/2017,4.85
4/13/2017,4.93
04/12/2017,4.84
04/11/2017,4.77
04/10/2017,4.84
04/07/2017,5.06
04/06/2017,4.86
04/04/2017,4.78
04/03/2017,4.7
3/31/2017,4.85
3/30/2017,4.63
3/29/2017,4.71
3/28/2017,4.63
3/27/2017,4.67
3/24/2017,4.88
3/23/2017,4.98
3/21/2017,4.93
3/20/2017,5.05
3/17/2017,5.13
3/16/2017,5.07
3/14/2017,5.16
3/13/2017,5.11
03/10/2017,5.08
03/09/2017,5.16
03/07/2017,5.43
03/06/2017,5.47
03/03/2017,5.55
03/02/2017,5.74
2/28/2017,5.15
2/27/2017,5.28
2/24/2017,5.31
2/23/2017,5.17
2/21/2017,5.09
