N2EX Day Ahead Auction Prices in GBP/MWh,,,,,,,,,
UK time,CET/CEST time,03/08/2018,02/08/2018,01/08/2018,31/07/2018,30/07/2018,29/07/2018,28/07/2018,27/07/2018
23 - 00,00 - 01,"55,30","56,00","54,09","54,99","65,01","43,26","73,00","55,03"
00 - 01,01 - 02,"49,06","48,99","50,20","47,60","57,61","38,76","59,00","49,92"
01 - 02,02 - 03,"47,00","46,99","49,19","47,10","49,00","37,72","89,99","46,99"
02 - 03,03 - 04,"46,42","44,78","50,41","47,00","45,00","36,50","59,00","46,40"
03 - 04,04 - 05,"46,00","46,91","49,04","46,00","43,95","36,75","47,43","46,29"
04 - 05,05 - 06,"46,49","46,95","50,00","46,94","47,50","36,75","45,98","46,40"
05 - 06,06 - 07,"53,36","48,69","49,03","47,64","47,97","36,40","44,91","48,07"
06 - 07,07 - 08,"61,59","56,69","56,50","56,94","53,65","35,02","44,17","55,37"
07 - 08,08 - 09,"62,91","58,00","55,22","62,00","55,27","35,07","46,20","56,77"
08 - 09,09 - 10,"64,32","60,00","64,00","77,97","56,00","35,10","59,64","65,40"
09 - 10,10 - 11,"67,90","60,29","66,00","73,98","63,06","37,94","65,54","72,30"
10 - 11,11 - 12,"64,08","59,64","58,00","58,47","59,00","50,40","54,00","70,00"
11 - 12,12 - 13,"64,33","58,87","53,50","52,00","53,07","53,90","49,59","65,00"
12 - 13,13 - 14,"64,00","57,68","54,00","49,99","53,00","56,00","42,00","60,00"
13 - 14,14 - 15,"63,63","58,00","54,98","48,52","50,00","51,80","38,30","59,04"
14 - 15,15 - 16,"58,66","56,84","55,06","48,74","50,00","48,30","38,00","55,06"
15 - 16,16 - 17,"59,92","57,88","53,51","49,24","51,05","50,36","38,54","58,00"
16 - 17,17 - 18,"63,82","62,97","65,00","56,00","62,07","64,00","41,00","68,56"
17 - 18,18 - 19,"65,00","74,71","74,95","61,10","78,00","65,00","45,45","70,00"
18 - 19,19 - 20,"69,90","75,00","75,20","72,93","79,98","70,01","48,40","72,90"
19 - 20,20 - 21,"64,40","74,93","74,98","70,00","74,37","70,00","54,00","66,00"
20 - 21,21 - 22,"63,63","65,70","69,00","67,00","65,00","73,40","60,00","59,00"
21 - 22,22 - 23,"61,31","61,56","62,00","66,00","65,00","78,00","70,00","68,00"
22 - 23,23 - 00,"53,66","56,85","49,40","50,29","52,00","70,00","56,70","55,09"
,,,,,,,,,
Min,,"46,00","44,78","49,03","46,00","43,95","35,02","38,00","46,29"
Max,,"69,90","75,00","75,20","77,97","79,98","78,00","89,99","72,90"
Average,,"59,03","58,12","58,05","56,60","57,36","50,44","52,95","58,98"
UK time,CET/CEST time,03/08/2018,02/08/2018,01/08/2018,31/07/2018,30/07/2018,29/07/2018,28/07/2018,27/07/2018
