Month beginning,Price
01/06/2010,42.18
01/07/2010,43.53
01/08/2010,39.95
01/09/2010,41.12
01/10/2010,43.5
01/11/2010,46.4
01/12/2010,58.03
01/01/2011,48.43
01/02/2011,46.47
01/03/2011,51.41
01/04/2011,50.88
01/05/2011,50.27
01/06/2011,50.82
01/07/2011,47.96
01/08/2011,47.36
01/09/2011,48.32
01/10/2011,46.83
01/11/2011,46.15
01/12/2011,43.54
01/01/2012,42.17
01/02/2012,49.1
01/03/2012,45.64
01/04/2012,45.91
01/05/2012,43.79
01/06/2012,42.24
01/07/2012,42.71
01/08/2012,41.21
01/09/2012,43.39
01/10/2012,47.6
01/11/2012,49
01/12/2012,49.76
01/01/2013,49.96
01/02/2013,51.44
01/03/2013,62.9
01/04/2013,51.3
01/05/2013,48.89
01/06/2013,47.31
01/07/2013,48.73
01/08/2013,47.31
01/09/2013,49.63
01/10/2013,48.22
01/11/2013,53.05
01/12/2013,50.81
01/01/2014,47.67
01/02/2014,45.15
01/03/2014,44.41
01/04/2014,41.77
01/05/2014,39.62
01/06/2014,36.67
01/07/2014,35.46
01/08/2014,37.95
01/09/2014,43.28
01/10/2014,44.81
01/11/2014,48.43
01/12/2014,43.96
01/01/2015,39.86
01/02/2015,42.86
01/03/2015,40.91
01/04/2015,43.97
01/05/2015,41.21
01/06/2015,41.66
01/07/2015,42.2
01/08/2015,40.86
01/09/2015,42.04
01/10/2015,40.29
01/11/2015,38.01
01/12/2015,35.07
01/01/2016,36.95
01/02/2016,33.85
01/03/2016,34.76
01/04/2016,34.37
01/05/2016,34.61
01/06/2016,37.51
01/07/2016,38.4
01/08/2016,36.51
01/09/2016,51.13
01/10/2016,56.03
01/11/2016,67.54
01/12/2016,49.87
01/01/2017,53.37
01/02/2017,49.49
01/03/2017,41.99
01/04/2017,42.1
01/05/2017,41.24
01/06/2017,39.68
01/07/2017,43.05
01/08/2017,43.34
01/09/2017,47.17
01/10/2017,46.68
01/11/2017,51.45
01/12/2017,56.18
01/01/2018,50.84
01/02/2018,53.68
01/03/2018,56.79
01/04/2018,50.74
01/05/2018,54.25
01/06/2018,54
01/07/2018,57.61
01/08/2018,61.94
