Date,Value
2017-12-31,7.618882
2017-11-30,7.897095
2017-10-31,7.13835
2017-09-30,6.770626
2017-08-31,6.334714
2017-07-31,6.842208
2017-06-30,7.82492
2017-05-31,8.329035
2017-04-30,8.503484
2017-03-31,8.33369
2017-02-28,7.69279
2017-01-31,7.629502
2016-12-31,7.5
2016-11-30,7.1
2016-10-31,6.5
2016-09-30,6.4
2016-08-31,6.1
2016-07-31,6.2
2016-06-30,6.1
2016-05-31,6.1
2016-04-30,6.3
2016-03-31,7.1
2016-02-29,7.4
2016-01-31,7.5
2015-12-31,7.3
2015-11-30,6.8
2015-10-31,6.7
2015-09-30,6.6
2015-08-31,6.193734225
2015-07-31,6.7694979545
2015-06-30,6.7684654694
2015-05-31,6.8163725272
2015-04-30,7.0102770476
2015-03-31,7.0811754591
2015-02-28,7.7454686842
2015-01-31,6.9998643
2014-12-31,8.3898973591
2014-11-30,8.6481669444
2014-10-31,8.1100724545
2014-09-30,7.8799842857
2014-08-31,6.7906637381
2014-07-31,6.4322215818
2014-06-30,6.6816071571
2014-05-31,7.6541068095
2014-04-30,8.3631943619
2014-03-31,9.4148964905
2014-02-28,9.7642953947
2014-01-31,10.726949195
2013-12-31,11.3734979
2013-11-30,11.019356816
2013-10-31,10.481875364
2013-09-30,10.45393525
2013-08-31,10.020965632
2013-07-31,9.91645175
2013-06-30,9.38585095
2013-05-31,10.097413305
2013-04-30,10.859048318
2013-03-31,12.9952287
2013-02-28,10.673265237
2013-01-31,10.66736331
2012-12-31,10.62511338
2012-11-30,10.48438165
2012-10-31,10.352088223
2012-09-30,9.7578309211
2012-08-31,8.5936316609
2012-07-31,8.6648463905
2012-06-30,8.5705917143
2012-05-31,9.1432534727
2012-04-30,9.592998825
2012-03-31,9.2572450909
2012-02-29,10.416310365
2012-01-31,8.479943525
2011-12-31,8.7171108333
2011-11-30,9.210737825
2011-10-31,8.87608425
2011-09-30,8.4403730714
2011-08-31,8.8725223391
2011-07-31,8.89296464
2011-06-30,9.4556022955
2011-05-31,9.3204390238
2011-04-30,9.36690125
2011-03-31,9.788775
2011-02-28,8.6699622368
2011-01-31,8.89370715
