Company Name,Station Name,Fuel,Installed,Year,Location
A7 Energy (2),Greendykeside,wind,4,2007,Scotland
,Lochhead,wind,6,2009,Scotland
,,,,,
AES,Kilroot,coal/oil,520,1981,Northern Ireland
,Kilroot OCGT,gas oil,142,1981,Northern Ireland
,Ballylumford B,gas,540,1968,Northern Ireland
,Ballylumford B OCGT,gas oil,116,1968,Northern Ireland
,Ballylumford C,CCGT,616,2003,Northern Ireland
,,,,,
Baglan Generation Ltd,Baglan Bay,CCGT,510,2002,Wales
,,,,,
Barking Power (3),Barking,CCGT,1000,1994,London
,,,,,
Beaufort Wind Ltd (4),Bears Down,wind  ,10,2001,South West
,Bein Ghlas,wind,8,1999,Scotland
,Bryn Titli,wind,10,1994,Wales
,Carno,wind,34,1996,Wales
,Causeymire,wind   ,48,2004,Scotland
,Kirkby Moor,wind,5,1993,North West
,Lambrigg,wind,7,2000,North West
,Llyn Alaw,wind,20,1997,Wales
,Mynydd Gorddu,wind,10,1996,Wales
,Novar,wind,17,1997,Scotland
,Taff Ely,wind,9,1993,Wales
,Tow Law,wind,2,2001,North East
,Trysglwyn,wind,6,1996,Wales
,Windy Standard,wind  ,22,1996,Scotland
,North Hoyle,wind (offshore),60,2003,Wales
,Farr,wind  ,92,2006,Scotland
,Ffynnon Oer,wind  ,32,2006,Wales
,,,,,
BNP Paribas Clean Energy Partners GP Limited (5),Gruig,wind,25,2009,Northern Ireland
,,,,,
Braes of Doune Windfarm (6),Braes of Doune,wind,72,2007,Scotland
,,,,,
British Energy (7),Dungeness B,nuclear,1040,1983,South East
,Hartlepool,nuclear,1180,1984,North East
,Heysham1,nuclear,1155,1984,North West
,Heysham 2,nuclear,1220,1988,North West
,Hinkley Point B,nuclear,880,1976,South West
,Sizewell B,nuclear,1198,1995,East
,Hunterston B,nuclear,890,1976,Scotland
,Torness,nuclear,1185,1988,Scotland
,,,,,
Cemmaes Windfarm Ltd (8),Cemmaes,wind,15,2002 (9),Wales
,,,,,
Centrica,Barry (10),CCGT,140,1998,Wales
,Glanford Brigg (10),CCGT,140,1993,Yorkshire and the Humber
,Killingholme,CCGT,665,1994,Yorkshire and the Humber
,Peterborough (10),CCGT,240,1993,East
,South Humber Bank ,CCGT,1285,1996,Yorkshire and the Humber
,Langage,CCGT,905,2010,South West
,Glens of Foudland,wind,26,2005,Scotland
,Lynn,wind (offshore),97,2009,East Midlands
,Inner Dowsing,wind (offshore),97,2009,East Midlands
,,,,,
Cold Northcott Windfarm Ltd (8),Cold Northcott,wind,7,1993,South West
Coolkeeragh ESB Ltd,Coolkeeragh,CCGT,408,2005,Northern Ireland
,Coolkeeragh OCGT,gas oil,72,2005,Northern Ireland
,,,,,
Corby Power Ltd,Corby,CCGT,401,1993,East Midlands
,,,,,
Dong Energy,Burbo Bank,wind (offshore),90,2009,North West
