,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas
0,0,0,0,0,0,0,0
1,31912,14475,8766.3,6983.8,3377.8,9361,680
2,71512,14475,10996.1,6983.8,3441.8,9361,670
3,71512,14475,10969.9,6983.8,3585.8,9361,670
4,71512,14475,10950.9,6983.8,3697.8,9361,660
5,71512,14475,10933,6983.8,3777.8,9361,660
6,71512,14475,10906.7,6983.8,3889.8,9361,660
7,71512,14475,10842.2,6983.8,3937.8,9361,660
8,115486,14475,23030,6983.8,4017.8,9361,660
9,113326,12514,22976.2,6983.8,4017.8,9361,0
10,111651,10502,22929.1,6983.8,4017.8,9361,0
11,108906,10502,22802.7,6983.8,4017.8,9361,0
12,108906,10502,22760.7,6983.8,4017.8,9361,0
13,105027,10502,22735,6983.8,4017.8,9361,0
14,103299,9942,22663.4,6983.8,4017.8,9361,0
15,100874,9942,22601,6983.8,4017.8,9361,0
16,99654,9942,22465.6,6979.5,4017.8,9361,0
17,99078,9942,22096.2,6979.5,4017.8,9361,0
18,98462,9942,21863.4,6919.5,4017.8,9361,0
19,96342,9942,21420.4,6859.5,4017.8,9361,0
20,95934,9942,20939.3,6769.5,4017.8,9361,0
21,95934,9942,20305.4,6679.5,3960,9361,0
22,95934,3953,20009.3,6589.5,3914.6,9361,0
23,95934,2343,19832.5,6589.5,3645.6,9361,0
24,95014,363,19452.4,6305.1,2791.1,9361,0
25,88790,363,19085.3,5652.3,1676.2,9361,0
26,88731,0,18273.2,5652.3,933.7,9361,0
27,85200,0,17154.4,3842.3,640.4,9361,0
28,85200,0,16902.8,2889.3,576.4,9361,0
29,85200,0,16614.9,2290.5,432.4,9361,0
30,85200,0,15460.8,2022,320.4,9361,0
31,85200,0,14460,2022,240,9361,0
