,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:,Electricity_cost:,Carbon_emitted
0,18995.0,2021.0,2549.9,660.1,347.2999999999999,1074.0,9.0,[0.46268356],-134335331076.63634,34.88645619794566,0
1,24995.0,2021.0,10749.900000000005,660.1,443.29999999999995,1074.0,0.0,[0.09123014],-140007984806.43115,15.116653323925187,0
2,24995.0,2021.0,11269.900000000005,660.1,571.3,1074.0,0.0,[0.08469178],-142534498725.91058,15.561956343676195,0
3,24995.0,2021.0,11786.900000000005,660.1,667.3000000000001,1074.0,0.0,[1.1311033],[-1.4433362e+11],[12.365634],0
4,24995.0,2021.0,12326.900000000005,660.1,747.3000000000002,1074.0,0.0,[0.],[-1.4643683e+11],[12.450361],0
5,24995.0,2021.0,12566.900000000005,660.1,795.3000000000003,1074.0,0.0,[0.],[-1.4852707e+11],[12.462083],0
6,24995.0,2021.0,12766.900000000005,660.1,907.3000000000003,1074.0,0.0,[0.236369],[-1.5125144e+11],[13.651224],0
7,24995.0,2021.0,13006.900000000005,660.1,971.3000000000003,1074.0,0.0,[0.],[-1.5408017e+11],[13.384145],0
8,21600.0,2021.0,13211.300000000005,660.1,1003.3000000000003,1074.0,0.0,[0.],[-1.5706284e+11],[13.30573],0
9,21600.0,2021.0,13431.300000000005,660.1,1019.3000000000003,1074.0,0.0,[0.44988906],[-1.600857e+11],[13.500151],0
10,21600.0,0.0,13651.300000000005,660.1,1051.3000000000002,1074.0,0.0,[0.43560606],[-1.6282108e+11],[12.509709],0
11,21600.0,0.0,13808.700000000004,660.1,1099.3000000000002,1074.0,0.0,[0.],[-1.6550435e+11],[12.246216],0
12,21600.0,0.0,13988.700000000004,660.1,1115.3000000000002,1074.0,0.0,[0.26963732],[-1.6822646e+11],[11.923813],0
13,21600.0,0.0,14168.700000000004,660.1,1163.3000000000002,1074.0,0.0,[0.],[-1.7095985e+11],[11.790934],0
14,21600.0,0.0,14348.700000000004,660.1,1195.3000000000002,1074.0,0.0,[0.],[-1.7371646e+11],[11.705406],0
15,21600.0,0.0,14509.400000000001,660.1,1227.3000000000002,1074.0,0.0,[0.591716],[-1.7645584e+11],[12.004115],0
16,21600.0,0.0,14656.6,660.1,1259.3000000000002,1074.0,0.0,[1.07126],[-1.7920218e+11],[11.877295],0
17,21600.0,0.0,14772.6,660.1,1307.3000000000002,1074.0,0.0,[0.],[-1.8199326e+11],[12.028644],0
18,21600.0,0.0,14876.6,660.1,1355.3000000000002,1074.0,0.0,[0.],[-1.8474515e+11],[11.774776],0
19,21600.0,0.0,14982.800000000001,660.1,1419.3000000000002,1074.0,0.0,[0.],[-1.8716315e+11],[12.08212],0
20,21600.0,0.0,15112.800000000001,660.1,1452.3000000000002,1074.0,0.0,[0.],[-1.8997525e+11],[12.072792],0
21,21600.0,0.0,15245.800000000001,660.1,1468.3000000000002,1074.0,0.0,[1.4564621],[-1.9274306e+11],[11.979395],0
22,21600.0,0.0,15370.800000000001,660.1,1475.4,1074.0,0.0,[0.34085724],[-1.9549535e+11],[11.898344],0
23,21600.0,0.0,15370.800000000001,660.1,1497.9,1074.0,0.0,[1.0716333],[-1.9828531e+11],[11.887262],0
24,21600.0,0.0,15440.500000000002,660.1,1394.6,1074.0,0.0,[0.],[-2.0109589e+11],[11.935659],0
25,21600.0,0.0,15430.500000000002,660.1,1425.8,1074.0,0.0,[0.32102886],[-2.0393212e+11],[11.835277],0
26,21600.0,0.0,15289.500000000002,660.1,1392.0,1074.0,0.0,[0.50199854],[-2.072344e+11],[13.65466],0
27,21600.0,0.0,15316.300000000001,660.1,1376.0,1074.0,0.0,[0.66466457],[-2.105353e+11],[13.505542],0
28,21600.0,0.0,15376.300000000001,660.1,1328.0,1074.0,0.0,[0.899335],[-2.1390477e+11],[13.432207],0
29,21600.0,0.0,15340.0,660.1,1216.0,1074.0,0.0,[1.4585463],[-2.1740405e+11],[13.8445835],0
30,21600.0,0.0,15380.0,660.1,1152.0,1074.0,0.0,[0.],[-2.2085049e+11],[13.608759],0
31,21600.0,0.0,13580.0,548.1,1072.0,1074.0,0.0,[0.],[-2.264478e+11],[16.772621],0
