,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas
0,31912.0,14475.0,8766.3,6983.8,3377.7999999999997,9361.0,680.0
1,31912.0,14475.0,26416.099999999988,6983.8,3697.8000000000006,9361.0,670.0
2,31912.0,14475.0,26389.899999999987,6983.8,3985.7999999999997,9361.0,670.0
3,31912.0,14475.0,26370.899999999987,6983.8,4561.799999999998,9361.0,660.0
4,31912.0,14475.0,26352.999999999993,6983.8,4881.799999999998,9361.0,660.0
5,31912.0,14475.0,26326.699999999993,6983.8,5217.799999999998,9361.0,660.0
6,31912.0,14475.0,26262.199999999993,6983.8,5713.799999999997,9361.0,660.0
7,30286.0,14475.0,56309.999999999985,6983.8,6193.799999999994,9361.0,540.0
8,29036.0,12514.0,56256.19999999998,6983.8,6193.799999999994,9361.0,540.0
9,27361.0,12514.0,56209.09999999999,6983.8,6193.799999999994,9361.0,540.0
10,24616.0,12514.0,56082.69999999998,6983.8,6193.799999999994,9361.0,540.0
11,24616.0,12514.0,56040.69999999998,6983.8,6193.799999999994,9361.0,540.0
12,20737.0,12514.0,56014.99999999998,6983.8,6193.799999999994,9361.0,540.0
13,19009.0,12514.0,55943.39999999999,6983.8,6193.799999999994,9361.0,540.0
14,16584.0,12514.0,55880.999999999985,6983.8,6193.799999999994,9361.0,540.0
15,15364.0,12514.0,55745.59999999999,6979.5,6193.799999999994,9361.0,540.0
16,14788.0,12514.0,55376.20000000001,6979.5,6193.799999999994,9361.0,540.0
17,14172.0,12514.0,55143.400000000016,6919.5,6193.799999999994,9361.0,0.0
18,12052.0,12514.0,54700.40000000002,6859.5,6193.799999999994,9361.0,0.0
19,11644.0,12514.0,54219.30000000002,6769.5,6193.799999999994,9361.0,0.0
20,11644.0,12514.0,53585.40000000003,6679.5,6135.9999999999945,9361.0,0.0
21,11644.0,10554.0,53289.300000000025,6589.5,6090.599999999995,9361.0,0.0
22,11644.0,8574.0,53112.50000000002,6589.5,5821.599999999998,9361.0,0.0
23,10724.0,8574.0,52732.40000000002,6305.1,4967.099999999998,9361.0,0.0
24,5680.0,6562.0,52365.300000000025,5652.3,3852.200000000001,9361.0,0.0
25,5621.0,6562.0,51553.200000000026,5652.3,3109.7000000000003,9361.0,0.0
26,910.0,4589.0,50434.40000000001,3842.3,2816.4,9361.0,0.0
27,910.0,2568.0,50182.80000000002,2889.3,2496.4,9361.0,0.0
28,910.0,2568.0,49894.900000000016,2290.5,2208.4,9361.0,0.0
29,910.0,2568.0,48740.80000000001,2022.0,1632.4,9361.0,0.0
30,0.0,2568.0,47740.0,2022.0,1312.0,9361.0,0.0
31,0.0,2568.0,30080.0,731.0,976.0,9361.0,0.0
32,0.0,2568.0,0.0,0.0,480.0,9361.0,0.0
