,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas
0,31912.0,14475.0,8766.3,6983.8,3377.7999999999997,9361.0,680.0
1,33112.0,14475.0,14496.1,6983.8,3569.8,9361.0,790.0
2,33112.0,14475.0,14469.900000000001,6983.8,3697.8000000000006,9361.0,790.0
3,33112.0,14475.0,14450.900000000001,6983.8,3873.8000000000006,9361.0,780.0
4,33112.0,14475.0,14433.0,6983.8,4017.8000000000006,9361.0,920.0
5,33112.0,14475.0,14406.7,6983.8,4097.800000000001,9361.0,980.0
6,33112.0,14475.0,14342.2,6983.8,4273.799999999999,9361.0,1000.0
7,42983.0,14475.0,35189.99999999999,6983.8,4481.799999999999,9361.0,1060.0
8,52030.0,14475.0,54916.2,6983.8,4673.799999999999,9361.0,1120.0
9,60652.0,14475.0,75409.09999999999,6983.8,4801.799999999998,9361.0,1160.0
10,68204.0,14475.0,95782.69999999997,6983.8,4945.799999999997,9361.0,660.0
11,78501.0,14475.0,114880.70000000003,6983.8,5073.799999999997,9361.0,740.0
12,84919.0,14475.0,134175.00000000006,6983.8,5233.799999999998,9361.0,760.0
13,92660.0,9994.0,153223.40000000002,6983.8,5361.799999999998,9361.0,820.0
14,97301.0,5974.0,171341.00000000006,6983.8,5505.799999999998,9361.0,420.0
15,97645.0,4364.0,187365.60000000003,6979.5,5633.799999999998,9361.0,400.0
16,105231.0,4364.0,201956.2,6979.5,5761.799999999998,9361.0,380.0
17,92131.0,363.0,216563.39999999997,6919.5,5937.799999999998,9361.0,480.0
18,89460.0,363.0,228820.3999999999,6859.5,6129.799999999997,9361.0,540.0
19,98286.0,0.0,240719.29999999996,6769.5,6369.799999999997,9361.0,500.0
20,96815.0,0.0,252045.39999999988,6679.5,6519.999999999998,9361.0,520.0
21,95344.0,0.0,264349.29999999993,6589.5,6650.5999999999985,9361.0,520.0
22,80905.0,0.0,277092.49999999994,6589.5,6589.599999999996,9361.0,520.0
23,67666.0,0.0,290272.3999999999,6305.1,5895.099999999997,9361.0,560.0
24,67666.0,0.0,303965.3,5652.3,4876.200000000001,8300.0,580.0
25,66195.0,0.0,317213.19999999995,5652.3,4261.700000000001,5964.0,500.0
26,64724.0,0.0,329972.9,3842.3,4160.4,4890.0,460.0
27,64724.0,0.0,343791.10000000003,2889.3,4192.4,3636.0,500.0
28,63253.0,0.0,358166.1,2290.5,4240.4,3636.0,520.0
29,61782.0,0.0,352745.3,2022.0,4256.4,3636.0,500.0
30,61782.0,0.0,355440.0,2022.0,4272.0,3636.0,480.0
31,61782.0,0.0,365260.0,731.0,4336.0,3636.0,480.0
32,60311.0,0.0,340480.0,0.0,4288.0,3636.0,500.0
33,58840.0,0.0,336840.0,0.0,4272.0,2386.0,560.0
34,57369.0,0.0,332640.0,0.0,4256.0,2386.0,580.0
