,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:
0,31912.0,14475.0,8766.3,6983.8,3377.7999999999997,9361.0,680.0,30,-106053376404.68007
1,71512.0,14475.0,10536.100000000004,6983.8,3409.7999999999997,9361.0,1010.0,30,-1744505962841.0112
2,71512.0,14475.0,10509.900000000003,6983.8,3441.7999999999997,9361.0,1010.0,30,-3646722436229.1777
3,71512.0,14475.0,10490.900000000003,6983.8,3473.8,9361.0,1000.0,30,-5506527048875.414
4,71512.0,14475.0,10473.000000000004,6983.8,3505.8,9361.0,1320.0,30,-7489523409047.316
5,71512.0,14475.0,10446.700000000003,6983.8,3537.8,9361.0,1520.0,30,-9469477180654.08
6,71512.0,14475.0,10382.200000000003,6983.8,3569.8000000000006,9361.0,1740.0,30,-11477252412346.64
7,147886.0,14475.0,23350.00000000001,6983.8,3601.8000000000006,9361.0,1880.0,30,-12961575484187.166
8,158271.0,11955.0,33136.2,6983.8,3649.8000000000006,9361.0,1540.0,30,-13297103944467.123
9,198776.0,6376.0,44129.1,6983.8,3665.8000000000006,9361.0,1820.0,30,-13543292997017.148
10,239396.0,6376.0,54902.7,6983.8,3745.8000000000006,9361.0,1980.0,30,-13700799274532.959
11,284996.0,4355.0,66140.7,6983.8,3777.8,9361.0,1880.0,30,-13861414703523.559
12,326186.0,2375.0,77055.0,6983.8,3889.8,9361.0,1760.0,30,-14012383038261.027
13,356400.0,2375.0,88003.40000000001,6983.8,3953.8,9361.0,1840.0,30,-14170959070342.307
14,349200.0,2375.0,98981.0,6983.8,3969.8,9361.0,1800.0,30,-14343109709704.025
15,378000.0,2375.0,109105.59999999998,6979.5,3985.8,9361.0,1860.0,30,-14559420322629.76
16,324000.0,2375.0,118756.2,6979.5,4065.8,9361.0,1860.0,30,-14806520191261.596
17,307200.0,2375.0,128483.40000000004,6919.5,4097.799999999999,9361.0,1680.0,30,-15061207915656.156
18,324000.0,0.0,138240.40000000002,6859.5,4113.799999999999,9361.0,1540.0,30,-15335252842692.166
19,340800.0,0.0,147999.30000000005,6769.5,4209.799999999999,9361.0,1420.0,30,-15600457226244.742
20,318000.0,0.0,157685.40000000002,6679.5,4168.0,9361.0,1340.0,30,-15873037794137.18
21,250800.0,0.0,167489.30000000002,6589.5,4170.599999999999,9361.0,1160.0,30,-16156185039088.906
22,238800.0,0.0,177652.50000000003,6589.5,4013.599999999998,9361.0,1180.0,30,-16441817185353.02
23,229200.0,0.0,188052.40000000002,6305.1,3223.0999999999995,9361.0,1200.0,30,-16738743807285.953
24,225600.0,0.0,198445.30000000002,5652.3,2140.2000000000016,9361.0,1200.0,30,-17012581270943.572
25,246000.0,0.0,208913.2,5652.3,1429.7,9361.0,1220.0,30,-17291643530168.885
26,253200.0,0.0,219074.4,3842.3,1184.4,9361.0,1280.0,30,-17550047146214.225
27,256800.0,0.0,230462.79999999996,2889.3,1200.4,9361.0,1280.0,30,-17813101763081.453
28,254400.0,0.0,243034.89999999997,2290.5,1168.4,9361.0,1320.0,30,-18054649761784.633
29,272400.0,0.0,255160.8,2022.0,1216.4,9361.0,1360.0,30,-18296900215782.918
30,268800.0,0.0,267700.0,2022.0,1248.0,9361.0,1300.0,30,-18514677198679.918
31,283200.0,0.0,280600.0,731.0,1264.0,9361.0,1240.0,30,-18741855810846.11
32,261600.0,0.0,282140.0,0.0,1264.0,9361.0,1100.0,30,-18971266098642.434
33,213600.0,0.0,287560.0,0.0,1280.0,9361.0,1100.0,30,-19197312591136.086
34,210000.0,0.0,292060.0,0.0,1280.0,9361.0,1060.0,30,-19426325540882.41
35,165600.0,0.0,297140.0,0.0,1264.0,9361.0,1020.0,30,-19658891005359.883
36,142800.0,0.0,302520.0,0.0,1296.0,9361.0,1020.0,30,-19896634625429.996
37,145200.0,0.0,308860.0,0.0,1312.0,7025.0,940.0,30,-20139032893517.867
