,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:
0,31912.0,14475.0,8766.3,6983.8,3377.7999999999997,9361.0,680.0,40,-152043447146.06226
1,38996.0,14475.0,11496.100000000002,6983.8,3457.8,9361.0,670.0,40,-291718499659.1858
2,38996.0,14475.0,11469.900000000001,6983.8,3585.8,9361.0,670.0,40,-458943028214.08905
3,38996.0,14475.0,11450.900000000003,6983.8,3665.8,9361.0,660.0,40,-630174818328.503
4,38996.0,14475.0,11433.000000000002,6983.8,3745.8000000000006,9361.0,660.0,40,-800314206312.82
5,38996.0,14475.0,11406.700000000003,6983.8,3873.8000000000006,9361.0,660.0,40,-976076982311.393
6,38996.0,14475.0,11342.199999999999,6983.8,4049.8000000000006,9361.0,660.0,40,-1152486572261.6858
7,58080.0,14475.0,22310.000000000015,6983.8,4209.8,9361.0,660.0,40,-1326138441651.6128
8,74869.0,14475.0,33476.2,6983.8,4353.799999999999,9361.0,660.0,40,-1463090274376.8328
9,91504.0,14475.0,44889.09999999999,6983.8,4369.799999999999,9361.0,660.0,40,-1558920147603.6301
10,107069.0,14475.0,56522.69999999999,6983.8,4481.799999999999,9361.0,660.0,40,-1618152041814.1782
11,125650.0,14475.0,69380.7,6983.8,4577.799999999998,9361.0,660.0,40,-1696186145789.853
12,140081.0,12467.0,82575.0,6983.8,4673.799999999997,9361.0,660.0,40,-1775565278598.1646
13,151784.0,4542.0,95463.4,6983.8,4753.799999999997,9361.0,0.0,40,-1860540416388.7012
14,151502.0,4542.0,107761.00000000001,6983.8,4865.799999999997,9361.0,0.0,40,-1962403416130.5605
15,163861.0,4542.0,119605.60000000003,6979.5,5009.799999999998,9361.0,0.0,40,-2048148520398.4927
16,177100.0,2521.0,129456.20000000007,6979.5,5073.799999999998,9361.0,0.0,40,-2148891367550.6384
17,169745.0,0.0,140223.40000000008,6919.5,5249.799999999998,9361.0,0.0,40,-2345278732297.0405
18,182984.0,0.0,148400.40000000005,6859.5,5345.799999999999,9361.0,0.0,40,-2511702334924.886
19,188752.0,0.0,156599.3,6769.5,5441.799999999998,9361.0,0.0,40,-2655689626638.2773
20,200520.0,0.0,163705.39999999994,6679.5,5431.999999999999,9361.0,0.0,40,-2797300159123.739
21,201991.0,0.0,171429.29999999996,6589.5,5434.5999999999985,9361.0,0.0,40,-2942068568210.439
22,201991.0,0.0,179612.49999999997,6589.5,5261.599999999998,9361.0,0.0,40,-3086515812369.833
23,176210.0,0.0,187812.39999999997,6305.1,4567.0999999999985,9361.0,0.0,40,-3237516514286.974
24,174739.0,0.0,196445.29999999996,5652.3,3580.200000000001,9361.0,0.0,40,-3396041466218.9805
25,180778.0,0.0,204573.19999999995,5652.3,2949.7000000000003,9361.0,0.0,40,-3607110692439.0054
26,181978.0,0.0,212574.4,3842.3,2704.4,9361.0,0.0,40,-3864312813357.051
27,183449.0,0.0,220702.79999999993,2889.3,2736.4,9361.0,0.0,40,-4163917778173.082
28,186391.0,0.0,228934.89999999994,2290.5,2704.4,9361.0,0.0,40,-4459833425229.473
29,184920.0,0.0,236660.79999999996,2022.0,2656.4,9361.0,0.0,40,-4797434449300.062
30,187862.0,0.0,244760.0,2022.0,2672.0,9361.0,0.0,40,-5172762058702.85
31,186662.0,0.0,251480.0,731.0,2656.0,9361.0,0.0,40,-5576823648008.267
32,175823.0,0.0,248960.0,0.0,2608.0,9361.0,0.0,40,-6026609288864.382
33,146132.0,0.0,246540.0,0.0,2560.0,9361.0,0.0,40,-6505336972422.886
34,144661.0,0.0,244200.0,0.0,2544.0,9361.0,0.0,40,-7004386017511.911
35,145861.0,0.0,241780.0,0.0,2576.0,9361.0,0.0,40,-7562673924613.198
36,159100.0,0.0,238500.0,0.0,2544.0,9361.0,0.0,40,-8179087382947.844
37,144119.0,0.0,235200.0,0.0,2512.0,9361.0,0.0,40,-8816954337610.945
38,142648.0,0.0,232580.0,0.0,2512.0,9361.0,0.0,40,-9568583703942.117
39,126738.0,0.0,229560.0,0.0,2528.0,9361.0,0.0,40,-10237598165809.549
40,137577.0,0.0,226820.0,0.0,2496.0,9361.0,0.0,40,-10951545569065.715
41,139048.0,0.0,225820.0,0.0,2432.0,9361.0,0.0,40,-11731658742521.275
42,139319.0,0.0,223960.0,0.0,2416.0,9361.0,0.0,40,-12421363877710.459
43,139319.0,0.0,224380.0,0.0,2288.0,9361.0,0.0,40,-13188835747209.11
44,139319.0,0.0,224740.0,0.0,2272.0,9361.0,0.0,40,-14028825768705.09
