,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,346332.95999999915,207177.49999999956,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,5441.2149999999965,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12802290111.898006,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    0    53460.929489          26.0  2018
1       300.000000    0    53323.976240          52.0  2018
2       297.739597    0    49719.296516          78.0  2018
3        71.057268    0    44670.462348         104.0  2018
4        71.057268    0    44634.468225         130.0  2018
5        63.763948    0    41728.601229         156.0  2018
6        63.231194    0    41362.514662         182.0  2018
7        65.293078    0    41334.421688         208.0  2018
8        61.553442    0    41135.137154         234.0  2018
9        60.040877    0    40786.608695         260.0  2018
10       60.040877    0    40669.847272         286.0  2018
11       60.040877    0    40446.859291         312.0  2018
12       59.840961    0    39359.134455         338.0  2018
13       59.840961    0    38407.484961         364.0  2018
14       57.615904    0    32999.587470         390.0  2018
15       55.312102    0    30881.201650         416.0  2018
16       52.293151    0    23563.859833         442.0  2018
17       51.077578    0    21009.155012         468.0  2018
18       50.252513    0    19918.796459         494.0  2018
19       50.252513    0    19528.128540         520.0  2018
20       48.518401    0    17781.974625         546.0  2018
21       48.013771    0    16671.424248         572.0  2018
22       47.436480    0    15272.042981         598.0  2018
23       47.436480    0    14879.619251         624.0  2018",1184.5729324750005
1,281479.2600000002,154217.47999999998,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,8438971406.966493,"    accepted_price  day  segment_demand  segment_hour  year
0        67.296793    1    43795.190628          31.0  2018
1        67.296793    1    42662.692614          62.0  2018
2        63.283714    1    37967.654337          93.0  2018
3        62.855971    1    37065.167548         124.0  2018
4        60.515658    1    35073.200112         155.0  2018
5        59.386478    1    34444.619819         186.0  2018
6        59.335729    1    34438.474481         217.0  2018
7        59.335729    1    33439.418093         248.0  2018
8        59.335729    1    33274.371871         279.0  2018
9        59.335729    1    33129.517474         310.0  2018
10       59.154587    1    32486.012789         341.0  2018
11       59.154587    1    32472.844207         372.0  2018
12       57.340281    1    29683.738634         403.0  2018
13       56.252943    1    28532.804606         434.0  2018
14       52.211385    1    24279.352764         465.0  2018
15       51.639301    1    22455.943172         496.0  2018
16       51.639301    1    22197.838973         527.0  2018
17       50.389476    1    21881.793016         558.0  2018
18       50.157824    1    18903.937774         589.0  2018
19       49.007509    1    18600.182493         620.0  2018
20       47.847151    1    17278.056905         651.0  2018
21       46.285843    1    14579.375591         682.0  2018
22       46.946475    1    14212.411119         713.0  2018
23       46.285843    1    13149.267635         744.0  2018",922.9516948970405
2,364186.91999999835,181889.59999999992,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12241.400000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,18558220344.21957,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    2    54426.030454          32.0  2018
1       300.000000    2    53884.982059          64.0  2018
2       300.000000    2    50413.405650          96.0  2018
3        73.048412    2    45727.637024         128.0  2018
4        80.763865    2    45427.255641         160.0  2018
5        71.684396    2    42956.347334         192.0  2018
6        71.684396    2    42786.251852         224.0  2018
7        71.924659    2    42409.870360         256.0  2018
8        71.684396    2    42400.822728         288.0  2018
9        69.474085    2    41896.869624         320.0  2018
10       71.684396    2    41871.536254         352.0  2018
11       67.324000    2    40675.439300         384.0  2018
12       65.167762    2    39488.389979         416.0  2018
13       65.293078    2    38835.150946         448.0  2018
14       59.130210    2    32145.331826         480.0  2018
15       58.681359    2    31730.045516         512.0  2018
16       54.601351    2    24305.558675         544.0  2018
17       51.460892    2    19332.075351         576.0  2018
18       50.322697    2    19161.979868         608.0  2018
19       50.322697    2    18278.026219         640.0  2018
20       47.013264    2    15866.832284         672.0  2018
21       45.618989    2    14201.163228         704.0  2018
22       45.618989    2    13252.066629         736.0  2018
23       45.241022    2    12594.303781         768.0  2018",1182.9559547808003
3,386616.4799999982,188926.9199999998,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13152.714999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,35857001363.62117,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    3    56228.171469          33.0  2018
1       300.000000    3    55719.733689          66.0  2018
2       300.000000    3    53599.996768          99.0  2018
3       297.739597    3    49306.314487         132.0  2018
4       296.087707    3    49075.461304         165.0  2018
5        68.799377    3    44260.256446         198.0  2018
6        68.799377    3    43690.133201         231.0  2018
7        68.799377    3    43644.336415         264.0  2018
8        68.492247    3    43081.690195         297.0  2018
9        68.799377    3    42813.451881         330.0  2018
10       68.020032    3    42537.736541         363.0  2018
11       68.020032    3    42477.920332         396.0  2018
12       66.960310    3    42238.655494         429.0  2018
13       66.605417    3    42098.461253         462.0  2018
14       62.498423    3    34995.286387         495.0  2018
15       58.982564    3    34437.313308         528.0  2018
16       55.503555    3    26364.928923         561.0  2018
17       51.975613    3    21314.197742         594.0  2018
18       50.699139    3    20233.767459         627.0  2018
19       49.268793    3    19151.467921         660.0  2018
20       48.649961    3    16961.633879         693.0  2018
21       48.140098    3    15791.479283         726.0  2018
22       48.140098    3    14715.722142         759.0  2018
23       48.029010    3    14166.160718         792.0  2018",1246.9179528041586
4,183766.31999999998,99205.03999999996,22586.108026500027,29595.668287999968,3118.366924449977,146866.47834320008,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,24467438115.012604,"    accepted_price  day  segment_demand  segment_hour  year
0        57.781913    4    31411.921592          43.0  2018
1        57.781913    4    30082.880189          86.0  2018
2        56.919524    4    29870.719571         129.0  2018
3        56.919524    4    29461.352388         172.0  2018
4        56.919524    4    28508.031551         215.0  2018
5        55.595098    4    28072.494776         258.0  2018
6        55.595098    4    28050.998326         301.0  2018
7        55.595098    4    27900.523174         344.0  2018
8        55.595098    4    27769.675216         387.0  2018
9        54.386113    4    26452.783981         430.0  2018
10       54.386113    4    25864.902798         473.0  2018
11       54.386113    4    25630.311102         516.0  2018
12       54.095584    4    25503.201657         559.0  2018
13       54.095584    4    25302.256578         602.0  2018
14       53.909932    4    24515.299573         645.0  2018
15       49.688112    4    18300.021565         688.0  2018
16       49.683613    4    18293.479167         731.0  2018
17       44.404656    4    11550.136185         774.0  2018
18       24.713635    4     9961.268122         817.0  2018
19       12.086412    4     7540.580898         860.0  2018
20       11.431776    4     6045.175663         903.0  2018
21       10.593192    4     5810.583967         946.0  2018
22        9.788650    4     5039.515642         989.0  2018
23        9.788650    4     4996.522742        1032.0  2018",594.4115574459197
5,390222.95999999816,191967.62999999954,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11404.29000000001,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,40117921442.59918,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    5    54964.712794          53.0  2018
1       300.000000    5    54958.524468         106.0  2018
2       300.000000    5    51219.007385         159.0  2018
3        87.030464    5    46640.530086         212.0  2018
4        86.990761    5    46522.951890         265.0  2018
5        67.524144    5    43854.899276         318.0  2018
6        67.524144    5    43836.334297         371.0  2018
7        71.756988    5    43688.698517         424.0  2018
8        65.972182    5    43510.121105         477.0  2018
9        66.589821    5    43506.584919         530.0  2018
10       65.367455    5    42936.374867         583.0  2018
11       65.330135    5    41571.406929         636.0  2018
12       65.330135    5    41139.992193         689.0  2018
13       63.725455    5    39632.692754         742.0  2018
14       61.458154    5    33960.649821         795.0  2018
15       61.458154    5    32856.475628         848.0  2018
16       56.605760    5    26494.876354         901.0  2018
17       53.787630    5    21902.254310         954.0  2018
18       53.481100    5    21463.767201        1007.0  2018
19       53.378450    5    20926.266873        1060.0  2018
20       51.649740    5    19669.152619        1113.0  2018
21       51.383680    5    18297.996356        1166.0  2018
22       48.659947    5    15802.332827        1219.0  2018
23       48.659947    5    15647.624674        1272.0  2018",1256.550668986738
6,243586.80000000008,52295.62999999996,25225.22437150004,32826.68919599998,4477.507183899985,135523.63885200024,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,21076228082.2484,"    accepted_price  day  segment_demand  segment_hour  year
0        59.139687    6    31597.983822          65.0  2018
1        58.997808    6    31071.093673         130.0  2018
2        58.997808    6    30877.873556         195.0  2018
3        58.997808    6    30841.340341         260.0  2018
4        58.671458    6    30204.850546         325.0  2018
5        58.439567    6    30062.776931         390.0  2018
6        58.439567    6    30020.560771         455.0  2018
7        58.997808    6    29970.226119         520.0  2018
8        58.439567    6    29936.128451         585.0  2018
9        57.252501    6    28379.001631         650.0  2018
10       57.252501    6    27744.947384         715.0  2018
11       56.556887    6    26165.088785         780.0  2018
12       56.556887    6    25853.338681         845.0  2018
13       55.257053    6    23586.655635         910.0  2018
14       55.257053    6    23416.167297         975.0  2018
15       48.775474    6    17309.437401        1040.0  2018
16       48.202706    6    15404.839111        1105.0  2018
17       44.985846    6    10866.601923        1170.0  2018
18       12.086412    6     7561.563714        1235.0  2018
19        9.788650    6     7318.820795        1300.0  2018
20        9.260986    6     6088.057364        1365.0  2018
21        6.161394    6     5220.190539        1430.0  2018
22        8.995438    6     5153.618902        1495.0  2018
23        7.349181    6     4875.966466        1560.0  2018",611.1735681907392
7,260205.30000000016,68869.82999999997,32707.127592799916,38306.24775700007,7427.392847849929,143415.27126640012,0.97,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-2171967040.553001,"    accepted_price  day  segment_demand  segment_hour  year
0        61.969754    7    33997.765951          82.0  2018
1        61.969754    7    33788.824457         164.0  2018
2        61.779002    7    33693.132765         246.0  2018
3        63.682290    7    33614.121275         328.0  2018
4        61.779002    7    33127.761663         410.0  2018
5        61.779002    7    33074.209432         492.0  2018
6        61.779002    7    33004.854902         574.0  2018
7        61.779002    7    32644.035768         656.0  2018
8        61.779002    7    32545.710359         738.0  2018
9        60.014152    7    31611.618974         820.0  2018
10       58.904757    7    30094.598379         902.0  2018
11       58.681471    7    28073.660063         984.0  2018
12       57.191214    7    27162.394219        1066.0  2018
13       56.999362    7    26582.976631        1148.0  2018
14       56.999362    7    26489.040749        1230.0  2018
15       49.833829    7    20291.906270        1312.0  2018
16       48.749004    7    18010.230039        1394.0  2018
17       24.713635    7    13723.417790        1476.0  2018
18       14.022649    7    10145.953135        1558.0  2018
19       12.086412    7     9723.680620        1640.0  2018
20       12.086412    7     8679.851055        1722.0  2018
21       10.423716    7     7527.161216        1804.0  2018
22        9.260986    7     6961.790115        1886.0  2018
23        9.260986    7     6708.075444        1968.0  2018",689.7873690223403
8,357016.43999999884,199455.8899999998,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,3249.4999999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.8,5044413329.297833,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    8    53386.557272          26.0  2019
1       300.000000    8    53249.794546          52.0  2019
2       297.323099    8    49650.129475          78.0  2019
3        81.707824    8    44608.318997         104.0  2019
4        81.980741    8    44572.374948         130.0  2019
5        74.503770    8    41670.550451         156.0  2019
6        74.503770    8    41304.973165         182.0  2019
7        74.503770    8    41276.919273         208.0  2019
8        74.503770    8    41077.911973         234.0  2019
9        73.313491    8    40729.868371         260.0  2019
10       72.813486    8    40613.269380         286.0  2019
11       72.813486    8    40390.591609         312.0  2019
12       72.813486    8    39304.379962         338.0  2019
13       67.605866    8    38354.054356         364.0  2019
14       64.778200    8    32953.680066         390.0  2019
15       64.366729    8    30838.241241         416.0  2019
16       60.054128    8    23531.078950         442.0  2019
17       58.346025    8    20979.928108         468.0  2019
18       57.820858    8    19891.086409         494.0  2019
19       57.820858    8    19500.961967         520.0  2019
20       56.986941    8    17757.237217         546.0  2019
21       56.364720    8    16648.231782         572.0  2019
22       54.242618    8    15250.797266         598.0  2019
23       54.242618    8    14858.919456         624.0  2019",1188.041860634223
9,328941.2999999992,105636.40000000014,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,533.5,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.8,1476038391.099283,"    accepted_price  day  segment_demand  segment_hour  year
0        76.570099    9    43734.264912          31.0  2019
1        75.822505    9    42603.342374          62.0  2019
2        69.215422    9    37914.835603          93.0  2019
3        68.267491    9    37013.604309         124.0  2019
4        67.435952    9    35024.408000         155.0  2019
5        67.435952    9    34396.702157         186.0  2019
6        67.435952    9    34390.565368         217.0  2019
7        66.443784    9    33392.898819         248.0  2019
8        66.793934    9    33228.082201         279.0  2019
9        66.443784    9    33083.429318         310.0  2019
10       65.949983    9    32440.819845         341.0  2019
11       66.443784    9    32427.669583         372.0  2019
12       64.234953    9    29642.444076         403.0  2019
13       63.937357    9    28493.111171         434.0  2019
14       63.013547    9    24245.576522         465.0  2019
15       62.239506    9    22424.703568         496.0  2019
16       61.581913    9    22166.958431         527.0  2019
17       61.581913    9    21851.352141         558.0  2019
18       59.706095    9    18877.639545         589.0  2019
19       59.155869    9    18574.306833         620.0  2019
20       57.447766    9    17254.020521         651.0  2019
21       55.584613    9    14559.093481         682.0  2019
22       55.584613    9    14192.639511         713.0  2019
23       55.366960    9    13130.975020         744.0  2019",906.3990350472022
