,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,339193.3199999986,211508.2799999995,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,5737.549999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,13629673313.870012,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    0    53460.929489          26.0  2018
1       300.000000    0    53323.976240          52.0  2018
2       298.041524    0    49719.296516          78.0  2018
3        71.052619    0    44670.462348         104.0  2018
4        71.446835    0    44634.468225         130.0  2018
5        64.664726    0    41728.601229         156.0  2018
6        64.664726    0    41362.514662         182.0  2018
7        65.316114    0    41334.421688         208.0  2018
8        64.597651    0    41135.137154         234.0  2018
9        63.986765    0    40786.608695         260.0  2018
10       63.986765    0    40669.847272         286.0  2018
11       63.986765    0    40446.859291         312.0  2018
12       62.888503    0    39359.134455         338.0  2018
13       62.180123    0    38407.484961         364.0  2018
14       59.530395    0    32999.587470         390.0  2018
15       58.090233    0    30881.201650         416.0  2018
16       53.482544    0    23563.859833         442.0  2018
17       52.447408    0    21009.155012         468.0  2018
18       52.369079    0    19918.796459         494.0  2018
19       52.369079    0    19528.128540         520.0  2018
20       51.183669    0    17781.974625         546.0  2018
21       50.694648    0    16671.424248         572.0  2018
22       50.176429    0    15272.042981         598.0  2018
23       50.176429    0    14879.619251         624.0  2018",1185.9841545954405
1,249568.7999999999,180783.59999999992,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,9629537536.761818,"    accepted_price  day  segment_demand  segment_hour  year
0        71.890465    1    43795.190628          31.0  2018
1        71.243418    1    42662.692614          62.0  2018
2        63.662377    1    37967.654337          93.0  2018
3        63.536266    1    37065.167548         124.0  2018
4        63.211744    1    35073.200112         155.0  2018
5        63.211744    1    34444.619819         186.0  2018
6        62.705590    1    34438.474481         217.0  2018
7        61.583848    1    33439.418093         248.0  2018
8        62.705590    1    33274.371871         279.0  2018
9        61.583848    1    33129.517474         310.0  2018
10       61.097889    1    32486.012789         341.0  2018
11       61.097889    1    32472.844207         372.0  2018
12       59.242770    1    29683.738634         403.0  2018
13       59.242770    1    28532.804606         434.0  2018
14       54.040087    1    24279.352764         465.0  2018
15       53.554694    1    22455.943172         496.0  2018
16       52.205844    1    22197.838973         527.0  2018
17       52.205844    1    21881.793016         558.0  2018
18       51.457417    1    18903.937774         589.0  2018
19       50.314987    1    18600.182493         620.0  2018
20       50.090210    1    17278.056905         651.0  2018
21       44.810704    1    14579.375591         682.0  2018
22       46.751720    1    14212.411119         713.0  2018
23       40.810178    1    13149.267635         744.0  2018",924.9408249328011
2,355426.25999999885,189150.4899999998,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12773.929999999995,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,19242509498.383472,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    2    54426.030454          32.0  2018
1       300.000000    2    53884.982059          64.0  2018
2       300.000000    2    50413.405650          96.0  2018
3        83.802975    2    45727.637024         128.0  2018
4        83.802975    2    45427.255641         160.0  2018
5        71.395355    2    42956.347334         192.0  2018
6        68.627060    2    42786.251852         224.0  2018
7        71.395355    2    42409.870360         256.0  2018
8        69.280832    2    42400.822728         288.0  2018
9        67.809107    2    41896.869624         320.0  2018
10       70.248323    2    41871.536254         352.0  2018
11       67.809107    2    40675.439300         384.0  2018
12       65.395558    2    39488.389979         416.0  2018
13       65.837490    2    38835.150946         448.0  2018
14       62.346030    2    32145.331826         480.0  2018
15       61.985751    2    31730.045516         512.0  2018
16       54.287755    2    24305.558675         544.0  2018
17       52.179074    2    19332.075351         576.0  2018
18       51.145798    2    19161.979868         608.0  2018
19       52.179074    2    18278.026219         640.0  2018
20       50.889492    2    15866.832284         672.0  2018
21       47.258321    2    14201.163228         704.0  2018
22       47.930792    2    13252.066629         736.0  2018
23       45.263087    2    12594.303781         768.0  2018",1184.3031256650193
3,361602.65999999846,210514.45999999967,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,12033.819999999996,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,37061369749.12808,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    3    56228.171469          33.0  2018
1       300.000000    3    55719.733689          66.0  2018
2       300.000000    3    53599.996768          99.0  2018
3       298.013951    3    49306.314487         132.0  2018
4       296.457488    3    49075.461304         165.0  2018
5        69.720851    3    44260.256446         198.0  2018
6        71.974127    3    43690.133201         231.0  2018
7        67.833703    3    43644.336415         264.0  2018
8        66.659783    3    43081.690195         297.0  2018
9        67.319298    3    42813.451881         330.0  2018
10       65.985250    3    42537.736541         363.0  2018
11       66.547945    3    42477.920332         396.0  2018
12       65.395558    3    42238.655494         429.0  2018
13       65.172593    3    42098.461253         462.0  2018
14       60.752844    3    34995.286387         495.0  2018
15       59.731200    3    34437.313308         528.0  2018
16       57.095261    3    26364.928923         561.0  2018
17       53.568137    3    21314.197742         594.0  2018
18       52.428006    3    20233.767459         627.0  2018
19       52.201384    3    19151.467921         660.0  2018
20       51.624143    3    16961.633879         693.0  2018
21       50.982738    3    15791.479283         726.0  2018
22       50.982738    3    14715.722142         759.0  2018
23       50.293944    3    14166.160718         792.0  2018",1242.9631046150785
4,184434.78000000017,95567.87999999993,22125.504787500024,29595.668287999968,3116.345363049977,149146.39792640004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,25369269752.559525,"    accepted_price  day  segment_demand  segment_hour  year
0        61.330936    4    31411.921592          43.0  2018
1        61.330936    4    30082.880189          86.0  2018
2        60.442568    4    29870.719571         129.0  2018
3        60.442568    4    29461.352388         172.0  2018
4        60.442568    4    28508.031551         215.0  2018
5        60.442568    4    28072.494776         258.0  2018
6        60.442568    4    28050.998326         301.0  2018
7        59.869434    4    27900.523174         344.0  2018
8        59.869434    4    27769.675216         387.0  2018
9        59.676407    4    26452.783981         430.0  2018
10       59.676407    4    25864.902798         473.0  2018
11       59.676407    4    25630.311102         516.0  2018
12       59.409526    4    25503.201657         559.0  2018
13       59.409526    4    25302.256578         602.0  2018
14       57.315293    4    24515.299573         645.0  2018
15       52.088369    4    18300.021565         688.0  2018
16       52.088369    4    18293.479167         731.0  2018
17       46.708946    4    11550.136185         774.0  2018
18       22.123052    4     9961.268122         817.0  2018
19       10.134107    4     7540.580898         860.0  2018
20       10.134107    4     6045.175663         903.0  2018
21        9.463270    4     5810.583967         946.0  2018
22        9.126640    4     5039.515642         989.0  2018
23        9.126640    4     4996.522742        1032.0  2018",600.2604874562395
5,352399.43999999895,226377.65999999954,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12132.275,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,43231432267.722626,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    5    54964.712794          53.0  2018
1       300.000000    5    54958.524468         106.0  2018
2       300.000000    5    51219.007385         159.0  2018
3        87.000789    5    46640.530086         212.0  2018
4        87.000789    5    46522.951890         265.0  2018
5        73.331342    5    43854.899276         318.0  2018
6        73.758964    5    43836.334297         371.0  2018
7        75.296771    5    43688.698517         424.0  2018
8        69.681515    5    43510.121105         477.0  2018
9        73.331342    5    43506.584919         530.0  2018
10       67.912365    5    42936.374867         583.0  2018
11       65.985250    5    41571.406929         636.0  2018
12       66.640586    5    41139.992193         689.0  2018
13       63.311300    5    39632.692754         742.0  2018
14       61.366031    5    33960.649821         795.0  2018
15       60.111659    5    32856.475628         848.0  2018
16       53.643913    5    26494.876354         901.0  2018
17       51.259172    5    21902.254310         954.0  2018
18       51.229906    5    21463.767201        1007.0  2018
19       50.930799    5    20926.266873        1060.0  2018
20       48.754854    5    19669.152619        1113.0  2018
21       48.274795    5    18297.996356        1166.0  2018
22       46.440494    5    15802.332827        1219.0  2018
23       46.440494    5    15647.624674        1272.0  2018",1259.9247540986773
6,194378.70000000004,94972.22000000004,24587.12621600002,33942.370241000004,4477.684433199984,135875.2462368002,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,25082579517.38339,"    accepted_price  day  segment_demand  segment_hour  year
0        61.738665    6    31597.983822          65.0  2018
1        61.572187    6    31071.093673         130.0  2018
2        61.572187    6    30877.873556         195.0  2018
3        61.572187    6    30841.340341         260.0  2018
4        61.192202    6    30204.850546         325.0  2018
5        60.972608    6    30062.776931         390.0  2018
6        60.972608    6    30020.560771         455.0  2018
7        61.572187    6    29970.226119         520.0  2018
8        60.972608    6    29936.128451         585.0  2018
9        60.179218    6    28379.001631         650.0  2018
10       60.179218    6    27744.947384         715.0  2018
11       59.717067    6    26165.088785         780.0  2018
12       59.409526    6    25853.338681         845.0  2018
13       57.722481    6    23586.655635         910.0  2018
14       57.856684    6    23416.167297         975.0  2018
15       53.034079    6    17309.437401        1040.0  2018
16       51.918452    6    15404.839111        1105.0  2018
17       44.656458    6    10866.601923        1170.0  2018
18       10.779033    6     7561.563714        1235.0  2018
19        9.277762    6     7318.820795        1300.0  2018
20        7.983708    6     6088.057364        1365.0  2018
21        7.560290    6     5220.190539        1430.0  2018
22        7.861489    6     5153.618902        1495.0  2018
23        7.778691    6     4875.966466        1560.0  2018",618.4293692435604
7,184031.58,145869.55,31262.00800309992,38306.24775700007,7414.638121949932,145729.83560240007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,4076423509.534173,"    accepted_price  day  segment_demand  segment_hour  year
0        59.601247    7    33997.765951          82.0  2018
1        59.510833    7    33788.824457         164.0  2018
2        59.510833    7    33693.132765         246.0  2018
3        59.601247    7    33614.121275         328.0  2018
4        59.510833    7    33127.761663         410.0  2018
5        59.510833    7    33074.209432         492.0  2018
6        59.510833    7    33004.854902         574.0  2018
7        59.418397    7    32644.035768         656.0  2018
8        59.510833    7    32545.710359         738.0  2018
9        59.183315    7    31611.618974         820.0  2018
10       59.157875    7    30094.598379         902.0  2018
11       57.655713    7    28073.660063         984.0  2018
12       57.314310    7    27162.394219        1066.0  2018
13       57.292032    7    26582.976631        1148.0  2018
14       57.292032    7    26489.040749        1230.0  2018
15       51.169760    7    20291.906270        1312.0  2018
16       50.822898    7    18010.230039        1394.0  2018
17       22.123052    7    13723.417790        1476.0  2018
18       11.673812    7    10145.953135        1558.0  2018
19       11.354730    7     9723.680620        1640.0  2018
20       10.134107    7     8679.851055        1722.0  2018
21        9.463270    7     7527.161216        1804.0  2018
22        7.861489    7     6961.790115        1886.0  2018
23        8.508274    7     6708.075444        1968.0  2018",706.9697695309014
8,358871.75999999844,198557.46999999962,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,3773.2999999999997,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-33237330194.28466,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    8    53386.557272          26.0  2019
1       300.000000    8    53249.794546          52.0  2019
2       298.013951    8    49650.129475          78.0  2019
3        79.578805    8    44608.318997         104.0  2019
4        79.845664    8    44572.374948         130.0  2019
5        73.067940    8    41670.550451         156.0  2019
6        73.067940    8    41304.973165         182.0  2019
7        76.672579    8    41276.919273         208.0  2019
8        73.067940    8    41077.911973         234.0  2019
9        73.067940    8    40729.868371         260.0  2019
10       73.067940    8    40613.269380         286.0  2019
11       73.067940    8    40390.591609         312.0  2019
12       71.546771    8    39304.379962         338.0  2019
13       70.599847    8    38354.054356         364.0  2019
14       68.088767    8    32953.680066         390.0  2019
15       67.561318    8    30838.241241         416.0  2019
16       64.713741    8    23531.078950         442.0  2019
17       62.458954    8    20979.928108         468.0  2019
18       61.476172    8    19891.086409         494.0  2019
19       61.476172    8    19500.961967         520.0  2019
20       59.107520    8    17757.237217         546.0  2019
21       57.810710    8    16648.231782         572.0  2019
22       57.433938    8    15250.797266         598.0  2019
23       57.281956    8    14858.919456         624.0  2019",1192.1685887630622
9,242840.6399999999,189065.82999999993,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-36123009145.04976,"    accepted_price  day  segment_demand  segment_hour  year
0        79.619298    9    43734.264912          31.0  2019
1        78.428894    9    42603.342374          62.0  2019
2        70.186254    9    37914.835603          93.0  2019
3        69.719945    9    37013.604309         124.0  2019
4        68.401041    9    35024.408000         155.0  2019
5        68.302840    9    34396.702157         186.0  2019
6        68.302840    9    34390.565368         217.0  2019
7        67.753985    9    33392.898819         248.0  2019
8        68.302840    9    33228.082201         279.0  2019
9        67.753985    9    33083.429318         310.0  2019
10       67.753985    9    32440.819845         341.0  2019
11       67.753985    9    32427.669583         372.0  2019
12       65.766647    9    29642.444076         403.0  2019
13       64.849488    9    28493.111171         434.0  2019
14       61.185787    9    24245.576522         465.0  2019
15       60.873024    9    22424.703568         496.0  2019
16       60.873024    9    22166.958431         527.0  2019
17       59.575641    9    21851.352141         558.0  2019
18       58.817135    9    18877.639545         589.0  2019
19       58.241705    9    18574.306833         620.0  2019
20       57.688114    9    17254.020521         651.0  2019
21       56.555824    9    14559.093481         682.0  2019
22       56.555824    9    14192.639511         713.0  2019
23       48.964667    9    13130.975020         744.0  2019",921.0884674903398
