,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,342218.8799999987,203592.4799999996,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,11411.080000000002,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,14155119615.890879,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    0    53460.929489          26.0  2018
1       300.000000    0    53323.976240          52.0  2018
2       298.041524    0    49719.296516          78.0  2018
3        72.936839    0    44670.462348         104.0  2018
4        72.936839    0    44634.468225         130.0  2018
5        69.113661    0    41728.601229         156.0  2018
6        69.113661    0    41362.514662         182.0  2018
7        69.455948    0    41334.421688         208.0  2018
8        69.044160    0    41135.137154         234.0  2018
9        66.676642    0    40786.608695         260.0  2018
10       65.985250    0    40669.847272         286.0  2018
11       66.194974    0    40446.859291         312.0  2018
12       64.525727    0    39359.134455         338.0  2018
13       63.921677    0    38407.484961         364.0  2018
14       61.961240    0    32999.587470         390.0  2018
15       60.106120    0    30881.201650         416.0  2018
16       53.422422    0    23563.859833         442.0  2018
17       52.727557    0    21009.155012         468.0  2018
18       52.034534    0    19918.796459         494.0  2018
19       52.034534    0    19528.128540         520.0  2018
20       51.587355    0    17781.974625         546.0  2018
21       50.431764    0    16671.424248         572.0  2018
22       50.302396    0    15272.042981         598.0  2018
23       50.302396    0    14879.619251         624.0  2018",1186.904176687041
1,258871.79999999996,168992.8499999999,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,10914303974.15981,"    accepted_price  day  segment_demand  segment_hour  year
0        69.244453    1    43795.190628          31.0  2018
1        69.244453    1    42662.692614          62.0  2018
2        63.546343    1    37967.654337          93.0  2018
3        63.020580    1    37065.167548         124.0  2018
4        62.591705    1    35073.200112         155.0  2018
5        62.557050    1    34444.619819         186.0  2018
6        62.209983    1    34438.474481         217.0  2018
7        61.456911    1    33439.418093         248.0  2018
8        61.763229    1    33274.371871         279.0  2018
9        61.456911    1    33129.517474         310.0  2018
10       60.981856    1    32486.012789         341.0  2018
11       61.456911    1    32472.844207         372.0  2018
12       59.126736    1    29683.738634         403.0  2018
13       59.126736    1    28532.804606         434.0  2018
14       54.692953    1    24279.352764         465.0  2018
15       54.692953    1    22455.943172         496.0  2018
16       54.298481    1    22197.838973         527.0  2018
17       53.947510    1    21881.793016         558.0  2018
18       51.313299    1    18903.937774         589.0  2018
19       51.192048    1    18600.182493         620.0  2018
20       51.189365    1    17278.056905         651.0  2018
21       49.378313    1    14579.375591         682.0  2018
22       49.937527    1    14212.411119         713.0  2018
23       46.338754    1    13149.267635         744.0  2018",917.5160589643019
2,334775.0999999989,212529.74999999953,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,10738.869999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20215343521.15478,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    2    54426.030454          32.0  2018
1       300.000000    2    53884.982059          64.0  2018
2       300.000000    2    50413.405650          96.0  2018
3        72.687709    2    45727.637024         128.0  2018
4        78.748519    2    45427.255641         160.0  2018
5        66.673081    2    42956.347334         192.0  2018
6        66.470664    2    42786.251852         224.0  2018
7        66.673081    2    42409.870360         256.0  2018
8        66.470664    2    42400.822728         288.0  2018
9        66.470664    2    41896.869624         320.0  2018
10       66.470664    2    41871.536254         352.0  2018
11       65.452884    2    40675.439300         384.0  2018
12       63.164693    2    39488.389979         416.0  2018
13       63.694390    2    38835.150946         448.0  2018
14       60.600205    2    32145.331826         480.0  2018
15       60.029727    2    31730.045516         512.0  2018
16       53.561431    2    24305.558675         544.0  2018
17       50.866104    2    19332.075351         576.0  2018
18       50.651476    2    19161.979868         608.0  2018
19       50.651476    2    18278.026219         640.0  2018
20       49.982043    2    15866.832284         672.0  2018
21       46.020544    2    14201.163228         704.0  2018
22       46.020544    2    13252.066629         736.0  2018
23       46.020544    2    12594.303781         768.0  2018",1190.3713233904998
3,352078.8599999989,221307.43999999954,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,38265336604.99065,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    3    56228.171469          33.0  2018
1       300.000000    3    55719.733689          66.0  2018
2       300.000000    3    53599.996768          99.0  2018
3       298.013951    3    49306.314487         132.0  2018
4       296.457488    3    49075.461304         165.0  2018
5        70.918958    3    44260.256446         198.0  2018
6        70.918958    3    43690.133201         231.0  2018
7        70.918958    3    43644.336415         264.0  2018
8        70.302209    3    43081.690195         297.0  2018
9        70.379906    3    42813.451881         330.0  2018
10       69.754491    3    42537.736541         363.0  2018
11       70.302209    3    42477.920332         396.0  2018
12       68.968542    3    42238.655494         429.0  2018
13       68.635278    3    42098.461253         462.0  2018
14       62.118212    3    34995.286387         495.0  2018
15       61.419237    3    34437.313308         528.0  2018
16       54.689903    3    26364.928923         561.0  2018
17       51.562949    3    21314.197742         594.0  2018
18       50.698496    3    20233.767459         627.0  2018
19       50.640284    3    19151.467921         660.0  2018
20       48.748110    3    16961.633879         693.0  2018
21       43.187297    3    15791.479283         726.0  2018
22       43.187297    3    14715.722142         759.0  2018
23       36.495810    3    14166.160718         792.0  2018",1250.1135087811183
4,212671.80000000005,64252.279999999984,22125.504787500024,29595.668287999968,3116.345363049977,149146.39792640004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,27683202808.211296,"    accepted_price  day  segment_demand  segment_hour  year
0        62.365512    4    31411.921592          43.0  2018
1        62.365512    4    30082.880189          86.0  2018
2        62.122390    4    29870.719571         129.0  2018
3        61.647451    4    29461.352388         172.0  2018
4        61.647451    4    28508.031551         215.0  2018
5        61.632032    4    28072.494776         258.0  2018
6        61.632032    4    28050.998326         301.0  2018
7        61.632032    4    27900.523174         344.0  2018
8        61.632032    4    27769.675216         387.0  2018
9        61.396667    4    26452.783981         430.0  2018
10       61.396667    4    25864.902798         473.0  2018
11       60.922561    4    25630.311102         516.0  2018
12       60.922561    4    25503.201657         559.0  2018
13       60.922561    4    25302.256578         602.0  2018
14       60.241310    4    24515.299573         645.0  2018
15       57.075947    4    18300.021565         688.0  2018
16       55.332665    4    18293.479167         731.0  2018
17       49.802682    4    11550.136185         774.0  2018
18       22.123052    4     9961.268122         817.0  2018
19       10.134107    4     7540.580898         860.0  2018
20       10.134107    4     6045.175663         903.0  2018
21        9.463270    4     5810.583967         946.0  2018
22        9.126640    4     5039.515642         989.0  2018
23        9.126640    4     4996.522742        1032.0  2018",588.9587082874408
5,354267.77999999886,226014.25999999946,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,10468.725000000002,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,43324582289.16981,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    5    54964.712794          53.0  2018
1       300.000000    5    54958.524468         106.0  2018
2       300.000000    5    51219.007385         159.0  2018
3        87.000789    5    46640.530086         212.0  2018
4        87.000789    5    46522.951890         265.0  2018
5        66.845056    5    43854.899276         318.0  2018
6        70.368776    5    43836.334297         371.0  2018
7        70.563871    5    43688.698517         424.0  2018
8        66.794181    5    43510.121105         477.0  2018
9        66.794181    5    43506.584919         530.0  2018
10       65.395558    5    42936.374867         583.0  2018
11       64.552349    5    41571.406929         636.0  2018
12       64.552349    5    41139.992193         689.0  2018
13       64.488143    5    39632.692754         742.0  2018
14       61.597421    5    33960.649821         795.0  2018
15       60.132742    5    32856.475628         848.0  2018
16       55.475214    5    26494.876354         901.0  2018
17       52.912090    5    21902.254310         954.0  2018
18       52.377753    5    21463.767201        1007.0  2018
19       51.910576    5    20926.266873        1060.0  2018
20       51.635500    5    19669.152619        1113.0  2018
21       51.635500    5    18297.996356        1166.0  2018
22       50.052737    5    15802.332827        1219.0  2018
23       50.052737    5    15647.624674        1272.0  2018",1259.529587765477
6,151244.10000000003,138061.97999999995,24587.12621600002,33942.370241000004,4477.684433199984,135875.2462368002,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,25227496695.793575,"    accepted_price  day  segment_demand  segment_hour  year
0        60.930740    6    31597.983822          65.0  2018
1        60.266296    6    31071.093673         130.0  2018
2        60.266296    6    30877.873556         195.0  2018
3        60.266296    6    30841.340341         260.0  2018
4        60.111221    6    30204.850546         325.0  2018
5        59.090144    6    30062.776931         390.0  2018
6        59.090144    6    30020.560771         455.0  2018
7        60.266296    6    29970.226119         520.0  2018
8        59.090144    6    29936.128451         585.0  2018
9        58.784151    6    28379.001631         650.0  2018
10       57.013105    6    27744.947384         715.0  2018
11       54.925214    6    26165.088785         780.0  2018
12       54.925214    6    25853.338681         845.0  2018
13       52.152391    6    23586.655635         910.0  2018
14       52.430061    6    23416.167297         975.0  2018
15       48.860812    6    17309.437401        1040.0  2018
16       47.345490    6    15404.839111        1105.0  2018
17       27.733180    6    10866.601923        1170.0  2018
18       10.779033    6     7561.563714        1235.0  2018
19        9.277762    6     7318.820795        1300.0  2018
20        7.983708    6     6088.057364        1365.0  2018
21        7.560290    6     5220.190539        1430.0  2018
22        7.861489    6     5153.618902        1495.0  2018
23        7.778691    6     4875.966466        1560.0  2018",620.6417671280398
7,168424.74000000014,160245.96999999994,31262.00800309992,38306.24775700007,7414.638121949932,145729.83560240007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,3599653091.281064,"    accepted_price  day  segment_demand  segment_hour  year
0        60.138499    7    33997.765951          82.0  2018
1        60.074658    7    33788.824457         164.0  2018
2        60.074658    7    33693.132765         246.0  2018
3        60.138499    7    33614.121275         328.0  2018
4        59.661003    7    33127.761663         410.0  2018
5        59.661003    7    33074.209432         492.0  2018
6        59.661003    7    33004.854902         574.0  2018
7        59.661003    7    32644.035768         656.0  2018
8        59.661003    7    32545.710359         738.0  2018
9        59.425095    7    31611.618974         820.0  2018
10       57.805883    7    30094.598379         902.0  2018
11       54.141509    7    28073.660063         984.0  2018
12       53.421680    7    27162.394219        1066.0  2018
13       52.958524    7    26582.976631        1148.0  2018
14       52.864188    7    26489.040749        1230.0  2018
15       50.340100    7    20291.906270        1312.0  2018
16       49.020110    7    18010.230039        1394.0  2018
17       22.123052    7    13723.417790        1476.0  2018
18       11.673812    7    10145.953135        1558.0  2018
19       11.354730    7     9723.680620        1640.0  2018
20       10.134107    7     8679.851055        1722.0  2018
21        9.463270    7     7527.161216        1804.0  2018
22        7.861489    7     6961.790115        1886.0  2018
23        8.508274    7     6708.075444        1968.0  2018",708.3387785260613
8,321025.55999999907,230456.47999999984,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,3773.2999999999997,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,9118738279.106842,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    8    53386.557272          26.0  2019
1       300.000000    8    53249.794546          52.0  2019
2       300.000000    8    49650.129475          78.0  2019
3        83.553032    8    44608.318997         104.0  2019
4        86.005353    8    44572.374948         130.0  2019
5        76.352790    8    41670.550451         156.0  2019
6        76.352790    8    41304.973165         182.0  2019
7        76.672579    8    41276.919273         208.0  2019
8        75.905947    8    41077.911973         234.0  2019
9        75.191930    8    40729.868371         260.0  2019
10       75.191930    8    40613.269380         286.0  2019
11       75.191930    8    40390.591609         312.0  2019
12       69.719945    8    39304.379962         338.0  2019
13       69.423079    8    38354.054356         364.0  2019
14       67.268813    8    32953.680066         390.0  2019
15       66.425065    8    30838.241241         416.0  2019
16       61.906697    8    23531.078950         442.0  2019
17       59.538045    8    20979.928108         468.0  2019
18       59.376341    8    19891.086409         494.0  2019
19       59.376341    8    19500.961967         520.0  2019
20       57.345475    8    17757.237217         546.0  2019
21       56.895693    8    16648.231782         572.0  2019
22       53.135164    8    15250.797266         598.0  2019
23       53.135164    8    14858.919456         624.0  2019",1185.5488105190411
9,257615.27999999985,176835.14999999967,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,3247702720.5411334,"    accepted_price  day  segment_demand  segment_hour  year
0        79.594224    9    43734.264912          31.0  2019
1        79.594224    9    42603.342374          62.0  2019
2        72.657526    9    37914.835603          93.0  2019
3        72.010098    9    37013.604309         124.0  2019
4        69.719945    9    35024.408000         155.0  2019
5        69.020567    9    34396.702157         186.0  2019
6        68.972508    9    34390.565368         217.0  2019
7        67.532016    9    33392.898819         248.0  2019
8        68.972508    9    33228.082201         279.0  2019
9        67.532016    9    33083.429318         310.0  2019
10       67.532016    9    32440.819845         341.0  2019
11       67.532016    9    32427.669583         372.0  2019
12       65.676897    9    29642.444076         403.0  2019
13       65.676897    9    28493.111171         434.0  2019
14       61.725728    9    24245.576522         465.0  2019
15       60.727098    9    22424.703568         496.0  2019
16       59.458707    9    22166.958431         527.0  2019
17       59.261430    9    21851.352141         558.0  2019
18       59.073218    9    18877.639545         589.0  2019
19       58.725845    9    18574.306833         620.0  2019
20       58.395875    9    17254.020521         651.0  2019
21       57.789464    9    14559.093481         682.0  2019
22       57.789464    9    14192.639511         713.0  2019
23       56.382311    9    13130.975020         744.0  2019",924.7608511597011
