,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,328340.6399999989,221818.5699999995,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,8128.599999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,12152474879.66797,88.99035323123921,1190.936446180858
1,224551.80000000025,207494.28999999972,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,6652036912.947961,55.32197596113028,929.1376467774212
2,342245.8199999991,206554.9799999997,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12949.984999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,15792681904.446016,90.03975053124832,1194.8922289320383
3,354479.5199999983,218678.31999999954,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,33520429007.679684,110.81683208319494,1249.1202354713564
4,140578.14000000004,147529.33999999988,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,18987360658.051994,43.90019771062246,614.570298417322
5,353514.2399999981,226597.2799999996,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11951.370000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,34744439027.11929,92.34734750158775,1261.3864508974375
6,149423.94000000018,142285.31999999995,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,14707900224.31422,42.97237629278595,621.7499463573614
7,183455.46000000028,150053.38999999998,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,-9420113406.63792,43.443943904422156,707.2906278192228
8,2761449.4599999916,101814.58000000006,22887.14770110003,29579.745223999984,183579.3968779501,164708.5260351998,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-53101502478.33006,44.32100177858268,5832.931253982851
9,2306116.1199999875,0.0,22989.94402340004,29595.668287999964,181701.91321920004,162993.2422103998,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-61558906616.40113,44.530523500996104,4681.415723599994
10,4329064.739999991,0.0,21334.293567599932,29224.130127999983,96544.9184758995,165604.86687359976,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-69209017669.04985,45.63114805253118,8788.001422200005
11,3391213.979999988,34899.04,22696.546629600027,29656.706700000013,185534.12296380018,162096.90137199982,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-78065139900.76201,45.01073539411643,6962.038027457924
12,1175711.459999997,34488.24,20905.772816700006,27869.76391999996,173801.97787674997,141446.41733600013,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-94882049398.03323,36.0249419913934,2463.6512535595157
13,3762729.739999989,81783.17000000003,23024.53531950003,29595.668287999964,181702.9388254,162993.2422103998,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-105651209563.27837,45.11481371771051,7820.832174171669
14,1294641.8099999987,55916.95999999996,21972.674546000017,29241.218556999993,197951.60388220032,128576.26023200026,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-132626917047.82645,36.19519067821028,2752.895867010078
15,1325223.8999999985,50168.16000000002,21535.025716800083,28937.514976000013,295261.9592117508,120878.49100880022,0.0,0,156947.0,14475.0,8756.1,6983.8,70209.79999999999,9361.0,670.0,18.08,-165369037700.1023,32.40380795753097,2802.149648887674
16,82684.90999999999,0.0,16637.901613300033,24430.796030000027,223309.7870958501,1245261.412052002,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-241428443201.49948,39.95176903595291,167.85036729999993
17,14724.710000000001,0.0,12894.493909299998,21916.521830999984,220423.66420595004,1223567.1626976018,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-266484171166.96808,58.706520374720974,29.891161300000004
18,883482.5999999994,0.0,16241.658931600117,25050.996652000034,117449.948324651,1341389.5442360023,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-284318459643.5492,37.144290054950545,1793.469678000001
19,88348.26000000001,37198.7,17016.200138899978,24420.063006,225690.4642739497,1304466.3460976023,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-307969668183.24475,58.046499122124466,262.3520725825998
20,0.0,0.0,9953.521411599984,17034.010738999987,201516.92047840016,992461.5993600012,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-344368546585.63617,61.106298722627606,0.0
21,105338.30999999994,0.0,17012.319275599995,24566.20950499999,220453.43977995,1338841.3120992023,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-385306463614.6532,50.80200608133985,213.83676930000001
22,0.0,0.0,11118.949998500006,18093.226956999988,186759.02512655023,992461.5993600012,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-439149814671.42596,65.86065435838835,0.0
23,0.0,0.0,12123.873548700056,20893.633023999995,242476.95258134964,971250.1651776012,0.0,0,186367.0,14475.0,8789.9,6983.8,110209.80000000002,48961.0,670.0,18.08,-510780254945.811,40.802958112950755,0.0
24,86082.91999999997,0.0,16818.41623680004,24368.209659500026,223920.09814615003,1245261.412052002,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-532065051051.5819,39.68325383023253,174.74832759999998
25,3398.01,1549.19,13070.497382900001,21836.66619899998,221030.04108595,1222645.759697602,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-556845303246.728,58.71260328666875,10.35481976762
26,132522.39,0.0,16410.566777600106,25008.003148000036,117771.28072895133,1341389.5442360023,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-582894970931.8706,36.60630241192009,269.0204517
27,883482.5999999994,17206.200000000004,17138.50061010001,24273.077296,226305.67827629962,1304466.3460976023,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-595804401679.2955,57.987904726610736,1831.8635582676013
28,0.0,0.0,10104.369409599993,17034.010738999987,202094.77031040017,992461.5993600012,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-631873003285.1389,61.106298722627606,0.0
29,137053.07,0.0,17223.50379560001,24566.20950499999,221059.81665994995,1338841.3120992023,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-672233323944.0936,50.817014950383346,278.21773210000003
30,0.0,0.0,11278.623396000015,18071.03503299999,187354.00480890018,992461.5993600012,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-725565031819.4171,65.84984568652617,0.0
31,0.0,0.0,12279.417559200057,20862.779379999996,243296.6686053496,970328.7621776011,0.0,0,189014.0,14475.0,8890.9,6983.8,110641.80000000002,48961.0,660.0,18.08,-796594314659.7333,40.797351428899105,0.0
32,58898.840000000004,12513.600000000002,16719.06780860006,24311.337653000028,226510.2139985998,1244371.705315202,0.0,0,189014.0,14475.0,8872.999999999998,6983.8,112961.80000000002,48961.0,660.0,18.08,-818394673164.84,38.05382932590644,147.48746721280003
33,14724.710000000001,1586.3200000000002,12976.231182399997,21752.525990999984,223631.21306995014,1222645.759697602,0.0,0,189014.0,14475.0,8872.999999999998,6983.8,112961.80000000002,48961.0,660.0,18.08,-843557732004.3884,58.82965671634607,33.430872575360006
34,45306.79999999999,26633.269999999993,16356.623021200121,24883.35098800004,119177.79233145138,1340607.4573696023,0.0,0,189014.0,14475.0,8872.999999999998,6983.8,112961.80000000002,48961.0,660.0,18.08,-869391837789.3165,36.56478716523167,151.40222941145998
