,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,335947.67999999877,210716.69999999952,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,10709.770000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,13020846627.194843,90.16021883471012,1186.8930316465996
1,254824.38000000038,173096.1099999999,23464.752699000044,29595.668287999964,3122.211992499978,165604.86687359976,3333.404999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,7968656562.045742,55.893874578713906,921.4438630517819
2,337483.0199999989,212113.4199999996,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12134.700000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,17133553254.181967,90.26711684605253,1196.0662276411595
3,343030.7999999986,232252.88999999964,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,12933.009999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,34026557628.3688,108.48963288065772,1253.8407537402168
4,151735.86000000013,130148.54999999994,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,20711731960.436787,43.815910028599525,599.3611796529017
5,341194.9199999989,236598.67999999947,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11950.400000000003,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,36268117774.142715,91.16828688440451,1257.7691964746364
6,200199.1200000002,91239.47000000002,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,16094286353.882671,45.794243898878854,618.3133115990619
7,179332.14000000033,153226.8199999999,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,192.1121598,-8377851677.121525,44.12428705361745,706.3791510143627
8,276471.5200000003,199410.47999999952,22284.052965600025,29104.336296499994,476200.3738173988,153594.93161039997,2599.5999999999995,0,31912.0,14475.0,8756.1,6983.8,108769.79999999996,9361.0,670.0,191.8831897,-35903787338.0528,88.99840250176521,1018.8718772910418
9,176896.28000000017,173371.12999999954,22229.656985500005,28822.736222999967,470754.45509314956,156093.03942399993,649.9,0,31912.0,14475.0,8756.1,6983.8,108769.79999999996,9361.0,670.0,191.8831897,-42454804478.69003,54.94254246997115,748.2029078197404
10,301134.3799999999,214129.61999999944,21191.547397599898,29224.130127999983,250437.27339920105,163882.9489471998,3249.4999999999995,0,31912.0,14475.0,8756.1,6983.8,108769.79999999996,9361.0,670.0,191.8831897,-37039649345.89674,83.32418603522301,1104.9493790087608
11,304490.9399999998,199822.2899999996,22094.80984559995,28763.438724000003,481275.06946424494,151804.4613008,4917.899999999996,0,31912.0,14475.0,8756.1,6983.8,108769.79999999996,9361.0,670.0,191.8831897,-21343444416.26179,99.64240135575089,1084.1488699414217
12,112355.34000000005,101282.06999999993,20273.220180299984,27651.064096999962,437423.3949775489,136260.02412960018,0.0,0,31912.0,14475.0,8756.1,6983.8,108769.79999999996,9361.0,670.0,191.8831897,-36057180391.56598,41.54079307764723,454.08194863385927
