,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,344146.1999999986,202089.89999999956,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,12134.700000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,13497704090.189363,91.05732274050399,1187.1316012002
1,241174.5000000003,189780.11999999947,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,7996224028.94224,56.25468582700375,927.9752126677605
2,337186.55999999883,209748.94999999966,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12709.91,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,17213981879.33519,90.7577390197901,1191.2615971520997
3,362400.2399999981,212276.94999999955,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13144.469999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,34596152165.1447,109.57157639952699,1249.939877856098
4,136268.22000000006,146503.12999999986,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,21737892011.49166,43.280817207817165,603.5312778757421
5,356350.8599999981,224196.46999999954,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11864.555000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,37226179814.58671,92.64797880363925,1260.687222735057
6,146291.94000000012,147317.61999999985,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,16895303216.459736,43.13818998840606,625.6968808327624
7,177594.78000000026,150649.04999999996,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,18.08,-6583036208.765045,44.34904324081765,702.3148297119023
8,3241701.5399999926,36670.69999999998,22896.221139300033,29579.745223999984,179889.4018664485,164708.5260351998,0.0,0,143708.0,14475.0,8756.1,6983.8,69777.79999999996,9361.0,670.0,18.08,-49698243572.52835,43.37235021114706,6662.481052838596
9,2427311.8099999945,0.0,22989.94402340004,29595.668287999964,178048.86225919772,162993.2422103998,0.0,0,143708.0,14475.0,8756.1,6983.8,69777.79999999996,9361.0,670.0,18.08,-57605285115.65728,43.814324021216066,4927.442974299998
