,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,363368.69999999803,185891.73999999987,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,12949.984999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,13829068681.726244,90.86873679320733,1191.6637629225204
1,241569.06000000035,188455.2899999999,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,8785412758.306494,56.404059344865125,921.2463077354222
2,340973.7599999987,210340.65999999963,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,11562.400000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,17979114571.03846,90.69930569483074,1197.9405083626784
3,355267.79999999836,218165.60999999967,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,35730697779.65323,109.87011434546764,1249.5763838027774
4,141222.54000000004,142947.33999999994,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,22829166709.222134,42.919106587980046,605.6541647813212
5,355880.87999999826,223565.25999999957,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12902.939999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,39058317970.116425,92.8728725995119,1260.4326041534773
6,162653.34000000026,129951.84000000003,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,19704764880.177254,44.39118902563291,621.0847257523217
7,188297.46000000014,137565.85999999996,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,225.30632599999998,-2818480952.8936057,44.23629927051834,698.4497254722826
8,350554.7199999982,204750.41999999978,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,3249.4999999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-32798503221.261097,96.2844142307214,1186.1922804471621
9,238169.3800000005,195514.56999999972,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-37153598132.51107,63.915602214814584,924.2415952288618
10,314714.0599999993,238518.19999999987,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,5199.199999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-26573505928.549644,95.04580436542926,1194.5913277636002
11,341368.47999999876,235920.5599999998,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,8574.799999999994,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-7209641578.94517,114.8543440263342,1249.755899662879
12,158655.18000000025,123644.42000000004,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-19807150659.286327,48.82699219646653,597.9699268991619
13,375372.9199999979,205992.67999999982,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,9098.599999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,152589147.98709655,100.78215378769443,1253.0672152866414
14,168178.56000000032,124612.63000000012,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-18771693515.343723,49.65725718141411,619.4628501567416
15,149511.06000000017,180638.8,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,236.690424,-42451913904.03041,47.60530453387499,706.5845088424026
16,246010.96000000034,173217.66999999995,21001.81499989998,27952.275391,500231.26134860225,145678.23703440005,3627.7999999999993,0,31912.0,14475.0,8729.9,6983.8,203985.79999999984,9361.0,670.0,248.074522,-85393128299.14638,78.3104573649985,902.5259420026623
17,214271.60000000018,82973.12000000004,20348.83692799993,26643.266837999978,512289.3696794026,141460.4226616001,902.1,0,31912.0,14475.0,8729.9,6983.8,203985.79999999984,9361.0,670.0,248.074522,-92224756104.07259,49.17837219105323,624.9100127817613
18,299078.82,179877.38999999972,20670.394178399856,28627.396215999997,297918.91192059946,156093.03942399993,4549.299999999998,0,31912.0,14475.0,8729.9,6983.8,203985.79999999984,9361.0,670.0,248.074522,-86491089156.8505,78.46655894654914,1026.9848286912227
19,270210.90000000026,175115.49999999983,21544.55858579995,28041.842625999998,500686.48119169864,151804.4613008,6498.999999999995,0,31912.0,14475.0,8729.9,6983.8,203985.79999999984,9361.0,670.0,248.074522,-69055202416.71832,92.57214123527478,961.7623799490023
20,138483.36000000007,63933.209999999985,17582.893238199995,24148.653477999986,456987.32621530135,111233.9815272002,0.0,0,31912.0,14475.0,8729.9,6983.8,203985.79999999984,9361.0,670.0,248.074522,-85755657790.96187,35.79194185247788,423.7816577275795
