Wall time,Step,Value
1591095921.1256886,1000,300.0
1591096397.718129,2000,300.0
1591096867.7073438,3000,300.0
1591097348.1780825,4000,300.0
1591097829.1586862,5000,300.0
1591098301.158519,6000,300.0
1591098784.5758736,7000,300.0
1591099266.734037,8000,300.0
1591099743.3504443,9000,300.0
1591100226.3761342,10000,300.0
1591100706.0343766,11000,300.0
1591101170.1168509,12000,300.0
1591101648.166752,13000,300.0
1591102122.4179938,14000,300.0
1591102588.6358805,15000,300.0
1591103074.097676,16000,300.0
1591103551.9322963,17000,300.0
1591104015.0088434,18000,300.0
1591104489.635605,19000,300.0
1591104966.4950764,20000,300.0
1591105431.2993429,21000,300.0
1591105905.5863056,22000,300.0
1591106381.780747,23000,300.0
1591106853.2568574,24000,300.0
1591107336.144212,25000,300.0
1591107812.8395717,26000,300.0
1591108281.2822971,27000,300.0
1591108756.4648404,28000,300.0
1591109236.63747,29000,300.0
1591109702.590428,30000,300.0
1591110186.9570587,31000,300.0
1591110664.7583866,32000,300.0
1591111130.4156427,33000,300.0
1591111607.7683208,34000,300.0
1591112082.9543867,35000,300.0
1591112552.2323136,36000,300.0
1591113026.6138618,37000,300.0
1591113501.4352758,38000,300.0
1591113977.72328,39000,300.0
1591114452.4509323,40000,300.0
1591114933.4412887,41000,300.0
1591115402.5498297,42000,300.0
1591115881.0044425,43000,300.0
1591116360.1555388,44000,300.0
1591116827.0898404,45000,300.0
1591117310.8095438,46000,300.0
1591117789.3417869,47000,300.0
1591118246.5413356,48000,300.0
1591118714.9130325,49000,300.0
1591119178.4409978,50000,300.0
1591119637.5435364,51000,300.0
1591120104.072014,52000,300.0
1591120576.5416844,53000,300.0
1591121037.3770986,54000,300.0
1591121505.5141819,55000,300.0
1591121974.8690612,56000,300.0
1591122430.947943,57000,300.0
1591122900.6009192,58000,300.0
1591123366.2324636,59000,300.0
1591123825.5457528,60000,300.0
1591124292.3553393,61000,300.0
1591124764.7985775,62000,300.0
1591125222.325811,63000,300.0
1591125683.9780917,64000,300.0
1591126151.005357,65000,300.0
1591126606.8498573,66000,300.0
1591127071.1950028,67000,300.0
1591127541.9624646,68000,300.0
1591127998.052539,69000,300.0
1591128468.3419518,70000,300.0
1591128933.7184343,71000,300.0
1591129391.3495545,72000,300.0
1591129861.1448994,73000,300.0
1591130329.061751,74000,300.0
1591130788.2894297,75000,300.0
1591131253.8537471,76000,300.0
1591131727.3568394,77000,300.0
1591132184.9645438,78000,300.0
1591132652.130926,79000,300.0
1591133118.4347847,80000,300.0
1591133571.7722857,81000,300.0
1591134040.1676762,82000,300.0
1591134506.3498173,83000,300.0
1591134965.0321424,84000,300.0
1591135435.7216768,85000,300.0
1591135900.7416291,86000,300.0
1591136359.6092396,87000,300.0
1591136828.240748,88000,300.0
1591137298.0478382,89000,300.0
1591137755.5044916,90000,300.0
1591138220.9098945,91000,300.0
1591138690.4164503,92000,300.0
1591139152.7919517,93000,300.0
1591139621.7139473,94000,300.0
1591140089.8595273,95000,300.0
1591140544.838521,96000,300.0
1591141015.1044931,97000,300.0
1591141480.6565838,98000,300.0
1591141940.2410038,99000,300.0
1591142408.3744664,100000,300.0
1591142879.4050326,101000,300.0
1591143336.0514684,102000,300.0
1591143801.9215837,103000,300.0
1591144266.2485707,104000,300.0
1591144723.216981,105000,300.0
1591145191.5632215,106000,300.0
1591145654.7824805,107000,300.0
1591146113.6252878,108000,300.0
1591146583.0923839,109000,300.0
1591147050.558105,110000,300.0
1591147509.4521868,111000,300.0
1591147974.3121734,112000,300.0
1591148444.6924016,113000,300.0
1591148899.54465,114000,300.0
1591149365.396967,115000,300.0
1591149840.4478004,116000,300.0
1591150296.6738102,117000,300.0
1591150764.910552,118000,300.0
1591151233.2431445,119000,300.0
1591151688.6572063,120000,300.0
1591152158.5910769,121000,300.0
1591152627.2680082,122000,300.0
1591153087.7154694,123000,300.0
1591153559.0950015,124000,300.0
1591154027.700711,125000,300.0
1591154482.6331367,126000,300.0
1591154948.4608011,127000,300.0
1591155413.9771633,128000,300.0
1591155872.7163734,129000,300.0
1591156344.318632,130000,300.0
1591156808.8488958,131000,300.0
1591157266.010656,132000,300.0
1591157736.8075013,133000,300.0
1591158204.3801959,134000,300.0
1591158664.3773675,135000,300.0
1591159130.414836,136000,300.0
1591159600.5290923,137000,300.0
1591160056.1967294,138000,300.0
1591160529.4314897,139000,300.0
1591161000.119949,140000,300.0
1591161458.2804542,141000,300.0
1591161927.4925804,142000,300.0
1591162396.466448,143000,300.0
1591162855.405753,144000,300.0
1591163327.3729968,145000,300.0
1591163797.5270655,146000,300.0
1591164258.618276,147000,300.0
1591164724.2894933,148000,300.0
1591165195.6061804,149000,300.0
1591165649.3162339,150000,300.0
1591166115.056834,151000,300.0
1591166583.2196426,152000,300.0
1591167041.5569828,153000,300.0
1591167514.16065,154000,300.0
1591167987.384723,155000,300.0
1591168447.199306,156000,300.0
1591168912.5325058,157000,300.0
1591169378.0428689,158000,300.0
1591169834.4915466,159000,300.0
1591170298.07168,160000,300.0
1591170763.0575132,161000,300.0
1591171217.2735813,162000,300.0
1591171687.912932,163000,300.0
1591172159.7906597,164000,300.0
1591172616.071557,165000,300.0
1591173085.7298484,166000,300.0
1591173553.3553426,167000,300.0
1591174010.1650522,168000,300.0
1591174479.728558,169000,300.0
1591174950.9909067,170000,300.0
1591175406.2446308,171000,300.0
1591175869.7797399,172000,300.0
1591176342.1277177,173000,300.0
1591176798.5411286,174000,300.0
1591177263.2185714,175000,300.0
1591177732.9730957,176000,300.0
1591178190.2842808,177000,300.0
1591178662.142437,178000,300.0
1591179128.2454503,179000,300.0
1591179585.0865548,180000,300.0
1591180052.3790045,181000,300.0
1591180518.3103945,182000,300.0
1591180976.9367955,183000,300.0
1591181442.1482444,184000,300.0
1591181910.9580195,185000,300.0
1591182366.4171314,186000,300.0
1591182833.1805866,187000,300.0
1591183299.9561436,188000,300.0
1591183751.9318833,189000,300.0
1591184220.2106028,190000,300.0
1591184684.4360657,191000,300.0
1591185142.0175126,192000,300.0
1591185611.637445,193000,300.0
1591186082.1706152,194000,300.0
1591186544.149422,195000,300.0
1591187009.9163918,196000,300.0
1591187480.7582815,197000,300.0
1591187940.0528731,198000,300.0
1591188406.2380872,199000,300.0
1591188873.8771825,200000,300.0
1591189335.0762868,201000,300.0
1591189803.671755,202000,300.0
1591190272.4868805,203000,300.0
1591190731.3193848,204000,300.0
1591191197.828946,205000,300.0
1591191662.3981698,206000,300.0
1591192124.976304,207000,300.0
1591192592.7896364,208000,300.0
1591193061.551193,209000,300.0
1591193521.0769222,210000,300.0
1591193990.2056975,211000,300.0
1591194461.2891889,212000,300.0
1591194915.500936,213000,300.0
1591195379.1898413,214000,300.0
1591195842.8515363,215000,300.0
1591196300.1186364,216000,300.0
1591196772.986628,217000,300.0
1591197240.4558392,218000,300.0
1591197698.0676956,219000,300.0
1591198163.3427207,220000,300.0
1591198631.6777008,221000,300.0
1591199088.7437365,222000,300.0
1591199556.7445202,223000,300.0
1591200023.377197,224000,300.0
1591200485.9561262,225000,300.0
1591200957.413283,226000,300.0
1591201422.8300238,227000,300.0
1591201881.9094064,228000,300.0
1591202351.6338136,229000,300.0
1591202815.7513182,230000,300.0
1591203275.435155,231000,300.0
1591203744.7266898,232000,300.0
1591204216.9835424,233000,300.0
1591204676.1549911,234000,300.0
1591205143.6765313,235000,300.0
1591205613.5909631,236000,300.0
1591206071.483821,237000,300.0
1591206540.2859988,238000,300.0
1591207008.0029273,239000,300.0
1591207469.8908606,240000,300.0
1591207941.1056504,241000,300.0
1591208409.6263256,242000,300.0
1591208869.6871886,243000,300.0
1591209336.5749595,244000,300.0
1591209806.7093673,245000,300.0
1591210263.4293523,246000,300.0
1591210726.9404635,247000,300.0
1591211198.9707596,248000,300.0
1591211655.5742283,249000,300.0
1591212123.3556259,250000,300.0
1591212590.514996,251000,300.0
1591213045.3171642,252000,300.0
1591213512.2212718,253000,300.0
1591213976.7069817,254000,300.0
1591214435.483087,255000,300.0
1591214904.0925784,256000,300.0
1591215370.8187456,257000,300.0
1591215824.501201,258000,300.0
1591216293.3655727,259000,300.0
1591216762.8917732,260000,300.0
1591217222.0676095,261000,300.0
1591217689.4301517,262000,300.0
1591218160.6176958,263000,300.0
1591218620.6784215,264000,300.0
1591219089.6637712,265000,300.0
1591219559.4522667,266000,300.0
1591220020.402921,267000,300.0
1591220492.970776,268000,300.0
1591220964.5552635,269000,300.0
1591221422.7188978,270000,300.0
1591221898.7317033,271000,300.0
1591222368.425745,272000,300.0
1591222827.0629363,273000,300.0
1591223293.6508365,274000,300.0
1591223758.5670543,275000,300.0
1591224211.8346748,276000,300.0
1591224680.4911892,277000,300.0
1591225145.6610868,278000,300.0
1591225607.2019508,279000,300.0
1591226075.7617314,280000,300.0
1591226542.00219,281000,300.0
1591226998.1453867,282000,300.0
1591227462.7316115,283000,300.0
1591227931.022104,284000,300.0
1591228386.1109447,285000,300.0
1591228858.100775,286000,300.0
1591229325.2552116,287000,300.0
1591229781.7494235,288000,300.0
1591230249.6361506,289000,300.0
1591230715.8857653,290000,300.0
1591231171.5831225,291000,300.0
1591231638.5969858,292000,300.0
1591232107.244299,293000,300.0
1591232568.960581,294000,300.0
1591233036.7013795,295000,300.0
1591233508.526213,296000,300.0
1591233967.7761595,297000,300.0
1591234441.1144376,298000,300.0
1591234907.161191,299000,300.0
1591235367.3566463,300000,300.0
1591235832.6151445,301000,300.0
1591236300.5219367,302000,300.0
1591236765.6051662,303000,300.0
1591237232.2876554,304000,300.0
1591237697.0272977,305000,300.0
1591238153.9732604,306000,300.0
1591238619.450085,307000,300.0
1591239088.3245313,308000,300.0
1591239544.2786107,309000,300.0
1591240012.5735388,310000,300.0
1591240480.0095255,311000,300.0
1591240935.9713392,312000,300.0
1591241405.376161,313000,300.0
1591241869.5580592,314000,300.0
1591242327.9845798,315000,300.0
1591242795.484722,316000,300.0
1591243268.1423404,317000,300.0
1591243728.6237411,318000,300.0
1591244194.059882,319000,300.0
1591244662.0106337,320000,300.0
1591245121.280615,321000,300.0
1591245591.313381,322000,300.0
1591246060.2420044,323000,300.0
1591246518.9764218,324000,300.0
1591246989.1686893,325000,300.0
1591247459.2409382,326000,300.0
1591247918.0428388,327000,300.0
1591248385.8831172,328000,300.0
1591248852.8276377,329000,300.0
1591249308.0140328,330000,300.0
1591249777.4303918,331000,300.0
1591250247.716651,332000,300.0
1591250706.276253,333000,300.0
1591251177.8170295,334000,300.0
1591251645.3144586,335000,300.0
1591252103.5559375,336000,300.0
1591252574.19499,337000,300.0
1591253042.7572603,338000,300.0
1591253501.5470393,339000,300.0
1591253970.7490156,340000,300.0
1591254444.6747627,341000,300.0
1591254902.181029,342000,300.0
1591255371.2964067,343000,300.0
1591255839.8199067,344000,300.0
1591256298.5064578,345000,300.0
1591256768.030119,346000,300.0
1591257236.2505305,347000,300.0
1591257694.2949758,348000,300.0
1591258164.786088,349000,300.0
1591258631.1567588,350000,300.0
1591259092.3399942,351000,300.0
1591259559.291774,352000,300.0
1591260026.815291,353000,300.0
1591260483.0939314,354000,300.0
1591260950.348458,355000,300.0
1591261425.1006813,356000,300.0
1591261886.4153342,357000,300.0
1591262355.9638712,358000,300.0
1591262821.1245065,359000,300.0
1591263279.2228487,360000,300.0
1591263751.106883,361000,300.0
1591264217.8026183,362000,300.0
1591264675.7282407,363000,300.0
1591265148.5872698,364000,300.0
1591265621.0369425,365000,300.0
1591266078.2790916,366000,300.0
1591266546.0508306,367000,300.0
1591267014.7895799,368000,300.0
1591267471.4919004,369000,300.0
1591267943.801614,370000,300.0
1591268410.5789714,371000,300.0
1591268872.0915453,372000,300.0
1591269339.558346,373000,300.0
1591269808.4789147,374000,300.0
1591270267.400692,375000,300.0
1591270736.834037,376000,300.0
1591271206.4720917,377000,300.0
1591271664.7778711,378000,300.0
1591272134.94853,379000,300.0
1591272605.5138614,380000,300.0
1591273063.2299616,381000,300.0
1591273535.6015794,382000,300.0
1591274003.8300014,383000,300.0
1591274459.1115773,384000,300.0
1591274928.83686,385000,300.0
1591275397.7122896,386000,300.0
1591275857.089807,387000,300.0
1591276325.0446885,388000,300.0
1591276793.0516648,389000,300.0
1591277250.525408,390000,300.0
1591277716.523391,391000,300.0
1591278188.0235245,392000,300.0
1591278643.5353367,393000,300.0
1591279115.0123692,394000,300.0
1591279587.0284023,395000,300.0
1591280041.7531526,396000,300.0
1591280509.5333028,397000,300.0
1591280981.263708,398000,300.0
1591281442.6410556,399000,300.0
1591281909.8676074,400000,300.0
1591282377.1100092,401000,300.0
1591282832.5161328,402000,300.0
1591283303.5667624,403000,300.0
1591283774.5863254,404000,300.0
1591284234.190581,405000,300.0
1591284703.0598016,406000,300.0
1591285170.7133315,407000,300.0
1591285624.9700484,408000,300.0
1591286093.913287,409000,300.0
1591286561.672596,410000,300.0
1591287016.7350972,411000,300.0
1591287485.5662198,412000,300.0
1591287954.8326163,413000,300.0
1591288413.4219327,414000,300.0
1591288880.9170787,415000,300.0
1591289349.6814213,416000,300.0
1591289807.0281653,417000,300.0
1591290277.27759,418000,300.0
1591290746.1852329,419000,300.0
1591291208.5052912,420000,300.0
1591291682.4173737,421000,300.0
1591292154.0950785,422000,300.0
1591292616.9038815,423000,300.0
1591293087.2994723,424000,300.0
1591293564.1900518,425000,300.0
1591294032.2080343,426000,300.0
1591294502.4149792,427000,300.0
1591294972.1170793,428000,300.0
1591295430.3500621,429000,300.0
1591295900.1139407,430000,300.0
1591296368.4509807,431000,300.0
1591296825.0837865,432000,300.0
1591297294.6434646,433000,300.0
1591297764.2302737,434000,300.0
1591298225.4886062,435000,300.0
1591298693.0374649,436000,300.0
1591299163.504394,437000,300.0
1591299623.3778465,438000,300.0
1591300092.2685876,439000,300.0
1591300560.3185916,440000,300.0
1591301020.396579,441000,300.0
1591301491.3560448,442000,300.0
1591301959.6122985,443000,300.0
1591302422.8311396,444000,300.0
1591302896.0686827,445000,300.0
1591303365.87825,446000,300.0
1591303827.8889956,447000,300.0
1591304298.877855,448000,300.0
1591304777.0762944,449000,300.0
1591305238.643794,450000,300.0
1591305707.5819278,451000,300.0
1591306180.9523835,452000,300.0
1591306645.3866258,453000,300.0
1591307118.227538,454000,300.0
1591307590.5015755,455000,300.0
1591308054.1033838,456000,300.0
1591308533.580773,457000,300.0
1591309004.3895752,458000,300.0
1591309465.913951,459000,300.0
1591309935.782063,460000,300.0
1591310406.0925887,461000,300.0
1591310866.9196365,462000,300.0
1591311337.3218102,463000,300.0
1591311806.7570055,464000,300.0
1591312267.7124753,465000,300.0
1591312739.5724955,466000,300.0
1591313213.0413013,467000,300.0
1591313672.4094384,468000,300.0
1591314143.517694,469000,300.0
1591314611.0387855,470000,300.0
1591315074.8321915,471000,300.0
1591315546.4084036,472000,300.0
1591316018.098619,473000,300.0
1591316473.4374921,474000,300.0
1591316938.977045,475000,300.0
1591317411.14533,476000,300.0
1591317869.4281275,477000,300.0
1591318341.7920973,478000,300.0
1591318811.2821531,479000,300.0
1591319273.4544141,480000,300.0
1591319745.5742605,481000,300.0
1591320213.6947842,482000,300.0
1591320674.103086,483000,300.0
1591321142.6434145,484000,300.0
1591321614.3776853,485000,300.0
1591322073.1170568,486000,300.0
1591322547.8838956,487000,300.0
1591323021.1284792,488000,300.0
1591323479.230047,489000,300.0
1591323950.1242416,490000,300.0
1591324424.960344,491000,300.0
1591324885.8853712,492000,300.0
1591325360.3986795,493000,300.0
1591325831.815471,494000,300.0
1591326301.2261581,495000,300.0
1591326771.9229891,496000,300.0
1591327242.8779054,497000,300.0
1591327703.235775,498000,300.0
1591328173.825705,499000,300.0
1591328647.2930846,500000,300.0
1591329107.4347806,501000,300.0
1591329579.8283339,502000,300.0
1591330052.4749498,503000,300.0
1591330510.8333845,504000,300.0
1591330979.295381,505000,300.0
1591331450.5659862,506000,300.0
1591331911.8272185,507000,300.0
1591332380.3751025,508000,300.0
1591332852.735462,509000,300.0
1591333313.7330139,510000,300.0
1591333783.6876292,511000,300.0
1591334254.3136313,512000,300.0
1591334714.6336153,513000,300.0
1591335186.1315231,514000,300.0
1591335655.127813,515000,300.0
1591336113.2389493,516000,300.0
1591336584.6312842,517000,300.0
1591337059.375103,518000,300.0
1591337519.8385658,519000,300.0
1591337988.3483117,520000,300.0
1591338461.332464,521000,300.0
1591338919.5011218,522000,300.0
1591339388.4065182,523000,300.0
1591339857.0171742,524000,300.0
1591340316.696923,525000,300.0
1591340796.3419278,526000,300.0
1591341265.7519474,527000,300.0
1591341725.6207871,528000,300.0
1591342196.1519969,529000,300.0
1591342668.3620894,530000,300.0
1591343127.3748229,531000,300.0
1591343595.1224928,532000,300.0
1591344067.1444304,533000,300.0
1591344532.6389985,534000,300.0
1591345001.2205324,535000,300.0
1591345471.3692596,536000,300.0
1591345930.9856453,537000,300.0
1591346399.4597542,538000,300.0
1591346868.7008343,539000,300.0
1591347340.337697,540000,300.0
1591347817.9013083,541000,300.0
1591348286.1760633,542000,300.0
1591348751.557596,543000,300.0
1591349220.884741,544000,300.0
1591349692.7789035,545000,300.0
1591350153.8225024,546000,300.0
1591350622.1983347,547000,300.0
1591351095.070716,548000,300.0
1591351559.8943832,549000,300.0
1591352028.39174,550000,300.0
1591352497.855654,551000,300.0
1591352955.6870024,552000,300.0
1591353429.5098917,553000,300.0
1591353899.4214275,554000,300.0
1591354359.7048733,555000,300.0
