Wall time,Step,Value
1591095918.4431248,1000,0.0
1591096392.9514744,2000,0.0
1591096858.165408,3000,0.0
1591097335.4239478,4000,0.0
1591097819.4602993,5000,0.0
1591098287.6682117,6000,0.0
1591098767.5328748,7000,0.0
1591099248.1637876,8000,0.0
1591099726.141249,9000,0.0
1591100207.5163975,10000,0.0
1591100683.050578,11000,0.0
1591101147.878683,12000,0.0
1591101627.6933365,13000,0.0
1591102102.91426,14000,0.0
1591102570.1052065,15000,0.0
1591103050.863284,16000,0.0
1591103528.976469,17000,0.0
1591103998.6584177,18000,0.0
1591104473.9777274,19000,0.0
1591104951.091268,20000,0.0
1591105416.7681544,21000,0.0
1591105893.887241,22000,0.0
1591106371.2680004,23000,0.0
1591106840.4379354,24000,0.0
1591107321.537413,25000,0.0
1591107796.0567617,26000,0.0
1591108265.3509624,27000,0.0
1591108742.3061578,28000,0.0
1591109224.6663759,29000,0.0
1591109694.0922143,30000,0.0
1591110175.3022184,31000,0.0
1591110651.316959,32000,0.0
1591111121.4806416,33000,0.0
1591111600.4168696,34000,0.0
1591112079.8536546,35000,0.0
1591112544.1646698,36000,0.0
1591113022.5055816,37000,0.0
1591113496.9973223,38000,0.0
1591113969.844013,39000,0.0
1591114451.2342684,40000,0.0
1591114937.3465052,41000,0.0
1591115408.886244,42000,0.0
1591115887.4556363,43000,0.0
1591116368.3978732,44000,0.0
1591116838.3652475,45000,0.0
1591117321.3641841,46000,0.0
1591117802.9453118,47000,0.0
1591118269.958509,48000,0.0
1591118747.574091,49000,0.0
1591119223.0401864,50000,0.0
1591119692.8571434,51000,0.0
1591120170.7090197,52000,0.0
1591120651.5383725,53000,0.0
1591121125.448978,54000,0.0
1591121602.7436295,55000,0.0
1591122085.383984,56000,0.0
1591122553.5571232,57000,0.0
1591123033.1711135,58000,0.0
1591123512.8299348,59000,0.0
1591123982.2790277,60000,0.0
1591124464.5062258,61000,0.0
1591124949.0840135,62000,0.0
1591125420.6080334,63000,0.0
1591125896.1569817,64000,0.0
1591126373.6501179,65000,0.0
1591126845.8106472,66000,0.0
1591127324.087923,67000,0.0
1591127808.0201893,68000,0.0
1591128277.8086865,69000,0.0
1591128754.4569664,70000,0.0
1591129233.545967,71000,0.0
1591129697.9894454,72000,0.0
1591130177.6081977,73000,0.0
1591130654.6761553,74000,0.0
1591131124.9234698,75000,0.0
1591131600.756813,76000,0.0
1591132087.5680602,77000,0.0
1591132558.9898372,78000,0.0
1591133037.9357076,79000,0.0
1591133515.8634965,80000,0.0
1591133983.4028478,81000,0.0
1591134466.2093484,82000,0.0
1591134946.0146508,83000,0.0
1591135418.4481328,84000,0.0
1591135899.758168,85000,0.0
1591136378.3150408,86000,0.0
1591136852.8250551,87000,0.0
1591137331.4715981,88000,0.0
1591137801.232984,89000,0.0
1591138258.0963473,90000,0.0
1591138724.6321924,91000,0.0
1591139199.0045066,92000,0.0
1591139656.0877676,93000,0.0
1591140124.6981878,94000,0.0
1591140591.4383595,95000,0.0
1591141047.3905513,96000,0.0
1591141519.4149241,97000,0.0
1591141986.222081,98000,0.0
1591142441.8731568,99000,0.0
1591142907.7190368,100000,0.0
1591143378.8687024,101000,0.0
1591143838.9104311,102000,0.0
1591144305.7254477,103000,0.0
1591144769.2389252,104000,0.0
1591145226.8827715,105000,0.0
1591145696.1087792,106000,0.0
1591146170.4380913,107000,0.0
1591146629.5890558,108000,0.0
1591147095.6963415,109000,0.0
1591147562.7811153,110000,0.0
1591148022.777282,111000,0.0
1591148492.0017905,112000,0.0
1591148960.2660313,113000,0.0
1591149415.802921,114000,0.0
1591149888.3190713,115000,0.0
1591150363.060581,116000,0.0
1591150821.4005687,117000,0.0
1591151291.4700634,118000,0.0
1591151756.089918,119000,0.0
1591152214.7190099,120000,0.0
1591152685.2410161,121000,0.0
1591153153.7773783,122000,0.0
1591153617.1086605,123000,0.0
1591154085.0421534,124000,0.0
1591154552.1757176,125000,0.0
1591155007.4171495,126000,0.0
1591155474.0236385,127000,0.0
1591155939.6168985,128000,0.0
1591156397.3054605,129000,0.0
1591156868.8033326,130000,0.0
1591157341.5641646,131000,0.0
1591157798.1736848,132000,0.0
1591158266.1575015,133000,0.0
1591158734.5986197,134000,0.0
1591159195.308016,135000,0.0
1591159659.1438715,136000,0.0
1591160126.4328048,137000,0.0
1591160589.1516328,138000,0.0
1591161058.1272204,139000,0.0
1591161527.6835358,140000,0.0
1591161982.8328834,141000,0.0
1591162451.8409088,142000,0.0
1591162921.0474734,143000,0.0
1591163378.815754,144000,0.0
1591163849.149845,145000,0.0
1591164322.8722148,146000,0.0
1591164781.9351473,147000,0.0
1591165246.318929,148000,0.0
1591165717.076584,149000,0.0
1591166172.0032349,150000,0.0
1591166637.1388464,151000,0.0
1591167103.6392593,152000,0.0
1591167563.7640617,153000,0.0
1591168041.988121,154000,0.0
1591168508.334897,155000,0.0
1591168968.7779238,156000,0.0
1591169435.9118214,157000,0.0
1591169900.2484992,158000,0.0
1591170357.5657897,159000,0.0
1591170825.2054033,160000,0.0
1591171295.617114,161000,0.0
1591171755.0504906,162000,0.0
1591172221.7142172,163000,0.0
1591172690.1771626,164000,0.0
1591173147.8142455,165000,0.0
1591173615.6476414,166000,0.0
1591174081.5588534,167000,0.0
1591174538.3710074,168000,0.0
1591175012.797542,169000,0.0
1591175475.9331489,170000,0.0
1591175931.9832652,171000,0.0
1591176397.5444815,172000,0.0
1591176866.715679,173000,0.0
1591177321.7660637,174000,0.0
1591177788.973318,175000,0.0
1591178258.2210112,176000,0.0
1591178720.4114635,177000,0.0
1591179190.1962342,178000,0.0
1591179660.3004122,179000,0.0
1591180121.425626,180000,0.0
1591180590.4972303,181000,0.0
1591181058.8170617,182000,0.0
1591181519.559338,183000,0.0
1591181986.88399,184000,0.0
1591182454.1058562,185000,0.0
1591182912.0561604,186000,0.0
1591183378.5685065,187000,0.0
1591183846.60111,188000,0.0
1591184304.887689,189000,0.0
1591184774.4294646,190000,0.0
1591185243.0204043,191000,0.0
1591185701.5074477,192000,0.0
1591186173.4898255,193000,0.0
1591186641.8548374,194000,0.0
1591187101.2121747,195000,0.0
1591187567.7704008,196000,0.0
1591188041.0179431,197000,0.0
1591188496.768348,198000,0.0
1591188963.4104424,199000,0.0
1591189434.1574886,200000,0.0
1591189891.7948487,201000,0.0
1591190361.2986693,202000,0.0
1591190828.0612135,203000,0.0
1591191283.1184049,204000,0.0
1591191752.2885308,205000,0.0
1591192220.7430732,206000,0.0
