"","x","y"
"1",2018,5.6
"2",2019,6.51578947368421
"3",2020,7.43157894736842
"4",2021,8.34736842105263
"5",2022,9.26315789473684
"6",2023,10.1789473684211
"7",2024,11.0947368421053
"8",2025,12.0105263157895
"9",2026,12.9263157894737
"10",2027,13.8421052631579
"11",2028,14.7578947368421
"12",2029,15.6736842105263
"13",2030,16.5894736842105
"14",2031,17.5052631578947
"15",2032,18.4210526315789
"16",2033,19.3368421052632
"17",2034,20.2526315789474
"18",2035,21.1684210526316
"19",2036,22.0842105263158
"20",2037,23
