,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,317627.999999999,230562.28999999957,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,10303.340000000006,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12898695364.261415,88.8599810517436,1193.115228501419
1,244169.76000000056,184735.17999999988,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7667867638.822553,57.37303701735678,919.1960620816428
2,344772.5399999986,199379.4099999996,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12747.255,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16708696034.897778,91.26842674113378,1184.5225457651795
3,344825.0399999987,229257.20999999958,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13135.739999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33818100076.900093,109.85688183712415,1253.0111781595772
4,157663.74000000017,124684.11999999991,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20112448398.15811,45.26548926147121,599.2014578797608
5,390672.71999999776,186009.4499999999,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,37482982831.64316,94.80777520991823,1249.6951802910992
6,142514.8200000001,155449.08999999997,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,17235313752.30919,43.42895662801832,636.1738731278219
7,172335.12000000032,162155.39999999988,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-6635329080.462143,44.479234812028324,711.7679482092026
8,2886043.1599999946,0.0,23020.55743680004,29579.745223999984,83560.20813660008,165604.86687359976,0.0,0,133140.0,14475.0,8756.1,6983.8,47329.799999999996,9361.0,670.0,30.9,-49064364525.44948,46.8541499830919,5858.667614800003
9,1430502.1499999966,75291.04000000004,23182.78170150004,29595.668287999964,82705.55439900002,165604.86687359976,0.0,0,133140.0,14475.0,8756.1,6983.8,47329.799999999996,9361.0,670.0,30.9,-57579817046.41336,48.4860901851765,3071.9236405739202
