,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,325803.35999999894,222353.39999999956,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,8126.659999999997,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12955797433.502542,88.72746116412561,1186.9752481732
1,244351.92000000036,184479.21999999994,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1885.6800000000003,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7445531592.777978,56.22093913468908,919.0910867095621
2,362255.63999999815,186675.41999999955,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12125.000000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16714151314.256615,91.84652438230579,1189.47823355716
3,372909.41999999806,200558.87999999948,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33744722993.363773,110.1990130850304,1246.1012502942378
4,156303.54000000033,130626.49999999996,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20926258481.123814,44.51614134787835,608.7758970470019
5,355510.61999999813,226003.19999999955,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11951.370000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,37343163053.45492,92.16097366052672,1264.1134733735964
6,187103.04000000027,108738.75999999998,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16095851634.307455,45.44811384591586,622.7418808664817
7,242349.42000000042,84381.48000000001,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,7.759999999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-7396776474.396881,46.77148755112165,690.6284463090426
8,359808.6799999981,193081.96999999994,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,5849.099999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-38038653100.27559,97.36465210027343,1186.0663906140635
9,229794.9400000004,204787.07999999973,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-42881311553.392914,63.65252146636789,927.9321422978423
10,329699.559999999,223057.15999999968,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,5199.199999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-32686738317.851337,96.0891192764431,1190.5121590296812
11,356607.0999999983,220259.30999999985,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,9098.599999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-12206981933.959513,117.17232746096563,1246.8071303353804
12,147246.06000000003,136384.06999999998,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-25294001794.19199,48.84894011466198,603.2366428298616
13,366675.3199999981,216132.8099999996,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,7148.899999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-6907778477.744169,99.64683612963994,1254.07986208838
14,139028.58000000007,151897.28000000003,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-27862848269.344196,48.06508267725931,621.1713041974415
15,167362.80000000028,167320.1999999999,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-52262992403.94144,48.01764633687753,713.104443639603
16,264400.6400000003,158041.28,20962.789164499976,27952.275391,643048.3546728032,145678.23703440005,2715.9999999999995,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-96343358232.68059,79.11291025133069,904.1414721094426
17,150390.08000000005,149547.84999999992,20348.83692799993,26643.266837999978,671476.2691114049,141460.4226616001,649.9,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-105036339556.99767,46.03510356478907,641.2361024743012
18,295575.1400000001,180012.36000000004,20651.701308399857,28627.396215999997,395878.1361126006,156093.03942399993,5849.099999999996,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-99690240494.08734,78.70297505972873,1022.812124079283
19,266592.7400000003,176852.68999999992,21544.55858579995,28041.842625999998,648875.1552877028,151804.4613008,6498.999999999995,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-82678086459.32536,93.05808097228707,958.2938774406231
20,114809.04000000008,91991.56999999995,17582.893238199995,24148.653477999986,578087.9738473019,111233.9815272002,0.0,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-101521209487.4084,34.8119941614593,438.3321565148593
21,266725.4000000003,194678.04999999964,21625.8454006,28120.13102399998,628007.719931906,150908.1204624,5849.099999999996,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-100360723326.72537,66.99822081161552,996.9721432139032
22,106622.04000000007,102721.64000000004,19825.76180899999,26853.422417999987,514933.31198715087,107875.6518728002,0.0,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-127704152691.20628,36.778089897966005,445.6556032527197
23,115045.92000000009,124253.82999999999,20044.78372530007,27310.045143000025,711313.7116678538,107078.08543600018,0.0,0,31912.0,14475.0,8729.9,6983.8,204433.79999999984,9361.0,670.0,31.7,-161112930813.22562,35.6651478864845,510.8029653543395
24,274067.4800000003,140805.96,19990.44151229997,26889.566536000017,652281.7003508052,130292.28117920026,5237.999999999997,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-177308264958.64252,79.92420934262613,890.425958732083
25,156920.54000000012,138435.44000000003,19330.779092799945,25749.661478999984,673211.9936475562,125988.22348560023,640.1999999999999,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-185030102929.0721,44.01049712598911,629.7242455051216
26,273875.1600000004,187018.89999999988,20441.493384399833,28451.861524,416212.1653013994,153594.93161039997,3433.8000000000006,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-177087940509.17984,76.43657640221214,989.4924850222038
27,264956.90000000026,166560.75999999986,21029.593636799927,27990.353841999997,680933.7959608552,140663.59334720013,6401.999999999997,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-155239366933.74124,91.19849358170602,931.7636105424835
28,127028.88000000012,74586.83999999998,17501.96187019999,24148.653477999986,437100.7161492002,108735.8737136002,0.0,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-173554932286.26007,35.48397597534211,424.3015520023194
29,252190.10000000033,192460.0899999997,21232.54892899998,27711.716903999986,636735.3580937079,144904.25851440008,4481.4,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-168187254931.73853,65.89193929808651,957.8915623458232
30,102013.20000000007,101089.02000000003,19777.880668999987,26853.422417999987,429847.3242546975,107875.6518728002,0.0,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-195532681418.07858,36.61747354965147,432.6566330499594
31,121945.74000000009,109768.06000000007,19984.150703400075,27310.045143000025,566011.4586632539,107078.08543600018,0.0,0,31912.0,14475.0,8710.9,6983.8,247889.80000000005,9361.0,660.0,31.9,-228734928968.84897,35.46489120736641,492.4860817478801
32,250668.74000000028,162834.49999999994,19581.99047849995,26324.80555800003,652128.0075663571,129367.92968960026,2560.8,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-254411433994.4829,78.61505377445656,885.7220709510027
33,156549.0200000001,137552.21999999997,18964.739223499964,25251.087038999987,680100.6226713068,124272.20253840023,640.1999999999999,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-261717553569.18372,44.24562364624495,626.9520348835614
34,251314.6400000003,206674.2299999998,20373.127667999834,28408.86802,413546.13881939696,152673.52861039998,3317.4000000000005,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-250485649345.012,75.9378143848962,986.3930317935436
35,274375.2800000003,153720.11999999997,20493.308456399936,27377.631221,685460.9170387033,137976.78219920018,4597.799999999999,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-223133236662.3581,91.23060764055585,918.5678175277628
36,119183.04000000007,84347.74000000008,17437.870924399987,24105.659973999984,418311.74642250076,106924.7639768002,0.0,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-240967685378.59592,35.94345434741393,430.15494954051974
37,272800.9000000003,167252.6399999999,20896.70282199997,27195.26638999999,642003.5064862085,144904.25851440008,5121.599999999998,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-229492232092.7059,68.55952260800298,945.707408510723
38,115994.76000000008,84722.86000000002,19715.808855799987,26853.422417999987,433824.47098274884,107875.6518728002,0.0,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-255044414841.33017,38.78755964720265,424.5197831582796
39,111344.34000000007,116590.61000000007,19763.515133900062,27310.045143000025,547144.7253682545,106181.74459760018,0.0,0,31912.0,14475.0,8693.000000000002,6983.8,255521.80000000005,9361.0,660.0,32.3,-288743674987.6935,34.94426614486423,486.1890641727797
40,239483.66000000024,148802.36999999997,18428.324877899933,24297.93220300005,791716.4564643987,124203.65015520024,2560.8,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-313071224435.01447,77.62077685741019,831.705091733263
41,167870.42000000016,118336.35,17877.686093399996,23376.384874,774846.3339095972,117303.44736880022,640.1999999999999,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-321216597708.37756,44.8832401333521,607.0562229973018
42,231987.96000000025,170069.66999999993,19358.946457199818,26907.32431600004,642553.7921715106,144904.25851440008,4597.799999999999,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-309303587632.36005,74.53425354849297,868.0797414186632
43,244183.34000000023,169356.0599999999,18693.135896399974,24812.114477999996,824455.3018334982,124203.65015520024,5237.999999999997,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-285537522080.1512,78.80801177601181,893.4677905718831
44,100048.98000000001,96284.5100000001,17016.145789799957,23376.384873999996,495994.86389800167,106055.69666720019,0.0,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-307325751869.4045,34.19987573452141,417.9484924449799
45,234275.12000000023,166384.97999999995,19129.06116170001,25403.258228999992,870894.8895510995,129381.93501520026,3957.600000000001,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-299729118393.3669,61.06074582337586,862.2768906420425
46,92776.86,93695.41000000008,18517.90655069997,25598.817666999992,538915.6753185558,95865.71660960012,0.0,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-332872244735.79193,34.18072357503703,397.40877628318
47,125255.4600000001,90346.79000000007,18451.02303310003,25985.59441600003,645688.7895856558,92424.82924640008,0.0,0,31912.0,14475.0,8666.7,6983.8,436049.8000000006,9361.0,660.0,32.6,-371953788467.9562,31.81328714729861,455.8682303124197
48,238032.58000000022,155343.61,18291.176141399945,24297.93220300005,791689.1515947991,124203.65015520024,2560.8,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-391461709562.1799,78.8714552468205,835.4628691867816
49,163978.76000000013,123150.15,17744.635364399986,23376.384874,774846.3339095972,117303.44736880022,640.1999999999999,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-398903597977.86206,46.118002984393684,609.0206968897007
50,237049.46000000025,166109.68999999992,19214.871775199834,26907.32431600004,642493.9775475106,144904.25851440008,3201.0000000000005,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-386654664802.4022,76.77062291051362,858.7429412866218
51,261544.04000000027,155713.32999999993,18554.016362399976,24812.114477999996,824455.3018334982,124203.65015520024,6401.999999999997,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-361425585257.01263,81.44961165630166,891.8609711353427
52,103906.08000000005,91182.67000000003,16906.453921799966,23376.384873999996,495994.86389800167,106055.69666720019,0.0,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-381917448550.61115,35.910102300188136,414.39416987265975
53,245406.14000000025,155121.31,18990.879608000014,25403.258228999992,870894.8895510995,129381.93501520026,4481.4,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-373028069726.9344,62.95241712983964,853.8339742113822
54,68579.87999999996,117555.31000000003,18403.053244799972,25598.817666999992,538915.6753185558,95865.71660960012,0.0,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-406741872089.71265,32.794412879839086,401.5298400233795
55,111578.28000000009,101520.25000000006,18341.999708500036,25985.59441600003,645688.7895856558,92424.82924640008,0.0,0,31912.0,14475.0,8602.2,6983.8,436049.8000000006,9361.0,660.0,32.9,-444138107958.72046,32.098390562517885,453.03599120949946
56,293585.3999999999,144894.46,18222.70808999994,24297.93220300005,791646.3204267992,124203.65015520024,1920.6000000000001,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-498761325314.9076,66.88952186041556,923.3360172950827
57,204493.56000000014,113098.31000000006,17678.21313999999,23376.384874,774065.5916375973,117303.44736880022,0.0,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-507875347084.72736,42.1276864205179,667.4892695373817
58,326046.15999999974,137064.77000000002,19142.946119999826,26907.32431600004,642493.9775475106,144904.25851440008,1280.4,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-503888921230.22974,64.47729765153134,970.4133898084615
59,312881.8799999998,150131.80000000002,18484.564439999995,24812.114477999996,824455.3018334982,124203.65015520024,1920.6000000000001,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-490733054055.3156,67.94899990712425,974.1944616964018
60,136317.72000000006,82215.38,16840.031697399972,23376.384873999996,495935.0492740017,106055.69666720019,0.0,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-514308603158.2586,32.89267041745422,460.18020610123995
61,280474.4399999998,166560.13999999996,18918.74468500002,25403.258228999992,870894.8895510995,129381.93501520026,640.1999999999999,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-508804363379.6387,57.238235374024214,942.4663115157213
62,125258.10000000008,85855.72000000006,18325.43363139998,25598.817666999992,538915.6753185558,95865.71660960012,0.0,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-545116962363.119,31.63096958566955,445.8522248965601
63,185261.16000000027,46449.96000000002,18264.539388500034,25985.59441600003,645688.7895856558,92424.82924640008,0.0,0,37486.0,14475.0,8570.0,6983.8,436049.8000000006,9361.0,660.0,33.2,-586887319175.6027,32.10649409359369,479.7285026440796
64,753060.0,88607.04000000001,19086.42617939992,24297.93220300005,788666.2795067995,124203.65015520024,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-632100862358.8401,37.78503908156467,1726.4293718419203
65,694848.0,26591.40000000001,18516.12331239996,23376.384874,774041.3613975976,117303.44736880022,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-646499166621.7189,35.17987762070504,1469.877436777201
66,598752.0,33528.39,20050.28155919988,26907.32431600004,642546.3702675108,144904.25851440008,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-660721809143.993,42.76322388860592,1290.2817423892213
67,855624.0,6622.320000000001,19360.693970399927,24812.114477999996,824493.1277534988,124203.65015520024,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-674113262191.1052,37.52308020763822,1751.6937516033609
68,354816.0,59888.40000000002,17687.157257799983,23376.384873999996,495943.3499620016,106055.69666720019,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-701009656964.0153,28.72414703324308,853.9113359832004
69,886116.0,0.0,19832.096975999993,25403.258228999992,870933.9827031001,129381.93501520026,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-728175209106.3904,37.948248328083714,1798.815480000001
70,334488.0,35600.70999999999,19288.450038799954,25598.817666999992,538938.9439905559,95865.71660960012,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-776757524085.4576,28.267597636375076,758.4499930925807
71,448140.0,17562.49,19266.376922500025,25985.59441600003,645712.2827296559,92424.82924640008,0.0,0,119036.0,14475.0,8976.2,6983.8,436129.8000000006,9361.0,660.0,33.5,-835750926704.8463,24.835872732870374,948.9131050610202
72,1289904.0,27951.35999999999,20120.03390999995,23630.730673000045,894144.2387008517,112985.38434960021,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-854691101633.401,34.45240226057477,2680.8757288012816
73,964656.0,25027.200000000008,20084.28378399999,23376.384874,825810.9456430501,115581.5294424002,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-865840754004.772,33.82343286623114,2014.0973240256014
74,1241856.0,63355.48000000004,21428.7574055999,26864.33081200004,829646.7756852143,130320.29183040025,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-879345261725.2749,37.19871583096893,2662.3389713610413
75,855624.0,29698.31999999999,21277.65987509998,24812.114477999996,935270.926219399,124203.65015520024,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-896289586898.5836,36.77091063691524,1803.1854918513604
76,635712.0,20139.47,19449.41100459998,23376.384873999996,580798.6394023526,105264.02720960019,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-921602124998.2949,28.75781818016156,1335.4345330790607
77,1402632.0,28322.0,21533.91345660003,25322.84855699999,984170.6445217496,123350.79953840023,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-945474012252.9027,35.736512467378276,2910.540614156002
78,362208.0,21658.0,20756.001033699977,24712.264063000006,662749.2118206547,94075.2463000001,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-992927150529.8783,27.220725978335036,783.6098578840003
79,668052.0,54748.759999999995,20012.830237500017,24028.567037000037,886400.5556708986,85453.12558720006,0.0,0,221377.0,14475.0,9749.1,6983.8,602897.8000000006,9361.0,660.0,33.9,-1047703765615.0511,24.098923700105534,1478.311833566481
80,1274196.0,25027.200000000008,19851.686358799947,23630.730673000045,894144.2387008517,112985.38434960021,0.0,0,276930.0,14475.0,9622.700000000003,6983.8,602897.8000000006,9361.0,660.0,34.2,-1085820425125.6536,35.18243888333722,2642.4635240256007
