,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,344941.73999999836,200306.86999999985,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,12271.955000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,13675755229.79628,90.5552223804042,1185.0465254742603
1,234133.6800000004,200637.87999999954,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,8703978723.317144,57.079372051983704,931.7716120162409
2,321582.53999999893,227230.06999999948,21601.84304159999,29224.130127999983,1658.8842780999325,165604.86687359976,11008.045000000006,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16716043731.46373,87.36166723759312,1195.1379868078577
3,349777.7999999986,226170.67999999961,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,34856986544.029305,110.4563446727027,1256.294180990637
4,138233.82000000007,145226.48999999996,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,22059892070.284187,43.87370494781903,604.719963613022
5,350689.49999999814,228779.25999999943,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12949.984999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,38318347796.03284,92.75760084893045,1262.5482829554762
6,175393.6200000003,113176.19000000006,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,19555974264.2252,44.246145033773075,613.3054403736222
7,169690.62000000032,156871.0899999999,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-4168642262.2252383,44.10474810549277,701.9071525238227
8,266578.32000000036,214235.32000000007,22262.40780360002,29036.840401999998,477395.7747773994,153594.93161039997,2599.5999999999995,0,33112.0,14475.0,8756.1,6983.8,109505.79999999989,9361.0,670.0,30.9,-39767163835.11246,77.7189103096283,1029.0962905773633
9,189412.56000000017,160750.60000000015,22229.656985500005,28822.736222999967,472217.60020514956,156093.03942399993,649.9,0,33112.0,14475.0,8756.1,6983.8,109505.79999999989,9361.0,670.0,30.9,-46184024921.24912,55.58752622886976,745.4495308188019
10,311490.7199999999,206491.9600000001,21191.547397599898,29224.130127999983,251065.92235920028,163882.9489471998,2968.1999999999994,0,33112.0,14475.0,8756.1,6983.8,109505.79999999989,9361.0,670.0,30.9,-41219582291.50982,82.55584784356483,1107.4348812800836
11,305942.3399999998,204678.9900000001,22015.28845019995,28688.452260000002,482479.0575428948,151804.4613008,4549.299999999998,0,33112.0,14475.0,8756.1,6983.8,109505.79999999989,9361.0,670.0,30.9,-31266746254.941837,90.06624524967363,1097.1841846080238
12,71170.31999999998,141172.94000000006,20242.43024629998,27651.064096999962,438572.7500240497,135335.6726400002,0.0,0,33112.0,14475.0,8756.1,6983.8,109505.79999999989,9361.0,670.0,30.9,-48994938699.13055,36.29245342534103,459.4887655701196
13,307092.1799999999,212631.05000000013,22378.523748800028,28893.063088999977,472225.63837234967,156982.7461607999,3744.1999999999994,0,33112.0,14475.0,8756.1,6983.8,109505.79999999989,9361.0,670.0,30.9,-47013721592.52869,72.29076453205012,1114.7040479079028
