,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,322136.3999999991,226812.15999999957,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,7113.009999999997,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12479888068.723097,87.27252566158079,1187.4228780196797
1,206966.5200000003,224341.82999999975,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7093207104.05294,54.364008779314986,930.1561354383423
2,325060.13999999897,225661.91999999966,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,11758.340000000006,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16144332322.927485,88.75626234209841,1200.2214468841587
3,345674.45999999874,228565.16999999952,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33791351143.825817,109.49502859124595,1252.4305009876575
4,141187.14000000007,144062.81999999992,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,21427284272.279247,43.04337162764053,608.0713826223609
5,364266.4799999985,215923.58999999968,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,39323616882.861465,93.14711188155485,1261.9639052588168
6,177475.20000000024,117284.19000000002,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20729807930.21526,44.002261570511024,621.9823629976211
7,175243.2000000003,154127.4199999999,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-2253360394.311055,43.95258032431892,703.3599914531624
8,314111.81999999913,239939.5099999997,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,5199.199999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-32396770707.248363,95.3964224506226,1194.6919494949811
9,241214.94000000032,192370.3699999999,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-36344796355.46983,64.26804630809808,925.2564597972616
10,334849.43999999913,213373.08999999968,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,7148.899999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-26494866671.550713,98.08525379378038,1183.3152919998208
11,347637.35999999865,224010.62999999974,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,9098.599999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-7961523657.94352,116.522104696533,1236.969246080741
12,124736.64000000004,158936.49999999997,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-22396954035.988567,47.8958315455171,607.8659674270018
13,350629.799999998,227197.91999999972,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,7401.099999999994,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-4385353914.762516,99.71145280211125,1246.7100868121606
14,156704.58000000028,135135.8200000001,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-24244673302.387245,49.384761085495676,619.6520958763621
15,164045.76000000033,168410.0,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-49280166250.42047,47.96758580589648,708.802629980003
16,235247.16000000027,182453.6599999999,21232.93169099998,27952.275391,497206.6795720003,149186.20253600003,3249.4999999999995,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-94932378508.4342,78.86880091400927,899.5924789366826
17,184497.30000000008,115395.94999999994,20457.955428999958,26662.363101499974,510190.6756704511,143111.5768376001,649.9,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-102245020825.00436,47.661341100519486,636.1628267581013
18,295010.46,182069.4599999998,20739.19724839986,28857.668007999993,295947.84028319933,156093.03942399993,4675.399999999998,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-97174986889.33014,79.28397641164125,1023.8734215050827
19,287880.9000000001,157392.49000000002,21562.92283919995,28041.842625999998,497821.0675949971,151804.4613008,5965.499999999995,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-79890210058.96915,96.63579370363458,957.9265555610223
20,110502.00000000006,95537.04000000002,17582.893238199995,24148.653477999986,466646.2704073007,111233.9815272002,0.0,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-96998544032.64706,34.36609335296236,437.50021998191966
21,296018.45999999985,167176.97,21772.372747,28120.13102399998,504700.0415964521,151804.4613008,5849.099999999996,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-93979149192.41524,69.07455056843229,995.1184097840628
22,124358.58000000009,87003.78999999995,19825.76180899999,26853.422417999987,418167.5767631487,107875.6518728002,0.0,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-120467249070.13203,37.96323630726257,446.5880003984193
23,127245.60000000011,113402.14000000009,20201.92873050008,27520.264525000024,560944.4871019021,107078.08543600018,0.0,0,31912.0,14475.0,8729.9,6983.8,198881.79999999984,9361.0,670.0,31.7,-153665366023.20905,35.81862005716321,511.3538763917196
24,265817.04000000027,146020.29000000004,20742.026961499985,27952.275391,492377.16245225054,140575.13865920014,5761.799999999997,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-174724074644.5131,81.09364512702723,886.3761250654223
25,146618.04,148209.27000000002,20264.948922399926,26643.266837999978,521883.54247580055,138116.83545520017,640.1999999999999,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-182360622496.47076,43.84473867022777,630.5722655394615
26,266651.52000000037,201280.0299999997,20479.59207439984,28451.861524,304471.0388993992,155310.95255759993,5237.999999999997,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-173900515644.8845,78.11218621478093,1010.3132787819432
27,276541.38000000024,157269.14,21170.126150399916,28041.842625999998,508709.28324349667,148360.62544800004,6401.999999999997,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-151541928454.71042,93.55032653767306,935.4709723377226
28,114521.04000000005,90357.96,17532.09589019999,24148.653477999986,445186.7236258003,110451.8946608002,0.0,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-169952818144.1723,35.32874044911159,434.1022824280796
29,284680.50000000023,171907.30000000005,21532.867854799984,28120.13102399998,501195.76792190154,149192.83663760003,5121.599999999998,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-161601967844.61148,69.33404318020372,981.1335652054021
30,76530.17999999995,129392.47,19777.880668999987,26853.422417999987,425148.6352671503,107875.6518728002,0.0,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-189358367237.45728,35.988601346112524,444.08236417305983
31,125951.0400000001,111407.11000000002,19996.996578300073,27310.045143000025,566869.7144998524,107078.08543600018,0.0,0,31912.0,14475.0,8710.9,6983.8,215969.79999999996,9361.0,660.0,31.9,-220724387794.2369,36.80803842270669,504.2742136397799
32,252954.1800000003,165196.87,20643.26392829997,27952.275391,496011.2972682593,139749.56157120015,2560.8,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-254556826239.83185,79.65690925215625,894.7087321642624
33,165372.6600000001,130241.44000000009,20053.864389999922,26643.266837999978,524114.4631989125,136296.1431272002,640.1999999999999,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-259095080714.98456,46.408363742652845,629.4749338931218
34,267897.1800000003,198944.17999999973,20437.17773799984,28451.861524,307145.5670593897,155310.95255759993,3957.600000000001,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-244383203039.46863,79.90678605591853,1004.106375883643
35,257959.62000000023,179998.38,21124.28340719993,28041.842625999998,512553.78016351577,148360.62544800004,6401.999999999997,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-212812416888.5253,94.41315154077479,947.5438105352424
36,81840.96,121780.05000000005,17493.95632439999,24148.653477999986,431540.83990580507,109562.1879240002,0.0,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-230694139447.4075,33.5155373185867,437.87690880989993
37,278097.4800000003,177402.78999999975,21488.203273599986,28120.13102399998,504929.85645791393,149192.83663760003,4481.4,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-215574941539.34933,69.70765299076308,978.7330540004226
38,91533.48000000003,116065.33000000006,19715.808855799987,26853.422417999987,427507.493707156,107875.6518728002,0.0,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-240878636170.96246,36.918102835959466,444.80090963133995
39,153754.62000000017,81274.37999999999,19951.976055600066,27310.045143000025,569519.7242678575,107078.08543600018,0.0,0,31912.0,14475.0,8693.000000000002,6983.8,218529.8,9361.0,660.0,32.3,-271194481962.00058,38.50631665628912,493.4773675832392
40,223238.88000000015,155636.16,18415.479002999935,24297.93220300005,1260889.3654355058,124203.65015520024,2677.2000000000003,0,31912.0,14475.0,8666.7,6983.8,486913.8000000006,9361.0,660.0,32.6,-301295790027.6136,76.16803695171409,814.2605953516824
41,162607.74000000005,121927.73000000003,17877.686093399996,23376.384874,1235447.6042018887,117303.44736880022,640.1999999999999,0,31912.0,14475.0,8666.7,6983.8,486913.8000000006,9361.0,660.0,32.6,-307478428702.4053,44.45339386189797,604.4339904265408
42,215794.8600000002,166617.68,19350.981787199817,26907.32431600004,1051176.411713854,144904.25851440008,3841.2000000000007,0,31912.0,14475.0,8666.7,6983.8,486913.8000000006,9361.0,660.0,32.6,-294711745817.0214,73.19114456328974,825.0449171566423
43,255017.04000000024,153246.98000000004,18693.135896399974,24812.114477999996,1401920.0349736523,124203.65015520024,6401.999999999997,0,31912.0,14475.0,8666.7,6983.8,486913.8000000006,9361.0,660.0,32.6,-267753611063.821,80.90394604597158,881.8773526780421
44,90703.44000000002,104293.5000000001,17016.145789799957,23376.384873999996,739169.528658,106055.69666720019,0.0,0,31912.0,14475.0,8666.7,6983.8,486913.8000000006,9361.0,660.0,32.6,-289227809541.8795,34.72235837049227,416.848290513
