,hour,variable,value
0,1,predictions,23050.38020833334
1,2,predictions,22729.6640625
2,3,predictions,22493.442708333332
3,4,predictions,22374.890624999996
4,5,predictions,22334.843749999996
5,6,predictions,24865.6640625
6,7,predictions,29797.5859375
7,8,predictions,30982.960937499996
8,9,predictions,32192.916666666675
9,10,predictions,32045.562499999993
10,11,predictions,31994.20833333333
11,12,predictions,31790.406249999996
12,13,predictions,31119.419270833336
13,14,predictions,30932.11458333334
14,15,predictions,31826.880208333336
15,16,predictions,32312.924479166668
16,17,predictions,33513.6875
17,18,predictions,34036.380208333336
18,19,predictions,33830.424479166664
19,20,predictions,32785.59635416667
20,21,predictions,32197.312500000007
21,22,predictions,30115.111979166668
22,23,predictions,27013.484374999996
23,24,predictions,24989.338541666668
24,25,predictions,23742.34895833334
25,26,predictions,23617.197916666668
26,27,predictions,23288.497395833336
27,28,predictions,23028.278645833332
28,29,predictions,23284.661458333336
29,30,predictions,25476.82267992424
30,31,predictions,29719.776041666664
31,32,predictions,32032.432291666664
32,33,predictions,32477.13802083333
33,34,predictions,32611.6328125
34,35,predictions,32498.346354166664
35,36,predictions,32280.8515625
36,37,predictions,32626.036458333336
37,38,predictions,32510.80729166667
38,39,predictions,32381.35416666667
39,40,predictions,33172.94531249999
40,41,predictions,33878.802083333336
41,42,predictions,34078.8671875
42,43,predictions,33908.34635416667
43,44,predictions,33278.2265625
44,45,predictions,32373.77604166667
45,46,predictions,30096.989583333332
46,47,predictions,26426.653645833332
47,48,predictions,24409.088541666675
48,49,predictions,24085.1484375
49,50,predictions,23710.981770833336
50,51,predictions,23134.93229166666
51,52,predictions,23245.296874999996
52,53,predictions,23241.19270833333
53,54,predictions,25684.934659090908
54,55,predictions,29909.789062499996
55,56,predictions,33045.59375
56,57,predictions,33284.54427083333
57,58,predictions,32974.908854166664
58,59,predictions,32815.765625
59,60,predictions,32212.289062500004
60,61,predictions,32156.729166666664
61,62,predictions,31701.729166666668
62,63,predictions,31845.625000000004
63,64,predictions,32797.32291666666
64,65,predictions,33760.04427083333
65,66,predictions,34141.809895833336
66,67,predictions,33550.69010416667
67,68,predictions,32971.41927083333
68,69,predictions,31971.601562499996
69,70,predictions,29786.468749999993
70,71,predictions,26169.921874999996
71,72,predictions,24167.750000000007
72,73,predictions,23813.83333333333
73,74,predictions,23393.882812499993
74,75,predictions,23087.307291666664
75,76,predictions,22851.3359375
76,77,predictions,22752.033854166664
77,78,predictions,25044.971354166668
78,79,predictions,30274.81770833333
79,80,predictions,32274.70833333333
80,81,predictions,32659.447916666668
81,82,predictions,32331.841145833336
82,83,predictions,31947.117187499996
83,84,predictions,32159.8515625
84,85,predictions,31674.2109375
85,86,predictions,31815.002604166668
86,87,predictions,31357.830255681823
87,88,predictions,32819.651041666664
88,89,predictions,34358.8671875
89,90,predictions,34041.79427083333
90,91,predictions,34058.67708333333
91,92,predictions,33230.83593749999
92,93,predictions,32414.046875
93,94,predictions,30438.153645833332
94,95,predictions,26636.442708333332
95,96,predictions,24508.036458333332
96,97,predictions,23561.46875
97,98,predictions,23074.26822916667
98,99,predictions,22937.604166666668
99,100,predictions,22850.895833333336
100,101,predictions,23136.734375000004
101,102,predictions,24881.000000000004
102,103,predictions,29403.700520833332
103,104,predictions,31799.013020833325
104,105,predictions,31679.68749999999
105,106,predictions,31600.651041666668
106,107,predictions,31887.023437500004
107,108,predictions,32137.56510416667
108,109,predictions,32177.67447916667
109,110,predictions,31276.67447916668
110,111,predictions,30399.70833333333
111,112,predictions,31345.69010416666
112,113,predictions,31682.807291666668
113,114,predictions,31830.785937499993
114,115,predictions,31537.664062499993
115,116,predictions,30858.763020833332
116,117,predictions,30628.580729166668
117,118,predictions,28641.729166666668
118,119,predictions,25627.38541666667
119,120,predictions,23594.895833333336
120,121,predictions,22434.539062499996
121,122,predictions,21911.5
122,123,predictions,21505.882812499996
123,124,predictions,21059.567708333336
124,125,predictions,21286.111979166664
125,126,predictions,21905.903645833332
126,127,predictions,23395.989583333336
127,128,predictions,25604.402698863636
128,129,predictions,26446.79947916667
129,130,predictions,26793.901041666668
130,131,predictions,26689.747395833336
131,132,predictions,26440.742187499996
132,133,predictions,25819.458333333336
133,134,predictions,25386.333333333332
134,135,predictions,25502.700520833332
135,136,predictions,26153.494791666668
136,137,predictions,26092.182291666664
137,138,predictions,27159.388020833336
138,139,predictions,28089.437500000004
139,140,predictions,28295.843749999996
140,141,predictions,27645.227604166663
141,142,predictions,26697.166666666668
142,143,predictions,23632.617187500004
143,144,predictions,22855.16666666666
144,145,predictions,21676.255208333332
145,146,predictions,21068.463541666668
146,147,predictions,20486.447916666664
147,148,predictions,20076.890624999996
148,149,predictions,19998.341145833336
149,150,predictions,20026.708333333332
150,151,predictions,22193.791666666668
151,152,predictions,22188.87760416666
152,153,predictions,24295.348958333336
153,154,predictions,25041.755208333336
154,155,predictions,25605.380208333332
155,156,predictions,24545.91666666666
156,157,predictions,23892.953125
157,158,predictions,24618.195312500004
158,159,predictions,24088.729166666657
159,160,predictions,23738.93697916666
160,161,predictions,25275.231249999997
161,162,predictions,26472.437499999996
162,163,predictions,26604.604166666668
163,164,predictions,27308.401041666668
164,165,predictions,26157.119791666668
165,166,predictions,25181.26822916667
166,167,predictions,22520.635416666668
167,168,predictions,21412.695312499996
168,1,actuals,22705.58333333333
169,2,actuals,22424.33333333333
170,3,actuals,22304.08333333333
171,4,actuals,22099.66666666667
172,5,actuals,22870.58333333333
173,6,actuals,24666.25
174,7,actuals,29032.41666666667
175,8,actuals,30905.66666666667
176,9,actuals,30622.58333333333
177,10,actuals,29866.25
178,11,actuals,29249.75
179,12,actuals,29068.75
180,13,actuals,28815.33333333333
181,14,actuals,28535.58333333333
182,15,actuals,28891.91666666667
183,16,actuals,30335.75
184,17,actuals,31852.5
185,18,actuals,32450.5
186,19,actuals,32533.66666666667
187,20,actuals,32090.08333333333
188,21,actuals,31295.33333333333
189,22,actuals,29489.91666666667
190,23,actuals,25933.91666666667
191,24,actuals,23823.33333333333
192,25,actuals,23427.25
193,26,actuals,23271.16666666667
194,27,actuals,22707.41666666667
195,28,actuals,22532.16666666667
196,29,actuals,22882.41666666667
197,30,actuals,25305.41666666667
198,31,actuals,29709.58333333333
199,32,actuals,32005.41666666667
200,33,actuals,32488.5
201,34,actuals,32107.5
202,35,actuals,31839.0
203,36,actuals,31774.25
204,37,actuals,31490.25
205,38,actuals,31277.91666666667
206,39,actuals,31525.5
207,40,actuals,32607.08333333333
208,41,actuals,33477.666666666664
209,42,actuals,33667.5
210,43,actuals,33685.0
211,44,actuals,33152.75
212,45,actuals,31834.16666666667
213,46,actuals,30015.08333333333
214,47,actuals,26408.33333333333
215,48,actuals,23994.0
216,49,actuals,23138.66666666667
217,50,actuals,22843.75
218,51,actuals,22407.41666666667
219,52,actuals,22191.33333333333
220,53,actuals,22396.08333333333
221,54,actuals,25162.91666666667
222,55,actuals,29605.5
223,56,actuals,31070.91666666667
224,57,actuals,30681.33333333333
225,58,actuals,29838.91666666667
226,59,actuals,29675.83333333333
227,60,actuals,29864.91666666667
228,61,actuals,29557.66666666667
229,62,actuals,29566.83333333333
230,63,actuals,29734.66666666667
231,64,actuals,30837.58333333333
232,65,actuals,31985.91666666667
233,66,actuals,31979.41666666667
234,67,actuals,31263.0
235,68,actuals,30268.08333333333
236,69,actuals,29084.58333333333
237,70,actuals,26971.25
238,71,actuals,23528.41666666667
239,72,actuals,21738.5
240,73,actuals,21321.5
241,74,actuals,21204.75
242,75,actuals,20813.416666666668
243,76,actuals,21106.0
244,77,actuals,20858.0
245,78,actuals,22840.5
246,79,actuals,26765.91666666667
247,80,actuals,28873.25
248,81,actuals,29459.75
249,82,actuals,29088.08333333333
250,83,actuals,28480.75
251,84,actuals,27400.5
252,85,actuals,26505.58333333333
253,86,actuals,25601.16666666667
254,87,actuals,25786.08333333333
255,88,actuals,27649.66666666667
256,89,actuals,29229.16666666667
257,90,actuals,30208.91666666667
258,91,actuals,30920.58333333333
259,92,actuals,30516.08333333333
260,93,actuals,29484.66666666667
261,94,actuals,28889.5
262,95,actuals,26113.91666666667
263,96,actuals,24034.58333333333
264,97,actuals,22876.75
265,98,actuals,22403.0
266,99,actuals,22030.83333333333
267,100,actuals,21938.58333333333
268,101,actuals,22015.75
269,102,actuals,24416.91666666667
270,103,actuals,28207.58333333333
271,104,actuals,29956.58333333333
272,105,actuals,29983.66666666667
273,106,actuals,29738.5
274,107,actuals,29331.0
275,108,actuals,29413.16666666667
276,109,actuals,29263.0
277,110,actuals,29113.58333333333
278,111,actuals,29050.41666666667
279,112,actuals,29951.58333333333
280,113,actuals,31006.16666666667
281,114,actuals,31366.08333333333
282,115,actuals,30870.66666666667
283,116,actuals,30342.33333333333
284,117,actuals,29660.83333333333
285,118,actuals,28873.5
286,119,actuals,26086.58333333333
287,120,actuals,23950.5
288,121,actuals,23290.16666666667
289,122,actuals,22713.83333333333
290,123,actuals,22169.83333333333
291,124,actuals,21904.666666666668
292,125,actuals,21571.75
293,126,actuals,22310.25
294,127,actuals,23551.66666666667
295,128,actuals,26007.58333333333
296,129,actuals,27000.25
297,130,actuals,27258.33333333333
298,131,actuals,26744.08333333333
299,132,actuals,26357.33333333333
300,133,actuals,25534.25
