,params,Unnamed: 0,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,1,67.5,391526.11176715617,64031.36309681354,29629.47264213733,26215.860510662034,641115.5607237938,277278.40072094003,926.3927346813754,0.0,178627.89411764705,14232.08431372549,12767.391372549644,6983.294117646252,339102.0377451128,18984.313725490196,400.6764705882353,42.35294117647123,-1256666799881.662,43.23413504773256,940.9901069337959
1,2,67.5,451128.2295973949,62437.44826542906,29364.243703532837,26084.83174032207,727482.8207971967,261353.3125161304,873.787891152363,0.0,204340.45419479266,14312.650916104147,12934.888428158678,6983.294117646222,326022.12015429896,17816.255544840886,390.72468659594983,42.35294117647127,-1368488765910.0708,42.665392593661764,1058.2449191225726
2,3,67.5,374592.9839778213,66130.82393201531,30121.250101665264,26109.26590455769,680699.7061653372,274094.02316096105,951.3339308100317,0.0,190855.21600771457,14269.706846673096,13397.614850530965,6983.294117646222,349327.1056895161,18965.515911282546,429.49035679845707,42.35294117647127,-1278198256906.0413,42.54032447977729,911.3726317629091
3,4,67.5,401943.02014215576,70003.21101102939,33252.469161157205,25994.14498554295,736086.652254937,218027.28107896395,1013.9179981617652,0.0,205059.48137254902,14297.680392156863,14138.536666667194,6983.294117646252,356333.37696081045,16058.56862745098,416.97058823529414,42.35294117647123,-1261830403683.4526,42.7404860704005,975.763033799613
4,5,67.5,381908.5962229679,63475.975302767845,31153.250441088603,26162.553089633442,674933.0726825102,352857.0780297598,949.620717452425,0.0,209881.37370242213,14182.740484429065,13693.79057093485,6973.885121106249,341437.15865054744,22314.707612456747,406.33391003460207,42.35294117647155,-1346804915421.228,44.4358385503089,920.2748588086761
5,6,67.5,423004.40221393935,70763.07423045939,31646.91226449556,25857.21725431271,750022.9403040332,204925.2768212016,1037.6599914383614,0.0,221793.71071716357,14350.08460918614,14150.148992748203,6983.294117645927,368046.04818700417,15405.238517324738,410.7328767123288,42.35294117647172,-1281835503619.366,42.91064819211267,1020.3043857581678
6,7,67.5,409737.06768464023,58291.71596241858,28389.123727709553,26312.335748803707,647830.149210716,279271.7933094924,789.3171067538151,0.0,185985.70718954247,14204.906753812636,12404.070675379768,6982.616470586415,300611.5320262449,18987.06623093682,388.17973856209153,42.35294117647164,-1334375330204.0886,41.823056308066455,964.6573900492047
7,8,67.5,377132.6364312884,53082.4586954865,28752.48362412533,26795.579269795453,548589.8290380413,388493.0544558663,706.9662633113587,0.0,170195.16835699798,14111.175456389452,12514.770993915408,6983.294117646315,261905.99574033174,24135.74746450304,364.4695740365112,42.35294117647113,-1391450842826.6345,42.708637835848464,886.5664286717584
8,9,67.5,414480.7742602476,70622.78165886817,30876.529974464494,25949.66107756415,680707.3440779729,202866.42423124175,1008.0687717246012,0.0,205042.9670231729,14389.742424242424,13840.183422460539,6983.294117646086,358263.2046346228,15425.70588235294,378.1096256684492,42.352941176471475,-1225645377471.7563,42.92832881844403,1002.6036677879658
9,10,67.5,375177.25936862756,48467.432845098076,26415.45817369762,26621.776490396114,515739.94395223906,366512.8036250198,635.1281838235303,0.0,150886.84549019608,14160.072941176471,11767.376000000615,6983.294117645887,246830.23529411666,22838.349019607842,361.1941176470588,42.35294117647178,-1402970560009.812,41.75600241321471,872.0062392204111
10,11,67.5,385198.2139470016,66685.39817147609,29266.42971019123,26025.5379834371,712787.5216676976,255449.05411843047,960.3882796892357,0.0,204344.48168701443,14332.506104328524,13036.769034406796,6983.294117646492,354844.75671476085,17891.188679245282,409.799667036626,42.35294117647086,-1286613794069.9092,42.65274857117637,934.1904075558131
