"","X","estimator","mean_fit_time","mean_score_time","mean_test_score","param_model__estimator__C","param_model__estimator__activation","param_model__estimator__alpha","param_model__estimator__gamma","param_model__estimator__hidden_layer_sizes","param_model__estimator__kernel","param_model__estimator__learning_rate","param_model__estimator__n_estimators","param_model__estimator__n_neighbors","param_model__estimator__solver","params","rank_test_score","std_fit_time","std_score_time","std_test_score","time","val","id"
"1.1",0,"LinearRegression",0.485895156860352,0.00340431928634644,-3587.59800116075,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.165285727467685,0.000226391238701559,2274.70051709283,1,-5951.83317752274,1
"2.1",0,"Lasso",0.210076153278351,0.00317180156707764,-3191.47970671197,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.0605145996592789,0.000580119278778029,1937.86847552797,1,-6565.3454974326,2
"3.1",0,"Ridge",0.0520526766777039,0.00383716821670532,-2336.50587340543,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.00839663798176742,0.000405801374578056,909.151369827954,1,-3897.1298618883,3
"4.1",0,"ElasticNet",0.0315069854259491,0.00344648957252502,-2428.55366599717,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.00476904267183859,0.000522954399799157,334.186744191427,1,-2330.09453678744,4
"5.1",0,"llars",0.529993742704391,0.00341302156448364,-1494500.75997227,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.0899431177671158,0.00051849224681218,3947967.3290581,1,-11939840.1631484,5
"6.1",0,"ExtraTreesRegressor",4.67534464597702,0.0542408525943756,-1762.51764530664,NA,"",NA,NA,"","",NA,16,NA,"","{'model__estimator__n_estimators': 16}",2,1.75141856580091,0.018165470351257,492.762863605619,1,-1570.45736932536,6
"7.1",1,"ExtraTreesRegressor",7.47196823358536,0.0635611712932587,-1746.10337339646,NA,"",NA,NA,"","",NA,32,NA,"","{'model__estimator__n_estimators': 32}",1,2.28958891188308,0.0289987767293132,516.980231907876,1,-1602.81003199012,7
"8.1",0,"RandomForestRegressor",8.23448580503464,0.042718380689621,-1854.39589457399,NA,"",NA,NA,"","",NA,16,NA,"","{'model__estimator__n_estimators': 16}",2,3.54699394162744,0.0127234695262236,571.660964229283,1,-1304.56019744079,8
"9.1",1,"RandomForestRegressor",13.068266928196,0.0544764995574951,-1826.44367392931,NA,"",NA,NA,"","",NA,32,NA,"","{'model__estimator__n_estimators': 32}",1,4.74572695970725,0.0179103293832174,562.558711729452,1,-1251.1565088623,9
"10.1",0,"AdaBoostRegressor",3.40465715527534,0.0391730666160583,-1968.689365009,NA,"",NA,NA,"","",NA,16,NA,"","{'model__estimator__n_estimators': 16}",2,1.44146796959986,0.00518347693084772,586.742210418575,1,-1244.70466547471,10
"11.1",1,"AdaBoostRegressor",6.10060289502144,0.0590353608131409,-1916.57961073279,NA,"",NA,NA,"","",NA,32,NA,"","{'model__estimator__n_estimators': 32}",1,2.41342334865845,0.0105068284273809,616.834901368102,1,-1192.55777422391,11
"12.1",0,"GradientBoostingRegressor",1.85467180609703,0.00960266590118408,-2270.14183422548,NA,"",NA,NA,"","",0.8,16,NA,"","{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,0.934151021542335,0.00406208570781936,542.710747272304,1,-1658.87204793244,12
"13.1",1,"GradientBoostingRegressor",3.7094951570034,0.00768712162971497,-2319.76109405578,NA,"",NA,NA,"","",0.8,32,NA,"","{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",2,1.78709301625356,0.00171695581825469,540.381937763758,1,-1709.31970080232,13
"14.1",2,"GradientBoostingRegressor",1.98845541477203,0.00704613327980042,-2595.4946477569,NA,"",NA,NA,"","",1,16,NA,"","{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",3,0.972858378480387,0.00156442985689788,684.643421807941,1,-1883.23773049865,14
"15.1",3,"GradientBoostingRegressor",3.40683242678642,0.00625503063201904,-2608.47319722531,NA,"",NA,NA,"","",1,32,NA,"","{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",4,1.33450708216406,0.00197516808474444,631.630811177414,1,-1923.84933519072,15
"16.1",0,"SVR",0.683197021484375,0.122504889965057,-3732.86810949324,1,"",NA,0.001,"","rbf",NA,NA,NA,"","{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,0.591863620615076,0.064561072183269,387.436829227083,1,-3347.31979731842,16
"17.1",1,"SVR",0.707593977451324,0.122341334819794,-3733.11991933245,1,"",NA,1e-04,"","rbf",NA,NA,NA,"","{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,0.602074681591895,0.0614333550907491,387.439281886383,1,-3347.58807478265,17
"18.1",2,"SVR",0.751331865787506,0.11702573299408,-3730.36329307744,10,"",NA,0.001,"","rbf",NA,NA,NA,"","{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,0.588489502755406,0.0507610763005139,387.429710191028,1,-3344.63065224758,18
"19.1",3,"SVR",0.680005669593811,0.0992375910282135,-3732.86465098029,10,"",NA,1e-04,"","rbf",NA,NA,NA,"","{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",2,0.467162641201678,0.0334103538586418,387.437541151826,1,-3347.31342688989,19
"20.1",0,"MLPRegressor",10.8515531420708,0.00618225336074829,-31010.9883556926,NA,"tanh",5e-05,NA,"(1,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,5.50372313121434,0.000708045627502067,1967.88320049129,1,-32553.6429316148,20
"21.1",1,"MLPRegressor",38.4967833459377,0.0542377829551697,-30981.641772618,NA,"tanh",5e-05,NA,"(50,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",3,19.5020489913296,0.0178113151619351,1975.36966982686,1,-32535.3177178855,21
"22.1",2,"MLPRegressor",12.7579365670681,0.00628134608268738,-31010.8744908352,NA,"tanh",5e-04,NA,"(1,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,6.2457252023511,0.000567195186962492,1967.85263740742,1,-32553.1822670691,22
"23.1",3,"MLPRegressor",43.7562116086483,0.0485694706439972,-30981.6954033209,NA,"tanh",5e-04,NA,"(50,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",4,20.7336189640505,0.00915989110011784,1975.3639344059,1,-32535.6742460348,23
"24.1",4,"MLPRegressor",17.8297667205334,0.00873261690139771,-30996.4365011867,NA,"relu",5e-05,NA,"(1,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",6,7.76844221686717,0.000781255927973027,1973.09202959925,1,-32551.0423792948,24
"25.1",5,"MLPRegressor",38.5407034754753,0.0370955765247345,-30455.5252782372,NA,"relu",5e-05,NA,"(50,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",2,10.8338418286206,0.0169387650148193,2232.47909911398,1,-32411.0586479975,25
"26.1",6,"MLPRegressor",15.292941570282,0.0083828866481781,-30995.1795300976,NA,"relu",5e-04,NA,"(1,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",5,6.36241497891375,0.000421072421041113,1975.03246697837,1,-32549.6965642396,26
"27.1",7,"MLPRegressor",24.704209536314,0.0215706527233124,-30447.6099620181,NA,"relu",5e-04,NA,"(50,)","",NA,NA,NA,"adam","{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",1,4.49628311058347,0.0123435008636909,2245.90983938256,1,-32419.3846991311,27
"28.1",0,"KNeighborsRegressor",0.0322003066539764,0.14149597287178,-2126.00383534684,NA,"",NA,NA,"","",NA,NA,5,"","{'model__estimator__n_neighbors': 5}",1,0.010762281174573,0.0541654392256668,770.951156241328,1,-1993.1909033517,28
"29.1",1,"KNeighborsRegressor",0.0334100127220154,0.153046786785126,-2151.81229066828,NA,"",NA,NA,"","",NA,NA,20,"","{'model__estimator__n_neighbors': 20}",2,0.00873662646760407,0.0670322884586771,839.088072611463,1,-1844.2268585476,29
"30.1",2,"KNeighborsRegressor",0.0345257818698883,0.248899012804031,-2464.34721770259,NA,"",NA,NA,"","",NA,NA,50,"","{'model__estimator__n_neighbors': 50}",3,0.0132008795162512,0.172819342301825,609.235078411613,1,-2674.22135741888,30
"31.1",0,"LinearRegression",1.14722129702568,0.00833150744438171,-2986.16849825997,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.154922802689862,0.000942695578212353,1455.1010147295,1,-4408.18942744051,31
"32.1",0,"Lasso",0.720941543579102,0.00762400031089783,-2875.84821051078,NA,"",NA,NA,"","",NA,NA,NA,"","{}",1,0.115679462008731,0.00111946908758338,1337.99468090344,1,-3947.52552368578,32
