,estimator,mean_fit_time,mean_score_time,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_r2,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_r2,split0_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split0_test_r2,split1_test_neg_mean_absolute_error,split1_test_neg_mean_squared_error,split1_test_r2,split2_test_neg_mean_absolute_error,split2_test_neg_mean_squared_error,split2_test_r2,split3_test_neg_mean_absolute_error,split3_test_neg_mean_squared_error,split3_test_r2,split4_test_neg_mean_absolute_error,split4_test_neg_mean_squared_error,split4_test_r2,split5_test_neg_mean_absolute_error,split5_test_neg_mean_squared_error,split5_test_r2,split6_test_neg_mean_absolute_error,split6_test_neg_mean_squared_error,split6_test_r2,split7_test_neg_mean_absolute_error,split7_test_neg_mean_squared_error,split7_test_r2,split8_test_neg_mean_absolute_error,split8_test_neg_mean_squared_error,split8_test_r2,split9_test_neg_mean_absolute_error,split9_test_neg_mean_squared_error,split9_test_r2,std_fit_time,std_score_time,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_r2
0,LinearRegression,67.96389646530152,0.8952083587646484,-2630.7993132396596,-13218977.518875264,0.6962825349017613,,,,,,,,,,,{},1,1,1,-5926.342296583857,-45674358.1751859,-0.01882040256580621,-2691.8516052493715,-13849354.005877936,0.7307952060471198,-1994.6951746403872,-7656802.474083391,0.7825702734672442,-2151.13412065589,-8217239.657693551,0.8303557489679158,-2392.6938124124936,-12322773.754426079,0.7338671366984708,-2080.324523380525,-7674784.225689861,0.8326638436744961,-2353.4960821769087,-10408322.650159996,0.7785206503344773,-2121.733936503407,-8454825.036742626,0.6710763998546053,-2513.940120764589,-10777599.33870453,0.7770062706957166,-2081.781460029169,-7153715.870188755,0.8447902218433737,38.85453208794092,0.07394032071157369,1118.4755762689779,11020844.783098852,0.24371424073104697
0,Lasso,561.7413406610489,0.8663075685501098,-2615.872054141759,-12993199.51931718,0.7013227415813403,,,,,,,,,,,{},1,1,1,-5767.063178221167,-43342520.964343235,0.03320224180875139,-2687.9531389609306,-13797678.523581013,0.7317998152246227,-1993.4874927944409,-7650556.464026417,0.7827480571753828,-2154.362694940939,-8244405.26014024,0.8297949013912366,-2391.745022845516,-12325006.856825113,0.733818894705719,-2081.971644355416,-7681294.94188971,0.8325218473567239,-2356.4234673653364,-10430207.892167848,0.7780557818028412,-2121.4432572448964,-8455239.76760494,0.6710589688496995,-2517.3681928727083,-10808856.001326673,0.7763591622004654,-2086.902451816237,-7196228.521266607,0.8438677452979606,273.46796458593116,0.04968892354447601,1071.0799430050579,10329687.440546231,0.2283575344344199
0,Ridge,15.746215891838073,0.905450987815857,-2614.4433040905883,-12934398.279239355,0.7026442477753103,,,,,,,,,,,{},1,1,1,-5737.919031401359,-42819636.99607984,0.04489761617746121,-2696.6626165908724,-13818816.581290662,0.7313888372177942,-1998.8978149427394,-7661445.488100576,0.7824386981723674,-2154.6496184782422,-8227679.315643236,0.8301402645714354,-2394.019990908079,-12305412.329182416,0.7342423528576841,-2082.457674513886,-7677787.627944333,0.8325984576173644,-2356.789713523663,-10428056.516491799,0.7781010383231525,-2122.2287672866264,-8445369.143255329,0.671444219739394,-2516.28334947672,-10789822.853985103,0.7767531756452283,-2084.5244637836913,-7169955.940420248,0.8444378174312215,7.84834183048506,0.19705494436471035,1062.2557197319513,10179173.01723306,0.22499567260040057
0,ElasticNet,62.82873785495758,0.9836329460144043,-4665.577688103045,-31891912.380058005,0.2428919632013319,,,,,,,,,,,{},1,1,1,-4071.525399203148,-24434646.13543841,0.4550443840410349,-4869.2321505159625,-36012187.6430883,0.29993577221982964,-4437.930551846498,-29113971.634539545,0.17308843211344405,-4476.0836388034595,-28302479.821455177,0.41570074059311607,-4653.14448384926,-32170664.05012253,0.3052309197036221,-4718.2998201686905,-33691273.08883778,0.26545627776248937,-4818.807664407853,-31985309.53259663,0.31938168044010035,-4848.706437716203,-34815149.1160912,-0.3542249050936362,-4773.903892440489,-33038700.037640188,0.31637868044556666,-4988.142842078885,-35354742.740770325,0.2329276497877525,78.94625562501408,0.09564090837948684,256.48335088853065,3440410.1863028826,0.21337576303312208
0,llars,26.629285049438476,2.2251333713531496,-2384.778477431659,-10437210.949091643,0.7571572989199674,,,,,,,,,,,{},1,1,1,-2591.404974514657,-10921457.130451605,0.7564094718138463,-2696.633957487536,-13867848.712545251,0.7304350425172107,-2057.017102502065,-8065170.503009099,0.7709689955462875,-2259.2438860678253,-8997871.289289176,0.8142397927068862,-2547.4396926892186,-13612827.058542108,0.7060122600568174,-2166.2076080538122,-8337370.138190166,0.8182215306226306,-2435.4332109305956,-11068104.841680847,0.7644908503908768,-2246.104617157141,-9361002.38807378,0.6357988829169292,-2624.7523187082656,-11909717.450044,0.753575570928659,-2223.5474062054786,-8230739.979090396,0.8214205916995306,9.692110940625088,0.11317688864468033,210.41528996891472,2068549.1286255643,0.05425192473381442
0,ExtraTreesRegressor,4670.916190719605,22.606583571434022,-1693.9308255149365,-5965186.716647822,0.860237803987715,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,2,2,-1869.277572573581,-6256493.372125302,0.8604718199210405,-2006.7513002229346,-9402271.684431449,0.8172295468816647,-1311.1669043991355,-3979010.3203386236,0.886984644174933,-1390.5913240978432,-4014788.9497956685,0.9171165765855429,-1715.1156145096859,-7404055.868868493,0.8400980432989855,-1765.4591531804733,-5737283.205375571,0.8749193099045408,-1770.5019175360887,-6391464.328087269,0.8639977290945037,-1787.5363437077658,-6237802.957161759,0.7573572177883028,-1806.3148130690715,-6098322.556348774,0.8738167390088453,-1516.5933118527853,-4130373.92394533,0.9103864132187907,2434.012965737846,2.919876840269176,207.70054888030054,1594049.5779565275,0.044406454811480735
1,ExtraTreesRegressor,7742.221697664261,33.566270041465756,-1656.1252929949048,-5729852.270046368,0.8655735220070953,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,1,1,-1826.2150632091095,-5882249.798419279,0.8688105146933333,-1965.887008671024,-9173688.214663468,0.8216740883652728,-1278.854927116265,-3810287.8648228925,0.8917682475928114,-1348.1458959633167,-3809525.1321827658,0.9213540302248152,-1679.0438025243257,-7129442.173627968,0.8460281975360079,-1711.2023663410585,-5364628.478537445,0.8830435594704369,-1731.771324983473,-6204728.899227817,0.867971709013878,-1773.1693518388122,-6121295.004772962,0.7618848458626203,-1766.811082414223,-5852618.76814798,0.8789013392430478,-1480.1521068874426,-3950058.366061105,0.9142986880687287,3642.495434461437,6.0373834540044164,206.94573456782476,1578268.9358797888,0.044419989239569045
0,RandomForestRegressor,12961.1572783947,12.723757934570312,-1699.7658281014265,-6217817.342095865,0.8550152808927594,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,2,2,-1604.2410649992792,-5320159.329747501,0.8813400168704758,-2034.3900057506132,-9670661.86662971,0.8120161743995918,-1236.265186890769,-3716735.1534623518,0.8944229104050542,-1436.3826253951518,-4377962.219838392,0.9096179758848293,-1777.3786745384223,-7923707.898109753,0.8288753187451451,-1835.4028688592225,-6534692.33409756,0.8575209629988739,-1902.3779004021217,-7471526.161091607,0.8410101285893005,-1777.6663841407187,-6318134.51091575,0.7542564085350661,-1827.2255111829988,-6350002.0197446495,0.8686088459144692,-1566.3280588549696,-4494591.927321384,0.9024840665847861,6136.8367005704,2.157401764729142,226.02981989267354,1730540.5083067087,0.045334834053396694
1,RandomForestRegressor,20627.818371891975,20.944273948669434,-1666.0035550291261,-6002849.441531141,0.8601675989848612,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,1,1,-1565.0343787760746,-5050398.64482549,0.8873546272528525,-2000.348647655336,-9438552.861406645,0.816527122912296,-1187.8852316394302,-3479063.5207807,0.90117562950461,-1405.261380296285,-4236045.09830774,0.9125475072430321,-1741.5050632513874,-7683347.3551691985,0.8340661213205384,-1812.5639109113574,-6339010.958801824,0.8617901134347647,-1862.1619969855394,-7211681.182325886,0.8465398127326491,-1750.7169006732936,-6082280.364277775,0.7634416473513174,-1800.9342906284958,-6191054.70202405,0.8718976962357962,-1533.6237494740617,-4317059.727392107,0.906335711860757,9053.495887845758,3.496393684045424,229.59325896706457,1717098.8004000143,0.044230730051760994
0,AdaBoostRegressor,5057.908961415291,8.763382172584533,-3177.0342504989153,-15637222.354856776,0.626750878827839,,,,,,,,16,,,{'model__estimator__n_estimators': 16},1,1,1,-2561.8797678611704,-10475560.82972297,0.7663651819951155,-3273.868270990713,-17916680.680346746,0.6517096115476152,-3140.649544244939,-14368243.2798386,0.5918811548252086,-3124.761129146403,-14240456.310201742,0.7060130445242788,-3370.525399382323,-18198044.553529173,0.6069706896696947,-3267.4742002557455,-16060994.634934613,0.649837038794184,-3109.908849237283,-15368001.586524477,0.6729991545944692,-3493.400291621542,-18326708.211943302,0.28714069563905326,-3221.699527913864,-16158990.360045105,0.6656482743425852,-3206.1755243351695,-15258543.101481041,0.6689439423461855,2563.494930467728,1.7901899009562494,233.43176575281512,2232908.2009421797,0.12219040418121846
