,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,331938.4799999988,213834.8299999995,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,8777.529999999988,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,12594507408.33037,89.569012449453,1182.7138671723396
1,261866.70000000045,171268.05,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,2138.850000000001,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,7390170540.823981,57.50622098896844,925.7278565739022
2,333593.81999999884,216783.10999999964,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12806.91,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,16208093863.646595,90.56085746047863,1200.8326348677788
3,363719.27999999817,208220.29999999955,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,33706780610.287937,110.30568909983106,1244.540943359399
4,163667.1000000003,119883.28999999996,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,21281353388.31945,44.64997897938829,599.7515465394221
5,371921.0399999981,205899.2799999997,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12852.984999999999,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,37771499164.15419,93.44146458427291,1255.3212272234398
6,140830.08000000007,155148.8899999999,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,18106186546.824226,43.697397242582134,632.0839852482219
7,191943.66000000018,138054.08,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,2019,-6726085161.464447,44.490708109166725,706.0639646038425
8,325290.719999999,227051.28999999963,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,5034.299999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-34660334854.06982,95.26273146815743,1189.2630005234205
9,262639.1400000004,166757.09999999998,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-39514690440.01072,64.32545858257056,910.6700166658034
10,318107.8199999992,236387.01999999964,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,6741.4999999999945,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-30134278771.290054,95.13208195230918,1198.979058773961
11,342074.6999999989,237648.68999999968,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,7798.799999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-11605960847.18283,114.9400224379503,1253.47039208862
12,124334.82000000005,158697.74999999983,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-26377462215.61912,47.56436099207389,606.5175265545015
13,348809.63999999844,231337.97999999957,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,7148.899999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-9437500999.132025,97.9680751896994,1251.7413176160399
14,165644.88000000027,128300.04999999997,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-31690432229.609215,49.041759262764266,622.5475813699016
15,210487.26000000024,122470.52999999991,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,2020,-55935887631.35458,49.7456575323566,700.5696335009412
16,266308.2000000003,155047.4199999999,21406.37921459999,27952.275391,504471.10626524984,150908.1204624,5199.199999999996,0,31912.0,14475.0,8729.9,6983.8,188273.79999999984,9361.0,670.0,2021,-90620647957.632,82.32540603997401,906.3742216931622
17,166456.8600000001,139079.72999999992,21365.252223399984,27898.774041499968,501130.01715775096,144904.25851440008,649.9,0,31912.0,14475.0,8729.9,6983.8,188273.79999999984,9361.0,670.0,2021,-99453329672.37035,48.352322165712046,650.5403335225418
18,288443.10000000027,190157.19999999966,20901.20664839987,29181.136623999984,289843.6549812004,156982.7461607999,6498.999999999995,0,31912.0,14475.0,8729.9,6983.8,188273.79999999984,9361.0,670.0,2021,-96228272562.24025,78.33780925133419,1032.3377652456024
19,288447.5400000002,166966.71999999988,21562.92283919995,28041.842625999998,516805.6392374963,151804.4613008,6498.999999999995,0,31912.0,14475.0,8729.9,6983.8,188273.79999999984,9361.0,670.0,2021,-81657471208.72708,95.83800315917206,981.5237574345618
20,120131.28000000007,83638.53,17582.893238199995,24148.653477999986,452485.2759833008,112123.6882640002,0.0,0,31912.0,14475.0,8729.9,6983.8,188273.79999999984,9361.0,670.0,2021,-100190800824.51047,34.54403245586463,430.497346964939
