,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,337786.37999999843,208458.87999999966,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,10683.580000000007,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12807915538.607662,89.52620233961066,1186.41129191424
1,210982.86000000034,221181.0399999996,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,6714416886.0434475,55.06017232308772,930.2849457939219
2,344907.8399999985,207574.86999999962,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,10123.890000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,15358319770.105268,90.43931346756001,1196.9293565482594
3,343118.57999999874,228547.78999999946,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13095.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,32757919462.13361,109.53165191543481,1247.883332890417
4,145321.50000000006,138645.00000000003,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,19128459751.674934,43.98103924603392,604.3748207100017
5,357697.2599999983,221665.3099999995,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12377.685000000003,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,35495691418.36844,93.37559960522049,1259.7854226333766
6,140829.3000000001,152999.2999999999,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,14998950760.945835,42.946117095601444,627.2858110214019
7,176192.10000000024,157012.49999999994,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-9677552827.39277,43.78421114019945,709.0931401950022
8,323590.439999999,232597.1299999996,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,3365.8999999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-35975775719.20077,95.6611062691785,1193.8753867277412
9,223197.70000000045,207393.39999999964,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-39300055016.96201,63.64658333265152,920.3554823332023
10,329929.299999999,226077.5899999997,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,4665.699999999998,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-27082639841.549133,95.39792962682787,1195.7111380108222
11,332418.819999999,245596.45999999964,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,7915.199999999994,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-5864586452.370441,115.48007845565478,1251.8398857710813
12,145055.82000000012,137419.92000000004,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-17738644058.666393,49.14804127849987,601.101849248161
13,387447.27999999764,196590.57999999975,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,8565.099999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,5058112806.828383,100.25464604444348,1255.5153339508433
14,162554.58000000022,130204.4399999998,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-15269861264.863213,48.86250857288679,620.5237244071218
15,182025.60000000015,149211.88999999984,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-35651106494.17035,48.72843845278525,702.4630809222226
