,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,329834.6399999989,218747.83999999965,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,10500.250000000007,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12610123342.393751,88.92781007322087,1191.9316949003187
1,232978.6800000004,196434.28999999963,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,2060.2800000000007,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7173930010.260625,56.25588590656298,924.6938674374229
2,346943.9999999984,203081.3499999995,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,10291.215000000006,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,15974349722.265863,90.2231847404741,1191.2811801972996
3,345798.53999999864,227022.2999999996,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33495746616.162094,108.79348435978847,1250.1165863553977
4,161232.78000000026,125682.67999999995,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20360583483.748463,44.58078717252655,607.7506241866425
5,348743.45999999845,230826.9399999996,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12153.615000000002,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,35929027636.5728,92.48391954849023,1261.5503797121173
6,161155.62000000026,132994.92000000004,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16512570674.242424,43.98450083478003,624.0049264581613
7,181086.0000000002,150671.16999999995,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-6655984806.427188,44.41641121850055,707.5086061156626
8,316351.7999999993,238672.4299999999,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,3249.4999999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-33894013747.867916,94.84821372038785,1189.6813490771426
9,238725.84000000035,194686.7499999997,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-37037883293.29485,63.93264869761333,923.5240131365032
