,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,346021.7399999985,203712.55999999962,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,8127.629999999997,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,13022998827.584621,89.65011827827011,1186.5198149388816
1,215897.5800000004,217351.1199999996,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7571052722.979523,55.02557904293027,930.7915818857616
2,351601.6799999983,198329.49999999962,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12749.68,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16128402134.077305,91.25139587715626,1196.9720253209975
3,357847.1999999981,214609.81999999966,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33507071628.116177,110.35036829533642,1246.8781831083575
4,140759.52000000005,141851.61,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20584858614.492996,43.585577497812444,602.2692244507815
5,346371.59999999875,233715.17999999953,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11764.645000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,36669262622.350815,91.06748391165428,1261.4665380916363
6,152066.40000000023,142218.95999999988,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16761949074.229038,43.9686011310369,626.0891045860819
7,192408.78000000038,142565.76999999981,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-9446270674.21356,44.021693608024215,708.7107974464627
8,345242.75999999844,206761.86999999982,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,5315.599999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-39474948120.5427,96.25649868929418,1185.0156998342613
9,257637.42000000057,173687.86999999997,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-43634380123.3084,63.940289512518945,915.0576617022623
10,344933.75999999867,206914.13999999978,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,6498.999999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-32813942823.444992,96.95750911222889,1187.1777164877212
11,353842.9799999982,223731.0299999997,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,9098.599999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-12239237425.062511,116.21930485582499,1248.9427557999416
12,130592.34000000005,153908.90000000014,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-25107572371.464336,47.93747657767124,608.5344618422014
13,366037.1999999981,214153.5199999997,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,7265.299999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-5208966980.798229,99.6356514679735,1248.6041867409617
14,137824.7400000001,156530.57999999987,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-24961785215.923954,48.036863974376985,629.0662453508418
15,195318.90000000034,136637.87999999998,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-48852015926.21359,48.9152568572203,701.3908591562429
16,268821.48000000033,149642.37000000008,21217.559130999976,27952.275391,481112.1153391998,147470.91871120004,5849.099999999996,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-91681192658.30307,80.61237293442771,900.7346593332622
17,180789.30000000008,119426.31000000006,20416.899005299936,26643.266837999978,509566.65588825056,143111.5768376001,649.9,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-99245575088.93483,48.286101800893526,636.7519640013816
18,305214.35999999975,171999.19999999992,20721.971018399858,28813.436007999993,295397.3503641995,156093.03942399993,4675.399999999998,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-94022990648.54504,79.01442836194511,1022.116580481602
19,285338.58000000025,162984.30000000013,21562.92283919995,28041.842625999998,496666.3766122458,151804.4613008,6498.999999999995,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-75259490607.07942,95.96931769096382,966.2789949314022
20,102574.08000000007,99560.78000000013,17582.893238199995,24148.653477999986,457674.7024633002,111233.9815272002,0.0,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-93084873501.64398,33.72676083017662,430.3851077704391
21,285325.6800000003,179780.84000000003,21772.372747,28120.13102399998,487275.62547645124,151804.4613008,4782.099999999998,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-90821796984.55727,67.78574192513867,999.3230970143222
22,111598.50000000006,98415.04000000008,19825.76180899999,26853.422417999987,417325.73512314854,107875.6518728002,0.0,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-118293960349.20332,36.79798078170958,446.14807842591995
23,148205.51999999996,93747.16000000012,20150.357244900075,27467.292525000026,480856.6767800504,107078.08543600018,0.0,0,31912.0,14475.0,8729.9,6983.8,200129.79999999984,9361.0,670.0,31.7,-151128734905.3596,36.694756515888216,510.04443092967944
24,256388.7600000003,164111.61999999997,20646.284168799983,27913.160167,495785.1195894999,138046.07170480015,5121.599999999998,0,31912.0,14475.0,8710.9,6983.8,224289.80000000002,9361.0,660.0,31.9,-167840985950.5997,79.36394333949742,905.4291082447625
25,167490.72000000015,128516.66999999998,20065.387427399928,26643.266837999978,524202.98525445035,134580.12218000024,640.1999999999999,0,31912.0,14475.0,8710.9,6983.8,224289.80000000002,9361.0,660.0,31.9,-176083022944.81708,44.4841231775872,629.0489873646618
