,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,334247.57999999885,215965.45999999958,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,7697.919999999997,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,12956614761.50063,89.13384835704476,1188.9926360330803
1,213533.0400000003,216452.09999999966,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7132771443.222936,55.71047310538493,926.8996323358014
2,323525.819999999,227670.09999999957,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,11039.570000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16252799913.229197,89.53960797326847,1200.128723019799
3,337330.4399999989,235961.14999999956,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13192.969999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33686464420.037228,109.01983231916365,1251.995515367697
4,148763.04000000012,132382.66999999998,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,20660210435.417923,43.30415445180362,597.3873962726615
5,349394.8799999982,232350.0599999995,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11817.025000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,36764117744.65837,91.66124691443174,1264.6640018538776
6,135859.86000000004,159760.9099999999,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,15843692173.42406,42.496715060784915,632.2856908521825
7,196845.30000000016,130336.5699999999,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-6797670219.408098,44.46318916504192,698.8406671048617
8,344847.4199999984,204372.3099999996,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,5849.099999999996,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-33316687246.15494,97.01755785259513,1180.888274909382
9,224034.12000000034,209162.88999999966,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1299.8000000000002,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-37716104725.68251,61.19913593698748,926.0018513802219
10,330743.2799999989,218590.74999999968,21342.258237599934,29224.130127999983,1658.9456695999324,165604.86687359976,6625.099999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-26156041837.904175,97.70364110584516,1185.5591492885012
11,346374.3599999986,230771.75999999963,22998.474552600022,29656.706700000013,3188.160174599965,165604.86687359976,9098.599999999995,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-5223155678.818435,116.21689353556451,1249.492128040481
12,135594.18000000005,146229.0899999999,21909.874223999996,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-17675023767.05026,47.74834598941822,601.5514843678222
13,364679.27999999805,216299.73999999953,23182.781701500044,29595.668287999964,3122.2863189999775,165604.86687359976,7924.899999999994,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,2005645672.0179746,99.87217540638822,1251.9756681565202
14,113647.02000000006,179306.77999999985,25315.93655020003,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-18403754716.371765,45.18194966285707,630.8082408784425
15,191797.5000000001,140516.98,30888.903749899935,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.9,-40656371252.97935,49.468168921422375,702.8982331380406
16,272268.36000000034,154872.45999999996,21406.37921459999,27952.275391,489699.5532150498,150908.1204624,4151.599999999999,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-83396603219.2978,82.2638610914996,915.9563130990814
17,156668.58000000016,147353.24000000005,21365.252223399984,27898.774041499968,501542.6178574008,144904.25851440008,649.9,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-90040339850.84662,48.79453461030564,649.1316187895221
18,283803.3600000004,196819.9199999997,20901.20664839987,29181.136623999984,290212.9862452005,156982.7461607999,5849.099999999996,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-82118060214.67796,79.08152838575376,1036.419766448163
19,274746.00000000023,178227.2699999999,21562.92283919995,28041.842625999998,490001.6912136475,151804.4613008,6498.999999999995,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-61280511866.489586,95.19784980116712,977.8650206234622
20,120245.76000000007,84567.98000000007,17582.893238199995,24148.653477999986,451526.05140730063,112123.6882640002,0.0,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-78171136601.22661,35.10289264980719,432.8037142360399
21,278361.1200000002,190809.98999999987,21783.090917200003,28120.13102399998,498049.3422163518,151804.4613008,5325.299999999996,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-71978643830.43144,68.27546688007551,1010.8981594660223
22,90407.52000000003,125945.00999999992,19825.76180899999,26853.422417999987,415452.78692314815,107875.6518728002,0.0,0,31912.0,14475.0,8729.9,6983.8,188289.79999999984,9361.0,670.0,31.7,-98717583778.24261,35.78809974809594,464.56070902397965
