,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,344066.2199999985,200377.17999999976,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,12933.009999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,13344112400.00519,90.7258148744213,1184.8152607976397
1,233608.2600000003,197258.25999999966,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1885.6800000000003,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7752751830.847738,56.00591116804486,924.7307824874821
2,317294.459999999,229305.39999999953,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,11202.530000000006,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16259620443.480494,89.2278513344246,1191.458876169199
3,361256.9399999982,211486.1599999995,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,12942.71,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33171942070.326393,109.46276335594631,1244.5206691516785
4,127927.62000000005,154137.68999999992,22191.845221500018,29595.668287999968,3116.600719849977,148459.39984960004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,19193003735.890884,42.96826494607084,603.6356017906216
5,349749.1799999983,229780.97999999954,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,12426.185000000003,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,34417810938.10091,92.00346601563957,1260.934395360037
6,153194.7000000002,141823.95999999996,25582.054003500038,33535.97722699999,4482.611414499983,135545.01540160022,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,13409083785.061802,43.39839318974072,627.4981513760822
7,163490.58000000025,168538.5999999998,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-11248179546.195606,43.27395778152271,707.9625723628023
8,3092189.099999994,88525.26999999987,23020.55743680004,29579.745223999984,93975.1390006004,165604.86687359976,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-50133251157.75373,46.646018263712556,6474.678983427464
9,2009356.579999997,83994.38000000006,23173.26960990004,29595.668287999964,93011.77859765006,165604.86687359976,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-55665940677.92221,46.30167518640385,4266.418748943243
10,3237170.859999993,37180.56,21342.258237599934,29224.130127999983,49420.55040559968,165604.86687359976,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-60569659644.69428,49.534088342630355,6654.421473022892
11,3237170.859999993,27951.35999999999,22886.299407000017,29656.706700000013,94973.40403339974,164708.5260351998,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-66987217942.98565,47.84955778682822,6633.827454601287
12,2061459.3999999964,0.0,21246.53956880001,28558.37913399997,92732.6494168501,141446.41733600013,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-82534384485.26244,37.910874976034656,4184.762582000002
13,3121638.5199999926,63927.95999999999,23174.41879800004,29595.668287999964,93011.85565045003,165604.86687359976,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-93606006783.61192,48.25500792594244,6479.57491768809
14,1619718.0999999975,60518.67999999994,22217.96533300003,29699.108087999994,95322.82974530019,128576.26023200026,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-117573330392.91667,36.9607360464199,3423.069004514642
15,1546094.5499999977,110940.15999999986,23801.693936000087,31854.378294000016,178843.1138054005,121747.55831840023,0.0,0,133411.0,14475.0,8756.1,6983.8,52145.8,9361.0,670.0,30.9,-150738376084.78198,33.7471206504052,3386.1235876436835
16,1415804.389999998,8092.0,21202.513266999988,29188.526065999988,144538.9635898005,319096.60134799936,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-227639747171.93503,34.17743338954136,2892.1393843160017
17,581771.1900000003,12513.600000000002,21330.467936099976,28521.14819699997,142659.1014432502,312745.55474959954,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-242257918842.2897,33.968551629864486,1208.9183377128004
18,1542363.8999999978,27951.35999999999,20069.29862259978,29038.48842399999,76016.10379865067,320918.76792079944,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-251311572460.3114,36.552041356716366,3193.3693258012822
19,1534971.8999999978,29434.609999999993,21654.623680699944,29165.726256000013,146083.12516389973,314417.34835279954,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-258603989325.6992,37.323087223199515,3181.6732868847776
20,105336.0,25612.900000000005,17840.405423800006,25936.721722999973,131958.60551955015,250302.4420007997,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-288404386778.0509,24.698009248209132,270.98465383420006
21,1382568.879999998,15737.070000000003,21691.550494300016,28707.261898999983,143022.24772755013,316958.2092655995,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-302789323043.6601,36.02796158930838,2841.73049292386
22,198363.55,20963.519999999993,19515.747238499993,27425.27299899999,128204.66278340014,253370.3454295997,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-346039766942.9066,25.43189798768219,449.45596310096005
23,291391.1,44943.07999999997,19522.101543600053,27135.961120000018,178555.4245500498,243841.56416479967,0.0,0,149011.0,14475.0,8729.9,6983.8,104257.80000000002,19261.0,670.0,31.7,-395872802460.546,26.790662091055367,691.8098318258402
24,1377560.7999999982,29698.31999999999,22131.230794499945,29172.71095999999,145240.68736965052,311799.0895879995,0.0,0,285451.0,14475.0,8850.9,6983.8,104913.80000000002,19261.0,660.0,31.9,-412634876836.85645,35.399324732244914,2862.7171958513622
25,544601.7500000002,42314.04,22256.982739099945,28521.14819699997,143354.21640325023,312745.55474959954,0.0,0,285451.0,14475.0,8850.9,6983.8,104913.80000000002,19261.0,660.0,31.9,-424829754053.1192,33.76012558641932,1199.9610167279209
26,1373830.1499999987,75653.12000000004,20949.20579859979,29038.48842399999,76385.435062651,320918.76792079944,0.0,0,285451.0,14475.0,8850.9,6983.8,104913.80000000002,19261.0,660.0,31.9,-423995156822.7661,38.251478894174525,2957.687425161758
27,1452340.1199999982,54880.90000000002,22519.70891719997,29122.570416000013,146791.38649174967,314417.34835279954,0.0,0,285451.0,14475.0,8850.9,6983.8,104913.80000000002,19261.0,660.0,31.9,-417936872536.9078,38.12262898875176,3070.7115740981985
28,133056.0,1746.96,18668.67690019996,25827.15347299997,132608.3168286002,250302.4420007997,0.0,0,285451.0,14475.0,8850.9,6983.8,104913.80000000002,19261.0,660.0,31.9,-452784817842.1481,26.106161261054677,274.0018430500801
29,1159462.149999999,62912.03999999999,22593.274531999978,28707.261898999983,143368.36583060015,316958.2092655995,0.0,0,285451.0,14475.0,8850.9,6983.8,104913.80000000002,19261.0,660.0,31.9,-457484730492.6667,36.99740602476197,2494.089964731921
