,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas
0,0,0,0,0,0,0,0
1,31912,14475,8766.3,6983.8,3377.8,9361,680
2,70312,14475,11456.1,6983.8,3457.8,9361,670
3,70312,14475,11429.9,6983.8,3553.8,9361,670
4,70312,14475,11410.9,6983.8,3681.8,9361,660
5,70312,14475,11393,6983.8,3841.8,9361,540
6,70312,14475,11366.7,6983.8,3953.8,9361,540
7,70312,14475,11302.2,6983.8,4065.8,9361,540
8,102286,14475,25910,6983.8,4161.8,9361,540
9,101036,8482,25856.2,6983.8,4161.8,9361,540
10,99361,8482,25809.1,6983.8,4161.8,9361,540
11,96616,8482,25682.7,6983.8,4161.8,9361,540
12,96616,8482,25640.7,6983.8,4161.8,9361,540
13,92737,8482,25615,6983.8,4161.8,9361,540
14,91009,8482,25543.4,6983.8,4161.8,9361,540
15,88584,8482,25481,6983.8,4161.8,9361,0
16,87364,8482,25345.6,6979.5,4161.8,9361,0
17,86788,8482,24976.2,6979.5,4161.8,9361,0
18,86172,8482,24743.4,6919.5,4161.8,9361,0
19,84052,8482,24300.4,6859.5,4161.8,9361,0
20,83644,8482,23819.3,6769.5,4161.8,9361,0
21,83644,8482,23185.4,6679.5,4104,9361,0
22,83644,8482,22889.3,6589.5,4058.6,9361,0
23,83644,6461,22712.5,6589.5,3789.6,9361,0
24,82724,6461,22332.4,6305.1,2935.1,9361,0
25,76500,6461,21965.3,5652.3,1820.2,9361,0
26,76441,4481,21153.2,5652.3,1077.7,9361,0
27,72910,4481,20034.4,3842.3,784.4,9361,0
28,72910,4481,19782.8,2889.3,704.4,9361,0
29,72910,1960,19494.9,2290.5,608.4,9361,0
30,72910,1960,18340.8,2022,480.4,9361,0
31,72000,1960,17340,2022,320,9361,0
